pipeline_id,file_name,relative_path,sha256,bytes,status,runnable_now,description,algorithm_role,execution_class
DIRECT_STEP_C1,STRICT_GEOM_006_phase_a_face_rasterizer_fixtures.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/STRICT_GEOM_006_phase_a_face_rasterizer_fixtures.py,34880a3279656aab4670b54c6e83cd0e2a7488084fb379ebbd6a50160ac9eaf8,19949,completed_with_evidence,see_pipeline_runbook,Original STEP B-rep slicing and direct LEGACY-PY 40-scalar reproduction for C1.,계산 지원/변환,inspect_before_run
DIRECT_STEP_C1,STRICT_STEP_007_overlay_trace_execution.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/STRICT_STEP_007_overlay_trace_execution.py,a264057a794c376ae31341ad8b27331d7f40467c3ecfcf012265ee1063d6e563,5496,completed_with_evidence,see_pipeline_runbook,Original STEP B-rep slicing and direct LEGACY-PY 40-scalar reproduction for C1.,계산 실행/후보 생성,may_be_heavy_new_run_id_required
DIRECT_STEP_C1,STRICT_STEP_021_b3_route_a_z801_raw_primitives.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/STRICT_STEP_021_b3_route_a_z801_raw_primitives.py,248fc212fd4f7b981d390f77ad7dab2a85894c577aa77602afa7630a4de731a7,15682,completed_with_evidence,see_pipeline_runbook,Original STEP B-rep slicing and direct LEGACY-PY 40-scalar reproduction for C1.,계산 지원/변환,inspect_before_run
DIRECT_STEP_C1,STRICT_STEP_026_c1_direct_legacy_py_xonly.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/STRICT_STEP_026_c1_direct_legacy_py_xonly.py,7b4a6ee2b1168bfe24cffbe75d75d21045e4c7ac1d48e9e310e08a956a43db13,5754,completed_with_evidence,see_pipeline_runbook,Original STEP B-rep slicing and direct LEGACY-PY 40-scalar reproduction for C1.,계산 실행/후보 생성,may_be_heavy_new_run_id_required
DIRECT_STEP_C1,STRICT_STEP_026_c1_independent_qa.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/STRICT_STEP_026_c1_independent_qa.py,fee9e359aeb3f24a5b740d9ea71f444230d0c09ea157529966d14fe9d1f38112,3773,completed_with_evidence,see_pipeline_runbook,Original STEP B-rep slicing and direct LEGACY-PY 40-scalar reproduction for C1.,독립 QA/회귀검증,read_only_or_copied_result_only
IMPORTED_STL_AND_ROUTE_VALIDATION,IMSTL_006_independent_qa.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/IMSTL_006_independent_qa.py,6e98e5aee43f25e5cad9311d74a611f6507f02023c5aff4765b06f0bbf4c56d5,9938,development_validated_production_unresolved,see_pipeline_runbook,"Imported-STL winding route, F1 stress tests and STEP/tessellation/STL comparison tools.",독립 QA/회귀검증,read_only_or_copied_result_only
IMPORTED_STL_AND_ROUTE_VALIDATION,IMSTL_006_small_generalization_factory.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/IMSTL_006_small_generalization_factory.py,91d7397123de7928172ed5cfc65e1e38ab4812bf1140e48c354f882af35c6d7a,25751,development_validated_production_unresolved,see_pipeline_runbook,"Imported-STL winding route, F1 stress tests and STEP/tessellation/STL comparison tools.",계산 실행/후보 생성,may_be_heavy_new_run_id_required
IMPORTED_STL_AND_ROUTE_VALIDATION,IMSTL_007_f1_resolution_pixel_phase_diagnosis.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/IMSTL_007_f1_resolution_pixel_phase_diagnosis.py,67de5aac713d4c1ae5ac56650e48756a6a2296cf2a7417c0ec9fec995a4cb763,23872,development_validated_production_unresolved,see_pipeline_runbook,"Imported-STL winding route, F1 stress tests and STEP/tessellation/STL comparison tools.",감사·진단·비교,inspect_before_run
IMPORTED_STL_AND_ROUTE_VALIDATION,IMSTL_007_independent_qa.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/IMSTL_007_independent_qa.py,9b03d2893ebe77bd755572a2f7758d70a9bd0054140437a5ac0c32146bc37271,11348,development_validated_production_unresolved,see_pipeline_runbook,"Imported-STL winding route, F1 stress tests and STEP/tessellation/STL comparison tools.",독립 QA/회귀검증,read_only_or_copied_result_only
IMPORTED_STL_AND_ROUTE_VALIDATION,IMSTL_008_f1_full_p1000_z801_nonregression.py,URP4/02_VERIFIED_CORE_HQ_NB_PY/03_RESUMABLE_PROJECT_SNAPSHOT/experiments/lab_001_xy_connection_20260626/scripts/IMSTL_008_f1_full_p1000_z801_nonregression.py,0c192181c7529c5de07dd558d8a7bce6ceebe6d44c0fa310ea8678c603ae0efc,8286,development_validated_production_unresolved,see_pipeline_runbook,"Imported-STL winding route, F1 stress tests and STEP/tessellation/STL comparison tools.",계산 지원/변환,inspect_before_run
