alias_id,label,path,file_url,kind,exists,sha256,status,notes
HQ-CANONICAL,URP4_1_HQ.ipynb,URP4-1_DELIVERABLE/URP4_1_HQ.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/URP4-1_DELIVERABLE/URP4_1_HQ.ipynb,notebook,True,6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40,approved_HQ_v0.1,Execution-centred HQ release notebook; audit source directly.
HQ-SUBMISSION-COPY,20260728 submission copy,URP4-1_SUBMISSION_20260728_v0_1/URP4_1_HQ.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/URP4-1_SUBMISSION_20260728_v0_1/URP4_1_HQ.ipynb,notebook,True,6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40,release_snapshot,Submission snapshot; not assumed current.
HQ-BLUEPRINT-v0.2,HQ blueprint v0.2,URP4-1_DELIVERABLE/URP4_1_HQ_BLUEPRINT_v0_2.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/URP4-1_DELIVERABLE/URP4_1_HQ_BLUEPRINT_v0_2.ipynb,notebook,True,1abd6678f3a25548610eea0bc212dd0d1ac2ac1a15105221cf460f594437cc79,development_blueprint,Read-only design/blueprint source.
NB-ORIG,Original integration notebook,outputs/URP4-1/Model_generator_260506_descriptor_v5_boundary_symmetry_perfboost.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/outputs/URP4-1/Model_generator_260506_descriptor_v5_boundary_symmetry_perfboost.ipynb,notebook,True,47aa3889f61d7e4bfbca37b65286e6b7ad81cf185ab4dd86ebdc263af5d8b7b7,protected,Original received integrated notebook.
LEGACY-PY-2,2._Parameter_result_0727.py,outputs/URP4-1/2._Parameter_result_0727.py,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/outputs/URP4-1/2._Parameter_result_0727.py,python,True,cdaea5ef1262ca0ea79a7b8ce16a15f435037e779e2688bdecbe80400b3d5c47,protected_reference,Historical verified LEGACY-PY.
LEGACY-PY-3,3._parameter_angle_all_0727.py,outputs/URP4-1/3._parameter_angle_all_0727.py,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/outputs/URP4-1/3._parameter_angle_all_0727.py,python,True,8a64d05839a606df15055d7c9d84565aa889b5e0c63b57b7f27e19ad76f92ceb,protected_reference,Historical verified LEGACY-PY.
EXCEL-HISTORICAL,압축+열+진동+구조인자_260212.xlsx,outputs/URP4-1/압축+열+진동+구조인자_260212.xlsx,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/outputs/URP4-1/%EC%95%95%EC%B6%95%2B%EC%97%B4%2B%EC%A7%84%EB%8F%99%2B%EA%B5%AC%EC%A1%B0%EC%9D%B8%EC%9E%90_260212.xlsx,workbook,True,3c0915a3bff3c6b3fa1b47b6b63381eb3d7f06777f1eda8b09e327d4e20b7cca,protected_reference,Historical Excel; no modification.
RUNTIME-KMK312,project-local KMK312,tools/envs/KMK312/python.exe,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/tools/envs/KMK312/python.exe,runtime,True,4a7d81f72d979c088c653b1da12c2f2d81da66bdf8074753c6a9b154d9c86116,canonical,Python 3.12.12 project-local environment.
ACTIVE-C1-026,STRICT-STEP-026 C1 completed run,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-026/STRICT-STEP-026-20260731-001,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-026/STRICT-STEP-026-20260731-001,result_directory,True,,completed_with_evidence,C1 completed; authoritative final-evidence alias is C1-DIRECT-STEP-FINAL.
NB-001285BD,Multiwall_model_generator_VF50.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,notebook,True,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,audited_notebook_inventory,"cells=20, code=17"
NB-30FB0EDC,Type A+B Gen. Image slicing.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type%20A%2BB%20Gen.%20Image%20slicing.ipynb,notebook,True,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,audited_notebook_inventory,"cells=23, code=11"
NB-BA49638F,Training_260418-1st method - New feature.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st%20method%20-%20New%20feature.ipynb,notebook,True,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,audited_notebook_inventory,"cells=11, code=10"
NB-9134D2E8,Training_260418-1st method.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st%20method.ipynb,notebook,True,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,audited_notebook_inventory,"cells=11, code=10"
NB-1720B899,Training_260419-2nd method - New feature - Good. vibration.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd%20method%20-%20New%20feature%20-%20Good.%20vibration.ipynb,notebook,True,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,audited_notebook_inventory,"cells=12, code=11"
NB-DA984F47,Training_260419-2nd method.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd%20method.ipynb,notebook,True,7514863928df8e71833f97d0bedb905d7d0654f20cbff8c4f42ee371c182fd39,audited_notebook_inventory,"cells=12, code=11"
NB-31277D90,Training_260420-3rd method - New feature - Good. h.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd method - New feature - Good. h.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd%20method%20-%20New%20feature%20-%20Good.%20h.ipynb,notebook,True,09cf2d4213d689cfe272314c41d4b0fd0b9b5a10c4d1b0fe6e44ffe192ec037c,audited_notebook_inventory,"cells=17, code=15"
NB-A5A4B986,Training_260420-3rd method.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd method.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd%20method.ipynb,notebook,True,e265a21f1f836c2d81cfe8c4cf7063c3c2aa4e5f52e40a859f31a217f7aca3bd,audited_notebook_inventory,"cells=17, code=15"
NB-136895FC,Training_260503_Ensemble-4th method.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260503_Ensemble-4th method.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260503_Ensemble-4th%20method.ipynb,notebook,True,d9f6548c8a239fe213732a78ed4e3da8e0843ccb4f98a4fd996f2cc579af8100,audited_notebook_inventory,"cells=14, code=13"
NB-DB79D233,Training_260508_Alltogether-5th method.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th method.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th%20method.ipynb,notebook,True,5076091043319f042f5fd08b4fd9bdc20c042c81d18a7a9cd794acd99268b792,audited_notebook_inventory,"cells=15, code=13"
NB-7C1D26FC,Training_260508_Alltogether-5th_method_FIXED.ipynb,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th_method_FIXED.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th_method_FIXED.ipynb,notebook,True,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,audited_notebook_inventory,"cells=15, code=13"
NB-4F14B5DF,NB_DEV_v0_3_STL_IMPORT_TRUE_FALSE.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_3_STL_IMPORT_TRUE_FALSE.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_3_STL_IMPORT_TRUE_FALSE.ipynb,notebook,True,2b510e0df2b2759b147ad0a71f9d7440def9672483c54d1be2eba523b56e9b7a,audited_notebook_inventory,"cells=22, code=18"
NB-DE2CED8C,NB_DEV_v0_4_STEP_PREFERRED_IMPORT_TRUE_FALSE.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_4_STEP_PREFERRED_IMPORT_TRUE_FALSE.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_4_STEP_PREFERRED_IMPORT_TRUE_FALSE.ipynb,notebook,True,ba57a2584bb5747e7ffb05b2393932011780149296022f236bb205c6705070c1,audited_notebook_inventory,"cells=22, code=18"
NB-8B7E0E2F,NB_DEV_v0_5_IMPORTED_STL_WINDING_ROUTER.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_5_IMPORTED_STL_WINDING_ROUTER.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_5_IMPORTED_STL_WINDING_ROUTER.ipynb,notebook,True,02982c5b5c36843bb14807351a457ea1135a17c2f13bc95fd618e496536be109,audited_notebook_inventory,"cells=24, code=19"
NB-147C9978,NB_DEV_v0_6_ROUTE_VALID_004_IMPORT_POLICY.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_6_ROUTE_VALID_004_IMPORT_POLICY.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_6_ROUTE_VALID_004_IMPORT_POLICY.ipynb,notebook,True,a817ff8bcd11c7ded001a0066196d1ed41eb6051ffb4dc263acdf4004b162411,audited_notebook_inventory,"cells=4, code=2"
NB-71D291B8,R05_xy_baseline_analysis.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/R05_xy_baseline_analysis.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/R05_xy_baseline_analysis.ipynb,notebook,True,612625c40e00292dd24377a71ccd307cd8464bc1e17dcfb21db288724e0c056b,audited_notebook_inventory,"cells=3, code=1"
NB-3B34B823,R06_forward_pipeline_validation.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/R06_forward_pipeline_validation.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/R06_forward_pipeline_validation.ipynb,notebook,True,af814039bd03527d85c3afdad1b5e7a401e6d7534e2a8c8becfd2514deb2c070,audited_notebook_inventory,"cells=3, code=1"
NB-F1959719,R06_KMK312_preview_safe.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/R06_KMK312_preview_safe.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/R06_KMK312_preview_safe.ipynb,notebook,True,81bbf8215779f032c91c9757ef35d5b9a02ff49d0c7a488b50d51391c5358b62,audited_notebook_inventory,"cells=21, code=17"
NB-8BDADE8E,R06V2_integrated_legacy_candidate_v0_1.ipynb,experiments/lab_001_xy_connection_20260626/notebooks/R06V2_integrated_legacy_candidate_v0_1.ipynb,file:///C:/Users/chuck/Documents/Codex/2026-06-22/a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p/experiments/lab_001_xy_connection_20260626/notebooks/R06V2_integrated_legacy_candidate_v0_1.ipynb,notebook,True,efd5dbfdc44e3fb36e8f02286de1a29a33c0b0f1b1b3589970cc60996bfe1230,audited_notebook_inventory,"cells=19, code=16"
