notebook_alias,notebook_path,notebook_sha256,cell_index,cell_type,section,role,first_line,line_count,declared_inputs,referenced_file_literals,module_references,source_sha256,evidence_boundary,last_verified_at
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","1","markdown","URP4-1 HQ v0.1","human guide / stage declaration","# URP4-1 HQ v0.1","9","","","","a94ab3849117e7d602027d12c6a2d975e7a15a1fc5268e6f86d749ff75a0deed","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","2","code","URP4-1 HQ v0.1","descriptor extraction orchestration","# CELL 1 — MASTER CONTROLLER (사용자는 이 셀만 수정)","63","ROOT; CONTROLLER","","URP4-1_DELIVERABLE/urp4/hq/v0_1/controller.py","a31b62b4af9a6cbfe0e60aec1dadcd470fa6c535de5261e45a8600ab4103a97f","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","3","code","URP4-1 HQ v0.1","import route controller / preflight","# CELL 2 — validate → derive → freeze","4","FROZEN","","URP4-1_DELIVERABLE/urp4/hq/v0_1/__init__.py","82fefd31a6b32ac7bc8c11558725099c39adc077336f5507bf38f2a8eb19a01c","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","4","code","URP4-1 HQ v0.1","runtime setup or workflow orchestration","# CELL 3 — frozen settings table","6","","","","18f0c2b58d4ef4448926065d2823445b373b7c5b15edb56f57eac39f4e797eae","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","5","code","URP4-1 HQ v0.1","runtime setup or workflow orchestration","# CELL 4 — frozen contract로 pipeline 실행","4","STATUS","","URP4-1_DELIVERABLE/urp4/hq/v0_1/__init__.py","d81b82228587344b8117208e75aca04cea5a50985d32acb66cc7e7eb0f064c4d","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","6","code","URP4-1 HQ v0.1","manifest / reproducibility control","# CELL 5 — input geometry manifest","4","RUN_DIR","input_geometry_manifest.json","","cce59dd19d510b9a5ce23cd20805d4597a5bb2279b40a5bb95c31bbfc001100d","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","7","code","URP4-1 HQ v0.1","runtime setup or workflow orchestration","# CELL 6 — geometry QA","2","","","","2828aa399d271210fcb08e2642eec12ef0e9528ff447b6b0970833020434f62c","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","8","code","URP4-1 HQ v0.1","descriptor extraction orchestration","# CELL 7 — descriptor 결과","6","","","","b2b1d53d4de686f646d8049852dc20925a2ee14f75885f41608f99a6985cf456","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","9","code","URP4-1 HQ v0.1","descriptor extraction orchestration","# CELL 8 — slice QA / flagged review 상태","9","","","","8d87ae3066990fe1706e32b8fda493b11eafd57d97ee77f756466aa8161f4c53","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
"HQ-CANONICAL","URP4-1_DELIVERABLE/URP4_1_HQ.ipynb","6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40","10","code","URP4-1 HQ v0.1","manifest / reproducibility control","# CELL 9 — export / output manifest","2","","output_manifest.csv","","f5945ace5871ad2d37faa4c06da6856431c64805beb5e0a83fb655f02a2d1327","Cell source/declared references only; runtime execution/output status is resolved by work-package evidence.","2026-07-31T11:39:08+09:00"
