notebook_path,notebook_sha256,cell_index,cell_type,first_line,line_count,definitions
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,1,markdown,This version is optimized for quick candidate detection before final high-quality STL export.,15,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,2,code,import os,547,display
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,3,code,"def sample_uniform(rng, bounds):",323,"sample_uniform, sample_int, json_dumps, safe_float, write_binary_stl, estimate_mask_vf, mesh_from_binary_mask, keep_largest_component"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,4,code,"def generate_periodic_face_nodes(rng, size_mm, n_face, axis):",1408,"generate_periodic_face_nodes, _face_pattern_points, _place_face_pattern, generate_symmetric_contact_face_nodes, _canonical_face_layer, _set_canonical_face_layer, _local_face_slices, _stabilize_contact_pattern_edges"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,5,code,from scipy.ndimage import binary_erosion,373,"_set_generation_gpu_device, _get_generation_gpu_device, _xp_for_generation, _to_numpy_array, make_tpms_grid, tpms_field, enforce_min_hole_size, _raw_mask_from_band"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,6,code,"def periodic_fourier_field(n, num_terms=16, anisotropy=(1.0, 1.0, 1.0), seed=0):",196,"periodic_fourier_field, stochastic_gaussian_field, enforce_periodic_faces, limit_max_thickness_approx, enforce_voxel_min_hole_size, generate_voxel_mask, generate_voxel_candidate"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,7,code,"def make_lattice_params(lattice_mode, cfg, idx, rng):",245,"make_lattice_params, make_tpms_basic_params, random_tpms_component, make_tpms_adv_params, make_voxel_params, flatten_candidate_params, unflatten_candidate_row, build_candidate_table"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,8,code,def run_single_candidate_from_row(row_dict):,506,"run_single_candidate_from_row, run_batch_generation, _save_progress, _print_progress, _run_rows_serial, _run_rows_joblib, _run_rows_thread, verify_generated_files"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,9,code,"def validate_lattice_voxel_boundary_conditions(params_or_row, regenerate_mask=True):",83,"validate_lattice_voxel_boundary_conditions, validate_candidate_table_boundary_conditions"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,10,code,import os,179,"_read_stl_binary, _signed_volume, _mesh_metrics_from_stl, _printability_grade, build_model_summary_excel, safe"
