work_id,track,purpose,position_in_full_pipeline,planned_scope,last_completed_run,currently_active_run,execution_status,calculation_scope,qa_status,scientific_status,notebook_integration_status,regression_status,submission_status,source_files,result_files,config_and_environment,evidence_hash,confirmed_conclusion,claim_boundary,remaining_problem,next_gate,owner_session,last_verified_at,primary_evidence_path,release_status
FAST-CAP-001,research_support_or_archive,Audited result root: FAST-CAP-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
HANDOFF-SYNC-001,research_support_or_archive,Audited result root: HANDOFF-SYNC-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,HANDOFF-CUTOFF-20260731-001,,unresolved_no_audited_evidence,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,,see manifest/config evidence if present,,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,,not_merged_or_no_packet_found
HQ-BLUEPRINT-001,hq_integration_release,Audited result root: HQ-BLUEPRINT-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,,,completed_artifacts_present,not inferred beyond artifact evidence,no_independent_qa_found,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/HQ-BLUEPRINT-001/MERGE_PACKET.md,see manifest/config evidence if present,5c77975c54ced9547e055499a236b8a69d08599a5ea50f596c59b032d4f12a74,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/HQ-BLUEPRINT-001/MERGE_PACKET.md,merge_packet_present
HQ-GEOM-001,hq_integration_release,Audited result root: HQ-GEOM-001,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,HQ-GEOM-001-20260728-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-001/HQ-GEOM-001-20260728-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-001/HQ-GEOM-001-20260728-001/MERGE_PACKET.md,see manifest/config evidence if present,57baab0656685c8d4e89afdff819799a427b3b5612c314717358c45e62cf4e3c,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-001/HQ-GEOM-001-20260728-001/INDEPENDENT_QA.json,merge_packet_present
HQ-GEOM-002,hq_integration_release,Audited result root: HQ-GEOM-002,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,HQ-GEOM-002-20260728-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-002/HQ-GEOM-002-20260728-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-002/HQ-GEOM-002-20260728-001/MERGE_PACKET.md,see manifest/config evidence if present,9b11b1b1ada5ee8400315ddcbd13bd924e47ada16a6485cf2b5cf279bdb6238d,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-002/HQ-GEOM-002-20260728-001/INDEPENDENT_QA.json,merge_packet_present
HQ-GEOM-003,hq_integration_release,Audited result root: HQ-GEOM-003,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,HQ-GEOM-003-20260728-001,,completed_artifacts_present,not inferred beyond artifact evidence,no_independent_qa_found,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-003/HQ-GEOM-003-20260728-001/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-003/HQ-GEOM-003-20260728-001/REPORT.md,see manifest/config evidence if present,b50611e6b64850a4e65103e2c151bd999895796eef4f0be78bc3157c8b8aaf1f,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-003/HQ-GEOM-003-20260728-001/REPORT.md,merge_packet_present
I007_F1,research_support_or_archive,Audited result root: I007_F1,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-007-20260728-002,,quarantined_or_superseded,not inferred beyond artifact evidence,independent_qa_present,claim_boundary_requires_report_review,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/I007_F1/IMSTL-007-20260728-002/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/I007_F1/IMSTL-007-20260728-002/REPORT.md,see manifest/config evidence if present,9f533977797d89758fb49626edad277fad9265d0ff382455424164129ca31ce3,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/I007_F1/IMSTL-007-20260728-002/REPORT.md,not_merged_or_no_packet_found
I008_F1,research_support_or_archive,Audited result root: I008_F1,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-008-20260728-002,,quarantined_or_superseded,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,merge_packet_present,,experiments/lab_001_xy_connection_20260626/results/I008_F1/IMSTL-008-20260728-002/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/I008_F1/IMSTL-008-20260728-002/MERGE_PACKET.md,see manifest/config evidence if present,37379f5f6e4d1e9ee664dc382ff8bec16005926fd513662a3d89caf7050709ba,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/I008_F1/IMSTL-008-20260728-002/INDEPENDENT_QA.json,merge_packet_present
IMSTL-001_SOURCE_ROUTER_PREFLIGHT,imported_stl_slicer,Audited result root: IMSTL-001_SOURCE_ROUTER_PREFLIGHT,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-001-20260727-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-001_SOURCE_ROUTER_PREFLIGHT/IMSTL-001-20260727-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/IMSTL-001_SOURCE_ROUTER_PREFLIGHT/IMSTL-001-20260727-001/RUN_MANIFEST.json,see manifest/config evidence if present,cc594b88b33fd2388ceeed35fc1cc2de880b41d96dc480f0b5c32d484a4b5812,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-001_SOURCE_ROUTER_PREFLIGHT/IMSTL-001-20260727-001/INDEPENDENT_QA.json,not_merged_or_no_packet_found
IMSTL-002_L28_ROBUST_PROTOTYPE,imported_stl_slicer,Audited result root: IMSTL-002_L28_ROBUST_PROTOTYPE,S4-S9 evidence surface; exact lifecycle requires producer evidence,read-only reconciled from actual result root,IMSTL-002-20260727-001,,completed_artifacts_present,not inferred beyond artifact evidence,independent_qa_present,unresolved,not_inferred_from_artifact_presence,not independently replayed by handoff,not_merged_or_no_packet_found,,experiments/lab_001_xy_connection_20260626/results/IMSTL-002_L28_ROBUST_PROTOTYPE/IMSTL-002-20260727-001/INDEPENDENT_QA.json,see manifest/config evidence if present,0c8f48c7f7c36c52e403593e23865079c2bd74c7ca9be8f0e16dbdbc7775e317,artifact existence only; report claims separately bounded,No scientific conclusion inferred solely from result folder existence.,requires direct report/QA review where status is not explicit,owner review / evidence reconciliation,research control tower unless explicitly UI/demo,2026-07-31T11:26:55+09:00,experiments/lab_001_xy_connection_20260626/results/IMSTL-002_L28_ROBUST_PROTOTYPE/IMSTL-002-20260727-001/INDEPENDENT_QA.json,not_merged_or_no_packet_found
