analysis_bbox_extent_mm,analysis_uniform_scale,family,interior_gate_slice,model_id,normalization_mode,normalization_status,occupancy_gate_pass,p1000_area_fraction,p1000_mask_sha256,p1000_max_abs_winding,p1000_solid_pixels,p500_area_fraction,p500_mask_sha256,p500_max_abs_winding,p500_solid_pixels,p500_upsampled_vs_p1000_area_difference,p500_upsampled_vs_p1000_iou,resolution_gate_pass,run_id,segment_count,slice_gate_pass,slice_index,source_bbox_center_mm,source_bbox_extent_mm,source_geometry_sha256,source_triangle_count,z_active_triangle_count,z_mm
"[40.0, 40.0, 40.0]",1.0,B,False,B3,uniform_bbox_to_expected,already_expected_size,True,0.1307,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,1,130700,0.1316,7c6031a9bc5cbd7f9e434dce761fa91899e8724a0f59e65342815c9096f7cf4d,1,32900,0.006838905775075988,0.9751506024096386,True,IMSTL-006-20260728-002,824,True,0,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,1861,5e-324
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.13926,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,2,139260,0.13932,cabd44dc2064e85fa696407e7513071dce4b8b12aa5ac56850242ce794e4dc65,2,34830,0.0004306632213608958,0.9657070279424217,True,IMSTL-006-20260728-002,1861,True,1,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,1861,0.05
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.3134,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,1,313400,0.3132,9be42d01647d7b0332f8490d68d86f78aa48e4a794be9a4f352e41d1c25c4af9,1,78300,0.0006381620931716656,0.9791535060012634,True,IMSTL-006-20260728-002,2600,True,100,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,2600,5.0
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.392,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,1,392000,0.3928,281cf9110350914a8d023262d7d98e9d2c3d5a800b08600e9d1e61e29c13114c,1,98200,0.002036659877800407,0.9758308157099698,True,IMSTL-006-20260728-002,4800,True,200,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,4800,10.0
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.1307,375e0a80982cc4cac98729a5e0c21d38d225ed11a8b26439dccae7e3b142fb3f,1,130700,0.1316,5a69541e49eca61ecf74938aec69d02a23af3dcace9b59585350d58fdf99d9f4,1,32900,0.006838905775075988,0.9751506024096386,True,IMSTL-006-20260728-002,800,True,400,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,1800,20.0
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.392,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,1,392000,0.3928,281cf9110350914a8d023262d7d98e9d2c3d5a800b08600e9d1e61e29c13114c,1,98200,0.002036659877800407,0.9758308157099698,True,IMSTL-006-20260728-002,4800,True,600,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,4800,30.0
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.3134,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,1,313400,0.3132,9be42d01647d7b0332f8490d68d86f78aa48e4a794be9a4f352e41d1c25c4af9,1,78300,0.0006381620931716656,0.9791535060012634,True,IMSTL-006-20260728-002,2600,True,700,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,2600,35.0
"[40.0, 40.0, 40.0]",1.0,B,True,B3,uniform_bbox_to_expected,already_expected_size,True,0.13926,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,2,139260,0.13932,cabd44dc2064e85fa696407e7513071dce4b8b12aa5ac56850242ce794e4dc65,2,34830,0.0004306632213608958,0.9657070279424217,True,IMSTL-006-20260728-002,1871,True,799,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,1871,39.95
"[40.0, 40.0, 40.0]",1.0,B,False,B3,uniform_bbox_to_expected,already_expected_size,True,0.1307,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,1,130700,0.1316,7c6031a9bc5cbd7f9e434dce761fa91899e8724a0f59e65342815c9096f7cf4d,1,32900,0.006838905775075988,0.9751506024096386,True,IMSTL-006-20260728-002,824,True,800,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,52512,1871,39.99999999999999
"[40.0, 40.0, 40.0]",1.0,C,False,C1,uniform_bbox_to_expected,already_expected_size,True,0.571,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,1,571000,0.5776,f7ab8d9cc1b0622a63d379a5a5d3b6ef1d09b561f8c848c1b2b5edeb1f2c6b96,1,144400,0.011426592797783934,0.9885734072022161,True,IMSTL-006-20260728-002,304,True,0,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,969,5e-324
