model_id,slice_index,source_sha256,replay_hash,expected_hash,exact,evidence
F1,0,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-007 P1000/P00 retained mask
F1,1,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,0abb87403ddbb2dfb9f82bc5fd0589316e8865ce2c82fa0b8bf5fb0f25c7d020,0abb87403ddbb2dfb9f82bc5fd0589316e8865ce2c82fa0b8bf5fb0f25c7d020,True,IMSTL-007 P1000/P00 retained mask
F1,100,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,cfe223867017aac4bc4b1352b7478d95cf0f6ce6f0f5f13ead2e980f7be0ca98,cfe223867017aac4bc4b1352b7478d95cf0f6ce6f0f5f13ead2e980f7be0ca98,True,IMSTL-007 P1000/P00 retained mask
F1,200,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,2f0c683f4d146e29682810e1cad12a1e9fdfc34af5947d555b1705ccf1bd5299,2f0c683f4d146e29682810e1cad12a1e9fdfc34af5947d555b1705ccf1bd5299,True,IMSTL-007 P1000/P00 retained mask
F1,400,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,d0654415b142198b795c589b4df284d45d78efd6ad9d8f1bf21740ea61f22e73,d0654415b142198b795c589b4df284d45d78efd6ad9d8f1bf21740ea61f22e73,True,IMSTL-007 P1000/P00 retained mask
F1,600,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,a884eeffa5c2a5a996131cd7fc95b59fd756f97488f463e2223fd86913112a2c,a884eeffa5c2a5a996131cd7fc95b59fd756f97488f463e2223fd86913112a2c,True,IMSTL-007 P1000/P00 retained mask
F1,700,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,27abae3802f41048cfe2828698f2687b6950d10d2b55997eb4f9aa62a5ad2a9a,27abae3802f41048cfe2828698f2687b6950d10d2b55997eb4f9aa62a5ad2a9a,True,IMSTL-007 P1000/P00 retained mask
F1,799,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,23478839dc9c5f4cb9d61adc6f54b42a431a9e2bd6ce53637b62bcbc8c90f05c,23478839dc9c5f4cb9d61adc6f54b42a431a9e2bd6ce53637b62bcbc8c90f05c,True,IMSTL-007 P1000/P00 retained mask
F1,800,d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-007 P1000/P00 retained mask
B3,0,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,True,IMSTL-006 trace packedbits
B3,1,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,True,IMSTL-006 trace packedbits
B3,100,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,True,IMSTL-006 trace packedbits
B3,200,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,True,IMSTL-006 trace packedbits
B3,400,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,375e0a80982cc4cac98729a5e0c21d38d225ed11a8b26439dccae7e3b142fb3f,375e0a80982cc4cac98729a5e0c21d38d225ed11a8b26439dccae7e3b142fb3f,True,IMSTL-006 trace packedbits
B3,600,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,3d5ce9194e4fd0eeb9cbe2d77be2e25a4f255b4100c2695ab6659c392a33f673,True,IMSTL-006 trace packedbits
B3,700,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,8ff8d1d99a39a5cc820455f1d37927ba18266a4eef2d06be564196af2031fad4,True,IMSTL-006 trace packedbits
B3,799,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,ec58ac8a4ffe9fef1c71b12198f906a2127ce42b63f27de152791c197936e2db,True,IMSTL-006 trace packedbits
B3,800,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,2fd9e7be3c75323f728fa9442632cdbfa45517dc80debd87b46919d2f99a17c7,True,IMSTL-006 trace packedbits
C1,0,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,True,IMSTL-006 trace packedbits
C1,1,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,True,IMSTL-006 trace packedbits
C1,100,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,True,IMSTL-006 trace packedbits
C1,200,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,True,IMSTL-006 trace packedbits
