unified_block_id,candidate_id,candidate_group_id,descriptor_family,source_bank,technical_role,later_evaluation_role,unified_block_member_count,unified_edge_degree,representative_selected,block_policy
U096-BLK-001,LIT-X001::solid_chord_x_count,LIT-X001,directional_solid_chord,PRM082_existing,diagnostic_trace_only,existing_bank_reference_diagnostic_trace_only,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-002,LIT-X001::solid_chord_x_mean_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,2,1,False,later comparison inside authorized outer fold only
U096-BLK-003,LIT-X001::solid_chord_x_population_std_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,2,1,False,later comparison inside authorized outer fold only
U096-BLK-004,LIT-X001::solid_chord_x_q10_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-005,LIT-X001::solid_chord_x_q50_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-006,LIT-X001::solid_chord_x_q90_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-007,LIT-X001::solid_chord_x_spanning_line_fraction,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-008,LIT-X001::solid_chord_y_count,LIT-X001,directional_solid_chord,PRM082_existing,diagnostic_trace_only,existing_bank_reference_diagnostic_trace_only,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-002,LIT-X001::solid_chord_y_mean_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,2,1,False,later comparison inside authorized outer fold only
U096-BLK-003,LIT-X001::solid_chord_y_population_std_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,2,1,False,later comparison inside authorized outer fold only
U096-BLK-009,LIT-X001::solid_chord_y_q10_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-010,LIT-X001::solid_chord_y_q50_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-011,LIT-X001::solid_chord_y_q90_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-012,LIT-X001::solid_chord_y_spanning_line_fraction,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-013,LIT-X001::solid_chord_z_count,LIT-X001,directional_solid_chord,PRM082_existing,diagnostic_trace_only,existing_bank_reference_diagnostic_trace_only,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-014,LIT-X001::solid_chord_z_mean_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_hold_resolution,existing_bank_reference_census_hold_resolution,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-015,LIT-X001::solid_chord_z_population_std_mm,LIT-X001,directional_solid_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-016,LIT-X001::solid_chord_z_q10_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-017,LIT-X001::solid_chord_z_q50_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-018,LIT-X001::solid_chord_z_q90_mm,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-019,LIT-X001::solid_chord_z_spanning_line_fraction,LIT-X001,directional_solid_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-020,LIT-X002::C2_x_efold_mm,LIT-X002,directional_two_point_correlation_physical_lag,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-021,LIT-X002::C2_x_positive_auc_0_20_mm,LIT-X002,directional_two_point_correlation_physical_lag,PRM082_existing,census_primary,existing_bank_reference_census_primary,2,1,False,later comparison inside authorized outer fold only
U096-BLK-022,LIT-X002::C2_y_efold_mm,LIT-X002,directional_two_point_correlation_physical_lag,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
