bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v0.3-TECHNICAL,B1,B,LIT-X001::solid_chord_x_count,47380,True,PRM082_existing
XREG-v0.3-TECHNICAL,B2,B,LIT-X001::solid_chord_x_count,86784,True,PRM082_existing
XREG-v0.3-TECHNICAL,B3,B,LIT-X001::solid_chord_x_count,80392,True,PRM082_existing
XREG-v0.3-TECHNICAL,B4,B,LIT-X001::solid_chord_x_count,105928,True,PRM082_existing
XREG-v0.3-TECHNICAL,B5,B,LIT-X001::solid_chord_x_count,111112,True,PRM082_existing
XREG-v0.3-TECHNICAL,C1,C,LIT-X001::solid_chord_x_count,120284,True,PRM082_existing
XREG-v0.3-TECHNICAL,C10,C,LIT-X001::solid_chord_x_count,111484,True,PRM082_existing
XREG-v0.3-TECHNICAL,C11,C,LIT-X001::solid_chord_x_count,118112,True,PRM082_existing
XREG-v0.3-TECHNICAL,C12,C,LIT-X001::solid_chord_x_count,137036,True,PRM082_existing
XREG-v0.3-TECHNICAL,C13,C,LIT-X001::solid_chord_x_count,169408,True,PRM082_existing
XREG-v0.3-TECHNICAL,C14,C,LIT-X001::solid_chord_x_count,157924,True,PRM082_existing
XREG-v0.3-TECHNICAL,C2,C,LIT-X001::solid_chord_x_count,123160,True,PRM082_existing
XREG-v0.3-TECHNICAL,C3,C,LIT-X001::solid_chord_x_count,136280,True,PRM082_existing
XREG-v0.3-TECHNICAL,C4,C,LIT-X001::solid_chord_x_count,94356,True,PRM082_existing
XREG-v0.3-TECHNICAL,C5,C,LIT-X001::solid_chord_x_count,100264,True,PRM082_existing
XREG-v0.3-TECHNICAL,C6,C,LIT-X001::solid_chord_x_count,66148,True,PRM082_existing
XREG-v0.3-TECHNICAL,C7,C,LIT-X001::solid_chord_x_count,149680,True,PRM082_existing
XREG-v0.3-TECHNICAL,C8,C,LIT-X001::solid_chord_x_count,84352,True,PRM082_existing
XREG-v0.3-TECHNICAL,C9,C,LIT-X001::solid_chord_x_count,93476,True,PRM082_existing
XREG-v0.3-TECHNICAL,F1,F,LIT-X001::solid_chord_x_count,87800,True,PRM082_existing
XREG-v0.3-TECHNICAL,F2,F,LIT-X001::solid_chord_x_count,102203,True,PRM082_existing
XREG-v0.3-TECHNICAL,L1,L,LIT-X001::solid_chord_x_count,78712,True,PRM082_existing
XREG-v0.3-TECHNICAL,L10,L,LIT-X001::solid_chord_x_count,73160,True,PRM082_existing
XREG-v0.3-TECHNICAL,L11,L,LIT-X001::solid_chord_x_count,114515,True,PRM082_existing
XREG-v0.3-TECHNICAL,L12,L,LIT-X001::solid_chord_x_count,117678,True,PRM082_existing
XREG-v0.3-TECHNICAL,L13,L,LIT-X001::solid_chord_x_count,81088,True,PRM082_existing
XREG-v0.3-TECHNICAL,L14,L,LIT-X001::solid_chord_x_count,107695,True,PRM082_existing
XREG-v0.3-TECHNICAL,L15,L,LIT-X001::solid_chord_x_count,100190,True,PRM082_existing
XREG-v0.3-TECHNICAL,L16,L,LIT-X001::solid_chord_x_count,57977,True,PRM082_existing
XREG-v0.3-TECHNICAL,L17,L,LIT-X001::solid_chord_x_count,102453,True,PRM082_existing
XREG-v0.3-TECHNICAL,L18,L,LIT-X001::solid_chord_x_count,102883,True,PRM082_existing
XREG-v0.3-TECHNICAL,L19,L,LIT-X001::solid_chord_x_count,75107,True,PRM082_existing
XREG-v0.3-TECHNICAL,L2,L,LIT-X001::solid_chord_x_count,84036,True,PRM082_existing
XREG-v0.3-TECHNICAL,L20,L,LIT-X001::solid_chord_x_count,148838,True,PRM082_existing
XREG-v0.3-TECHNICAL,L3,L,LIT-X001::solid_chord_x_count,171568,True,PRM082_existing
XREG-v0.3-TECHNICAL,L4,L,LIT-X001::solid_chord_x_count,102108,True,PRM082_existing
XREG-v0.3-TECHNICAL,L5,L,LIT-X001::solid_chord_x_count,121584,True,PRM082_existing
XREG-v0.3-TECHNICAL,L6,L,LIT-X001::solid_chord_x_count,87136,True,PRM082_existing
XREG-v0.3-TECHNICAL,L7,L,LIT-X001::solid_chord_x_count,72868,True,PRM082_existing
XREG-v0.3-TECHNICAL,L8,L,LIT-X001::solid_chord_x_count,103428,True,PRM082_existing
XREG-v0.3-TECHNICAL,L9,L,LIT-X001::solid_chord_x_count,97712,True,PRM082_existing
XREG-v0.3-TECHNICAL,T1,T,LIT-X001::solid_chord_x_count,102338,True,PRM082_existing
XREG-v0.3-TECHNICAL,T10,T,LIT-X001::solid_chord_x_count,139628,True,PRM082_existing
XREG-v0.3-TECHNICAL,T11,T,LIT-X001::solid_chord_x_count,121428,True,PRM082_existing
XREG-v0.3-TECHNICAL,T12,T,LIT-X001::solid_chord_x_count,111479,True,PRM082_existing
XREG-v0.3-TECHNICAL,T13,T,LIT-X001::solid_chord_x_count,204417,True,PRM082_existing
XREG-v0.3-TECHNICAL,T14,T,LIT-X001::solid_chord_x_count,104164,True,PRM082_existing
XREG-v0.3-TECHNICAL,T15,T,LIT-X001::solid_chord_x_count,98014,True,PRM082_existing
