model_id,model_family,LIT-X001::solid_chord_x_count,LIT-X001::solid_chord_x_mean_mm,LIT-X001::solid_chord_x_population_std_mm,LIT-X001::solid_chord_x_q10_mm,LIT-X001::solid_chord_x_q50_mm,LIT-X001::solid_chord_x_q90_mm,LIT-X001::solid_chord_x_spanning_line_fraction,LIT-X001::solid_chord_y_count,LIT-X001::solid_chord_y_mean_mm,LIT-X001::solid_chord_y_population_std_mm,LIT-X001::solid_chord_y_q10_mm,LIT-X001::solid_chord_y_q50_mm,LIT-X001::solid_chord_y_q90_mm,LIT-X001::solid_chord_y_spanning_line_fraction,LIT-X001::solid_chord_z_count,LIT-X001::solid_chord_z_mean_mm,LIT-X001::solid_chord_z_population_std_mm,LIT-X001::solid_chord_z_q10_mm,LIT-X001::solid_chord_z_q50_mm,LIT-X001::solid_chord_z_q90_mm,LIT-X001::solid_chord_z_spanning_line_fraction,LIT-X002::C2_x_efold_mm,LIT-X002::C2_x_positive_auc_0_20_mm,LIT-X002::C2_y_efold_mm,LIT-X002::C2_y_positive_auc_0_20_mm,LIT-X002::C2_z_efold_mm,LIT-X002::C2_z_positive_auc_0_20_mm,LIT-X002::S2_x_r10p0_probability,LIT-X002::S2_x_r20p0_probability,LIT-X002::S2_x_r2p5_probability,LIT-X002::S2_x_r5p0_probability,LIT-X002::S2_y_r10p0_probability,LIT-X002::S2_y_r20p0_probability,LIT-X002::S2_y_r2p5_probability,LIT-X002::S2_y_r5p0_probability,LIT-X002::S2_z_r10p0_probability,LIT-X002::S2_z_r20p0_probability,LIT-X002::S2_z_r2p5_probability,LIT-X002::S2_z_r5p0_probability,LIT-X003::L_x_auc_mm,LIT-X003::L_x_half_decay_mm,LIT-X003::L_x_k0,LIT-X003::L_x_k1,LIT-X003::L_y_auc_mm,LIT-X003::L_y_half_decay_mm,LIT-X003::L_y_k0,LIT-X003::L_y_k1,LIT-X003::L_z_auc_mm,LIT-X003::L_z_half_decay_mm,LIT-X003::L_z_k0,LIT-X003::L_z_k1,LIT-X004::chi_solid_26,LIT-X004::chi_solid_26_per_mm3,LIT-X004::chi_void_6,LIT-X004::chi_void_6_per_mm3,LIT-X005::A_xx,LIT-X005::A_xy,LIT-X005::A_xz,LIT-X005::A_yy,LIT-X005::A_yz,LIT-X005::A_zz,LIT-X005::DA,LIT-X005::FA,LIT-X005::lambda1,LIT-X005::lambda2,LIT-X005::lambda3,LIT-X005::trace,LIT-X005::v1_z_alignment,LIT-X009::C2_x_10mm,LIT-X009::C2_x_2p5mm,LIT-X009::C2_y_10mm,LIT-X009::C2_y_2p5mm,LIT-X009::C2_z_10mm,LIT-X009::C2_z_2p5mm,LIT-X012::lacunarity_10mm,LIT-X012::lacunarity_2p5mm,LIT-X012::lacunarity_5mm,LIT-X012::loglog_slope_2p5_to_10mm,LIT-X012::logscale_auc_2p5_to_10mm,LIT-X016::void_chord_x_count,LIT-X016::void_chord_x_mean_mm,LIT-X016::void_chord_x_population_std_mm,LIT-X016::void_chord_x_q10_mm,LIT-X016::void_chord_x_q50_mm,LIT-X016::void_chord_x_q90_mm,LIT-X016::void_chord_x_spanning_line_fraction,LIT-X016::void_chord_y_count,LIT-X016::void_chord_y_mean_mm,LIT-X016::void_chord_y_population_std_mm,LIT-X016::void_chord_y_q10_mm,LIT-X016::void_chord_y_q50_mm,LIT-X016::void_chord_y_q90_mm,LIT-X016::void_chord_y_spanning_line_fraction,LIT-X016::void_chord_z_count,LIT-X016::void_chord_z_mean_mm,LIT-X016::void_chord_z_population_std_mm,LIT-X016::void_chord_z_q10_mm,LIT-X016::void_chord_z_q50_mm,LIT-X016::void_chord_z_q90_mm,LIT-X016::void_chord_z_spanning_line_fraction,LIT-X017::beta0_count,LIT-X017::beta0_density,LIT-X023::axis_power_fraction_x,LIT-X023::axis_power_fraction_y,LIT-X023::axis_power_fraction_z,LIT-X023::peak_wavelength_x,LIT-X023::peak_wavelength_y,LIT-X023::peak_wavelength_z,LIT-X019::solid_void_chord_q50_geomean_ratio,LIT-X019::solid_void_chord_x_q50_ratio,LIT-X019::solid_void_chord_y_q50_ratio,LIT-X019::solid_void_chord_z_q50_ratio,LIT-X024::ect_abs_auc_direction_mean_per_mm3,LIT-X024::ect_total_variation_direction_mean_per_mm3
B1,B,47380,4.075242718446602,7.7887155389648814,1.5625,2.8125,2.8125,0.129150390625,47380,4.075242718446602,7.7887155389648814,1.5625,2.8125,2.8125,0.129150390625,47380,4.075242718446602,7.7887155389648814,1.5625,2.8125,2.8125,0.129150390625,2.187631466782618,9.5598265800273392,2.187631466782618,9.5598265800273392,2.187631466782618,9.5598265800273392,0.1675211588541666,0.129150390625,0.14449869791666661,0.129150390625,0.1675211588541666,0.129150390625,0.14449869791666661,0.129150390625,0.1675211588541666,0.129150390625,0.14449869791666661,0.129150390625,5.3405995424480661,2.5,0.29462432861328119,0.27417376660925191,5.3405995424480661,2.5,0.29462432861328119,0.27417376660925191,5.3405995424480661,2.5,0.29462432861328119,0.27417376660925191,-324,-0.0050625000000000002,-175,-0.0027343749999999998,0.33333333333345488,-1.3031459592733051e-20,-2.6259868196943177e-22,0.33333333333334669,-3.2824835246178974e-22,0.33333333333334608,1.0000000000003264,1.8792376065557802e-13,0.33333333333345488,0.33333333333334669,0.33333333333334608,1.0000000000001477,0,0.1675211588541666,0.14449869791666661,0.1675211588541666,0.14449869791666661,0.1675211588541666,0.14449869791666661,1.0430982698244891,2.2446951654553322,1.3357640869828822,-0.55282222859353503,2.0653434857492665,44444,10.40129151291513,12.497652019032254,5,5,40,0.410400390625,44444,10.40129151291513,12.497652019032254,5,5,40,0.410400390625,44444,10.40129151291513,12.497652019032254,5,5,40,0.410400390625,1,1.5625e-05,0.2348692403486923,0.2348692403486923,0.2348692403486923,8,8,8,0.5625,0.5625,0.5625,0.5625,0.0024144756610575998,0.0050865384615384002
B2,B,86784,2.3893805309734515,6.2213003055924183,0.625,1.5625,1.5625,0.140625,86784,2.3893805309734515,6.2213003055924183,0.625,1.5625,1.5625,0.140625,86784,2.3893805309734515,6.2213003055924183,0.625,1.5625,1.5625,0.140625,1.9445114846776921,9.8412698412698418,1.9445114846776921,9.8412698412698418,1.9445114846776921,9.8412698412698418,0.140625,0.31640625,0.140625,0.19921875,0.140625,0.31640625,0.140625,0.19921875,0.140625,0.31640625,0.140625,0.19921875,5.7107964723718698,1.5625,0.31640625,0.27718996062992118,5.7107964723718698,1.5625,0.31640625,0.27718996062992118,5.7107964723718698,1.5625,0.31640625,0.27718996062992118,-2299,-0.035921874999999999,-1700,-0.026562499999999999,0.33333333333211052,-7.4096303009374156e-21,-1.4931244938916706e-22,0.33333333333210341,-1.8664056173645881e-22,0.33333333333210258,1.0000000000000238,1.3210312794256687e-14,0.33333333333211052,0.33333333333210319,0.33333333333210258,0.99999999999631661,0,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,1.0195064350540837,1.3059080415904956,1.0398300560164175,-0.1785912141586169,1.5266825156490054,83200,5.384615384615385,9.9926008128973685,2.5,2.5,2.5,0.390625,83200,5.384615384615385,9.9926008128973685,2.5,2.5,2.5,0.390625,83200,5.384615384615385,9.9926008128973685,2.5,2.5,2.5,0.390625,1,1.5625e-05,0.23809523809523811,0.23809523809523811,0.23809523809523811,4,4,4,0.625,0.625,0.625,0.625,0.017612497182992699,0.035945913461538401
B3,B,80392,2.4203278933227188,1.1130886454162725,0.9375,2.1875,4.0625,0,80392,2.4203278933227188,1.1130886454162725,0.9375,2.1875,4.0625,0,80392,2.4203278933227188,1.1130886454162725,0.9375,2.1875,4.0625,0,1.7190474819711872,6.2243359067253712,1.7190474819711872,6.2243359067253712,1.7190474819711872,6.2243359067253712,0.1188151041666666,0.10906982421875,0.1049967447916666,0.1122523716517857,0.1188151041666666,0.10906982421875,0.1049967447916666,0.1122523716517857,0.1188151041666666,0.10906982421875,0.1049967447916666,0.1122523716517857,0.44796019216017191,1.5625,0.29689788818359369,0.26059993233267709,0.44796019216017191,1.5625,0.29689788818359369,0.26059993233267709,0.44796019216017191,1.5625,0.29689788818359369,0.26059993233267709,-659,-0.010296875,-810,-0.012656250000000001,0.33333333333321519,-3.2909385212213209e-20,-1.0647921622984132e-20,0.33333333333323861,-3.8507373418414426e-19,0.33333333333323789,1.0000000000000704,4.0010160460865877e-14,0.33333333333323861,0.333333333333238,0.33333333333321519,0.9999999999996918,0.0057888230530703999,0.1188151041666666,0.1049967447916666,0.1188151041666666,0.1049967447916666,0.1188151041666666,0.1049967447916666,1.005299730060256,1.5562955466686299,1.0624070616740566,-0.3152451774186274,1.6241857313064982,91640,5.0282082060235709,9.5558874416191557,0.625,2.5,5,0.380859375,91640,5.0282082060235709,9.5558874416191557,0.625,2.5,5,0.380859375,91640,5.0282082060235709,9.5558874416191557,0.625,2.5,5,0.380859375,1,1.5625e-05,0.036552833042148597,0.036552833042148597,0.036552833042148597,4,4,4,0.875,0.875,0.875,0.875,0.0049719473031849997,0.011582932692307601
B4,B,105928,1.9516322407673137,0.89650062690579047,1.25,1.875,3.4375,0,105928,1.9516322407673137,0.89650062690579047,1.25,1.875,3.4375,0,105928,1.9516322407673137,0.89650062690579047,1.25,1.875,3.4375,0,1.8494811887526199,5.2402903386709765,1.8494811887526199,5.2402903386709765,1.8494811887526199,5.2402903386709765,0.1230875651041666,0.10791778564453119,0.1309366861979166,0.125732421875,0.1230875651041666,0.10791778564453119,0.1309366861979166,0.125732421875,0.1230875651041666,0.10791778564453119,0.1309366861979166,0.125732421875,0.38194192438550922,1.25,0.31544876098632812,0.26702448326771649,0.38194192438550922,1.25,0.31544876098632812,0.26702448326771649,0.38194192438550922,1.25,0.31544876098632812,0.26702448326771649,-1619,-0.025296875,-2070,-0.032343749999999998,0.33333333333112269,3.1909421103972073e-20,4.4654583469115438e-22,0.3333333333312693,1.3805708722534855e-20,0.3333333333312683,1.0000000000004403,2.5326081095326524e-13,0.33333333333126958,0.3333333333312683,0.33333333333112269,0.9999999999936604,0.013992799011013199,0.1230875651041666,0.1309366861979166,0.1230875651041666,0.1309366861979166,0.1230875651041666,0.1309366861979166,1.0026776272079214,1.2888338063568188,1.0340019211644744,-0.18110420247410031,1.5108928610468615,116600,3.8475771869639792,8.2518669124757444,0.625,1.875,4.6875,0.34326171875,116600,3.8475771869639792,8.2518669124757444,0.625,1.875,4.6875,0.34326171875,116600,3.8475771869639792,8.2518669124757444,0.625,1.875,4.6875,0.34326171875,1,1.5625e-05,0.0281661774404783,0.0281661774404783,0.0281661774404783,2.6666666666666665,2.6666666666666665,2.6666666666666665,1,1,1,1,0.0122947951096754,0.028155048076923001
B5,B,111112,1.7221362229102166,0.77675677622178185,1.25,1.5625,3.125,0,111112,1.7221362229102166,0.77675677622178185,1.25,1.5625,3.125,0,111112,1.7221362229102166,0.77675677622178185,1.25,1.5625,3.125,0,1.3703191180612979,3.4923052489637878,1.3703191180612979,3.4923052489637878,1.3703191180612979,3.4923052489637878,0.05401611328125,0.08331298828125,0.0535725911458333,0.061959402901785698,0.05401611328125,0.08331298828125,0.0535725911458333,0.061959402901785698,0.05401611328125,0.08331298828125,0.0535725911458333,0.061959402901785698,0.3089647476587018,0.9375,0.2919769287109375,0.24087644562007871,0.3089647476587018,0.9375,0.2919769287109375,0.24087644562007871,0.3089647476587018,0.9375,0.2919769287109375,0.24087644562007871,-2634,-0.041156249999999998,-2335,-0.036484374999999999,0.33333333333260667,3.4445542820119056e-20,1.0092027446475132e-19,0.333333333332614,-2.2967028115475611e-19,0.33333333333261311,1.000000000000022,1.1997345553260855e-14,0.333333333332614,0.33333333333261311,0.33333333333260667,0.99999999999783395,0.051734828598975498,0.05401611328125,0.0535725911458333,0.05401611328125,0.0535725911458333,0.05401611328125,0.0535725911458333,1.0013480189376538,1.2985922287748195,1.0133214763695253,-0.18750250515220659,1.4994794734254997,115032,4.0337471312330484,4.1125706232058015,1.25,3.125,6.875,0.0703125,115032,4.0337471312330484,4.1125706232058015,1.25,3.125,6.875,0.0703125,115032,4.0337471312330484,4.1125706232058015,1.25,3.125,6.875,0.0703125,1,1.5625e-05,0.02500289297645,0.0250028929764501,0.0250028929764501,4,4,4,0.5,0.5,0.5,0.5,0.020209989107572102,0.044615384615384598
C1,C,120284,1.5976563799009011,2.131991967415181,0.625,1.25,2.8125,0.019775390625,120284,1.5976563799009011,2.131991967415181,0.625,1.25,2.8125,0.019775390625,120284,1.5976563799009011,2.131991967415181,0.625,1.25,2.8125,0.019775390625,1.6191918111659365,4.002186200950927,1.6191918111659365,4.002186200950927,1.6191918111659365,4.002186200950927,0.0876617431640625,0.1068878173828125,0.090962727864583301,0.096906389508928506,0.0876617431640625,0.1068878173828125,0.090962727864583301,0.096906389508928506,0.0876617431640625,0.1068878173828125,0.090962727864583301,0.096906389508928506,1.0457674389128719,0.9375,0.29323196411132812,0.2377333753690945,1.0457674389128719,0.9375,0.29323196411132812,0.2377333753690945,1.0457674389128719,0.9375,0.29323196411132812,0.2377333753690945,-3174,-0.049593749999999999,-2575,-0.040234375000000003,0.33333333333269721,-2.1494041663321758e-20,9.1119005615658161e-20,0.33333333333286208,-3.3007950540253863e-19,0.3333333333328618,1.0000000000004947,2.8531992474637973e-13,0.33333333333286208,0.3333333333328618,0.33333333333269721,0.99999999999842104,0.097877650326257004,0.0876617431640625,0.090962727864583301,0.0876617431640625,0.090962727864583301,0.0876617431640625,0.090962727864583301,1.0069338319624397,1.2627728074122599,1.0272454573484471,-0.16331310777598729,1.4986526713944686,118300,3.9153634826711752,4.9254569190195827,0.9375,2.8125,6.875,0.107421875,118300,3.9153634826711752,4.9254569190195827,0.9375,2.8125,6.875,0.107421875,118300,3.9153634826711752,4.9254569190195827,0.9375,2.8125,6.875,0.107421875,1,1.5625e-05,0.075955617795126898,0.075955617795126898,0.075955617795126898,4,4,4,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.024223275991586499,0.052692307692307698
C10,C,111484,1.6900182985899319,4.6334909975653291,0.625,1.25,1.25,0.09765625,111484,1.6900182985899319,4.6334909975653291,0.625,1.25,1.25,0.09765625,111484,1.6900182985899319,4.6334909975653291,0.625,1.25,1.25,0.09765625,1.8281806898918851,7.407555742405175,1.8281806898918851,7.407555742405175,1.8281806898918851,7.407555742405175,0.10711669921875,0.2422332763671875,0.1104248046875,0.13690185546875,0.10711669921875,0.2422332763671875,0.1104248046875,0.13690185546875,0.10711669921875,0.2422332763671875,0.1104248046875,0.13690185546875,3.9928335144924487,0.9375,0.2874908447265625,0.2361762579970472,3.9928335144924487,0.9375,0.2874908447265625,0.2361762579970472,3.9928335144924487,0.9375,0.2874908447265625,0.2361762579970472,-3299,-0.051546874999999999,-2700,-0.042187500000000003,0.33333333333233361,-6.3095190322521099e-21,7.8829255415542739e-21,0.33333333333240778,-4.1607861023768325e-20,0.33333333333240789,1.0000000000002229,1.2855018143338948e-13,0.33333333333240789,0.33333333333240778,0.33333333333233361,0.99999999999714917,0.8267825262326195,0.10711669921875,0.1104248046875,0.10711669921875,0.1104248046875,0.10711669921875,0.1104248046875,1.0109101700681391,1.2039805160561594,1.0281847490550498,-0.12607862041647669,1.4803059770700129,110516,4.2251800644250608,7.4071754392767959,1.875,2.8125,4.375,0.27392578125,110516,4.2251800644250608,7.4071754392767959,1.875,2.8125,4.375,0.27392578125,110516,4.2251800644250608,7.4071754392767959,1.875,2.8125,4.375,0.27392578125,1,1.5625e-05,0.13812561620839289,0.13812561620839289,0.138125616208393,4,4,4,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.0251895705003004,0.051570913461538401
C11,C,118112,1.6955093470604172,3.2060060363994061,0.9375,1.25,2.1875,0.0478515625,118112,1.6955093470604172,3.2060060363994061,0.9375,1.25,2.1875,0.0478515625,118112,1.6955093470604172,3.2060060363994061,0.9375,1.25,2.1875,0.0478515625,2.2025082363901411,7.5044240940088542,2.2025082363901411,7.5044240940088542,2.2025082363901411,7.5044240940088542,0.14368184407552079,0.14434051513671869,0.1533203125,0.15872628348214279,0.14368184407552079,0.14434051513671869,0.1533203125,0.15872628348214279,0.14368184407552079,0.14434051513671869,0.1533203125,0.15872628348214279,2.1316159699773904,0.9375,0.305572509765625,0.25121493602362199,2.1316159699773904,0.9375,0.305572509765625,0.25121493602362199,2.1316159699773904,0.9375,0.305572509765625,0.25121493602362199,-2549,-0.039828124999999999,-1950,-0.030468749999999999,0.33333333333168191,2.6392082742620207e-20,1.2788410777768726e-22,0.33333333333209197,-1.339586028971274e-20,0.3333333333320887,1.0000000000012299,7.0742698615103687e-13,0.33333333333209197,0.3333333333320887,0.33333333333168191,0.99999999999586264,0.0048454912685076002,0.14368184407552079,0.1533203125,0.14368184407552079,0.1533203125,0.14368184407552079,0.1533203125,1.0157392509566436,1.4028578161268557,1.0985988926640518,-0.23291934875858761,1.5997125939961057,114848,3.9626288659793816,8.94149799570455,0.3125,1.5625,4.375,0.400390625,114848,3.9626288659793816,8.94149799570455,0.3125,1.5625,4.375,0.400390625,114848,3.9626288659793816,8.94149799570455,0.3125,1.5625,4.375,0.400390625,1,1.5625e-05,0.1180384858067285,0.1180384858067285,0.1180384858067285,8,8,8,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.019277508075420599,0.039852163461538401
C12,C,137036,1.4377243935900057,2.9871459314425537,0.3125,0.9375,1.875,0.046630859375,137036,1.4377243935900057,2.9871459314425537,0.3125,0.9375,1.875,0.046630859375,137036,1.4377243935900057,2.9871459314425537,0.3125,0.9375,1.875,0.046630859375,1.9280599770174169,5.756554597743051,1.9280599770174169,5.756554597743051,1.9280599770174169,5.756554597743051,0.1218617757161458,0.11759185791015619,0.12829996744791661,0.13270350864955349,0.1218617757161458,0.11759185791015619,0.12829996744791661,0.13270350864955349,0.1218617757161458,0.11759185791015619,0.12829996744791661,0.13270350864955349,2.0710875280799579,0.9375,0.300628662109375,0.2371374415600393,2.0710875280799579,0.9375,0.300628662109375,0.2371374415600393,2.0710875280799579,0.9375,0.300628662109375,0.2371374415600393,-3299,-0.051546874999999999,-2700,-0.042187500000000003,0.33333333333366377,-1.2548338651148801e-19,-1.040216220702986e-20,0.33333333333384019,-1.1775481374811891e-20,0.33333333333383408,1.0000000000005285,3.0016254128171331e-13,0.33333333333384002,0.33333333333383408,0.33333333333366377,1.0000000000013385,0.00038051895809000001,0.1218617757161458,0.12829996744791661,0.1218617757161458,0.12829996744791661,0.1218617757161458,0.12829996744791661,1.0045971370239737,1.3165061367020154,1.0418087843414117,-0.1950485888424241,1.526559916534648,136492,3.3579990036046068,5.2574669483737404,0.3125,2.1875,6.5625,0.134765625,136492,3.3579990036046068,5.2574669483737404,0.3125,2.1875,6.5625,0.134765625,136492,3.3579990036046068,5.2574669483737404,0.3125,2.1875,6.5625,0.134765625,1,1.5625e-05,0.041334339572976699,0.041334339572976699,0.041334339572976699,8,8,8,0.42857142857142849,0.42857142857142849,0.42857142857142849,0.42857142857142849,0.0251664334810697,0.055724759615384603
C13,C,169408,1.1178338685304119,3.1920925578279125,0.3125,0.625,1.25,0.067626953125,169408,1.1178338685304119,3.1920925578279125,0.3125,0.625,1.25,0.067626953125,169408,1.1178338685304119,3.1920925578279125,0.3125,0.625,1.25,0.067626953125,2.0920806471878106,6.612430310969831,2.0920806471878106,6.612430310969831,2.0920806471878106,6.612430310969831,0.1318206787109375,0.157257080078125,0.13375651041666661,0.1317138671875,0.1318206787109375,0.157257080078125,0.13375651041666661,0.1317138671875,0.1318206787109375,0.157257080078125,0.13375651041666661,0.1317138671875,2.8114071189484919,0.625,0.2889556884765625,0.2098148375984252,2.8114071189484919,0.625,0.2889556884765625,0.2098148375984252,2.8114071189484919,0.625,0.2889556884765625,0.2098148375984252,-6599,-0.103109375,-5400,-0.084375000000000006,0.33333333333281251,-1.6430373683992275e-20,1.998007440249025e-20,0.33333333333290172,-1.3574425548914096e-20,0.33333333333290049,1.0000000000002676,1.5341631739338577e-13,0.33333333333290172,0.33333333333290038,0.33333333333281251,0.99999999999861477,0.055679967409834497,0.1318206787109375,0.13375651041666661,0.1318206787109375,0.13375651041666661,0.1318206787109375,0.13375651041666661,1.0070773050127086,1.2088207366061712,1.0282788114163697,-0.1317129415116092,1.4807202989410038,170320,2.7359675904180367,5.3921672497588906,0.3125,1.5625,5.9375,0.1845703125,170320,2.7359675904180367,5.3921672497588906,0.3125,1.5625,5.9375,0.1845703125,170320,2.7359675904180367,5.3921672497588906,0.3125,1.5625,5.9375,0.1845703125,1,1.5625e-05,0.085885566139641698,0.085885566139641698,0.085885566139641698,4,4,4,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.050555199256310003,0.1046045673076923
