model_id,model_family,canonical_name_from_figure,excel_present,canonical_source_id,canonical_stl_path,canonical_stl_sha256,source_bucket,file_to_model_id_status,model_to_excel_identity_status,identity_note,source_candidate_count,source_extent_x_mm,source_extent_y_mm,source_extent_z_mm,source_surface_area_mm2,source_volume_mm3,binary_integrity_status,topology_status,connected_region_count,canonical_processing_readiness,stp_path,stp_brep_status,parity_state,processed_file,processed_sha256,processed_topology_status,processed_boundary_edge_count,processed_nonmanifold_edge_count,processed_connected_region_count,scale_ratio_max_over_min,anisotropic_scale_flag,final_geometry_gate
B1,Basic cubic truss lattice,SC,True,REF_STL::B1-Basic_Cubic-SC5.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/B1-Basic_Cubic-SC5.stl,a3de2c192173af6014db9e000da722f1bc907210ea250c35827451ae80a2b08a,reference_stl,confirmed,likely,source says SC5 while figure/Excel say SC; keep original name and audit as B1,1,29.999999046325684,30.0,30.00000095367432,15700.894105409578,8099.991984496155,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/B1-Basic_Cubic-SC5.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/B1__a3de2c1921__N40.stl,60a841495d7247426ab1496d7c391a5105bdc26d9cd09a5b39fbd84e1a109d4e,confirmed_closed_2manifold,0,0,1,1.00000006357829,False,pass
B2,Basic cubic truss lattice,SC8,True,REF_STL::B2-Basic_Cubic-SC8.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/B2-Basic_Cubic-SC8.stl,f691e0ffbdb51b5e9631e671a6d95d81ff665b764b6c0208d953cfd6faf93d7d,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,30.0,30.0,28204.957175253465,8114.198299315466,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/B2-Basic_Cubic-SC8.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/B2__f691e0ffbd__N40.stl,683a69172eab29e3705e51e0c8b1795a3845c87f1efeec4afe1041398c68b827,confirmed_closed_2manifold,0,0,1,1.0,False,pass
B3,Basic cubic truss lattice,BCC,True,REF_STL::B3-Basic_Cubic-BCC_Lattice.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/B3-Basic_Cubic-BCC_Lattice.stl,a272cdb9222309756d52e07d7bd10bf5c2eb7ebe3b216005fec40c6653843a30,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,30.0,29.999999046325684,17511.23122892864,8022.624658741212,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/B3-Basic_Cubic-BCC_Lattice.stp,confirmed_solid_brep,likely_same_geometry_tessellation_or_orientation,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/B3__a272cdb922__N40.stl,beb368e9c9945669cc202046802bd24ec15e70b61cd472ce061e2e482ba70afc,confirmed_closed_2manifold,0,0,1,1.000000031789145,False,pass
B4,Basic cubic truss lattice,BCC2,True,REF_STL::B4-Basic_Cubic-BCC2.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/B4-Basic_Cubic-BCC2.stl,388389ea80512d4da4f444d9700473ee344d72885dc0e6c35f4c7b94ae0b188b,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,29.999999046325684,30.0,27789.18890375854,8164.46928636518,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/B4-Basic_Cubic-BCC2.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/B4__388389ea80__N40.stl,11f2a525df3fc20d5edfccc25da481c6354fa7b1685a058aedbf9fc31a431bbd,confirmed_closed_2manifold,0,0,1,1.000000031789145,False,pass
B5,Basic cubic truss lattice,FCC,True,REF_STL::B5-Basic_Cubic-FCC.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/B5-Basic_Cubic-FCC.stl,771679e2b40f5231dbf306a480fd8c4777756fcc823f52033fcc44908a088a99,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.00000095367432,30.0,30.0,30629.09884157126,8056.626101867536,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/B5-Basic_Cubic-FCC.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/B5__771679e2b4__N40.stl,05733dbc3b18346665c998dad50d833f12e6fef66b76e917b326607aee4ec9de,confirmed_closed_2manifold,0,0,1,1.000000031789144,False,pass
C1,Cubic truss lattice,SC+FCC,True,REF_STL::C1-Cubic_truss_lattice-SC-FCC.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/C1-Cubic_truss_lattice-SC-FCC.stl,7755dda7d0a3cee9045339bb2c2f85d003af7027fc0d4be87c1cc112508999bd,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.00000095367432,30.0,30.0,34922.09777341067,8132.861818395097,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/C1-Cubic_truss_lattice-SC-FCC.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/C1__7755dda7d0__N40.stl,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,confirmed_closed_2manifold,0,0,1,1.000000031789144,False,pass
C2,Cubic truss lattice,SC2+FCC,True,REF_STL::C2-Cubic_truss_lattice-SC2-FCC.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/C2-Cubic_truss_lattice-SC2-FCC.stl,de69021e73d6fc8fb593973ba77122aaf0ee232d80d26711749dd9d01da9dc5a,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,30.0,29.999999046325684,37115.362412810064,8182.442014502897,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/C2-Cubic_truss_lattice-SC2-FCC.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/C2__de69021e73__N40.stl,c1a446e7bbe52ae33cee5c8104d1d269e1694346264cb8535b467064ba0037f8,confirmed_closed_2manifold,0,0,1,1.000000031789145,False,pass
C3,Cubic truss lattice,SC8+FCC,True,REF_STL::C3-Cubic_truss_lattice-SC8-FCC.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/C3-Cubic_truss_lattice-SC8-FCC.stl,a6156c5a3a7b34463204491b5c0770a87ab33b34999bb57dca7c04875db3979f,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,30.0,30.0,41748.42884615287,8164.468907937359,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/C3-Cubic_truss_lattice-SC8-FCC.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/C3__a6156c5a3a__N40.stl,570d4c085232f2ed5bdb1b2e3c7e8758028a616014ca912abff34c3fdeea78b7,confirmed_closed_2manifold,0,0,1,1.0,False,pass
C4,Cubic truss lattice,SC+DGR,True,REF_STL::C4-Cubic_truss_lattice-SCDGR.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/C4-Cubic_truss_lattice-SCDGR.stl,24a7d3407ece874c4b357d7bee2dcab872d4ea47120d5b7eed48e8556e1289f1,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,29.999999046325684,30.0,30.0,27882.165167975552,8034.249751617826,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/C4-Cubic_truss_lattice-SCDGR.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/C4__24a7d3407e__N40.stl,db59768f4bd323b082c1a8beaf5ba2d586f5f4465df73fcf5f8246dc0be804b4,confirmed_closed_2manifold,0,0,1,1.000000031789145,False,pass
C5,Cubic truss lattice,SC+DGR2,True,REF_STL::C5-Cubic_truss_lattice-SCDGR2.stl,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stl/C5-Cubic_truss_lattice-SCDGR2.stl,1cbefbd50dd308ff0bbb3eec47aedc1bc07cb50e0f84c55fcdddcaf0ba591e05,reference_stl,confirmed,confirmed,direct individual Notion STL/STP and established model registry agree,1,30.0,30.00000095367432,30.00000095367432,29770.55832709882,8070.130995604856,confirmed_pass,confirmed_closed_2manifold,1,accepted_for_n40_and_stl_native_slice,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701/stp/C5-Cubic_truss_lattice-SCDGR2.stp,confirmed_solid_brep,confirmed_metric_parity,experiments/lab_001_xy_connection_20260626/data/processed/n40_all58_20260715/stl/C5__1cbefbd50d__N40.stl,f64cc9fce0895dbd51fab7b8440e6f86ded1357b2469148913d81133fbfab782,confirmed_closed_2manifold,0,0,1,1.000000031789144,False,pass
