alias,expected_sha256,current_sha256,status
GEN-TPMS-MULTIWALL-VF50-20260716,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,passed
GEN-LATTICE-TYPEAB-20260716,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,passed
TRAIN-1ST-NEWFEATURE,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,passed
TRAIN-1ST-LEGACY,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,passed
TRAIN-2ND-NEWFEATURE,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,passed
TRAIN-2ND-LEGACY,7514863928df8e71833f97d0bedb905d7d0654f20cbff8c4f42ee371c182fd39,7514863928df8e71833f97d0bedb905d7d0654f20cbff8c4f42ee371c182fd39,passed
TRAIN-3RD-NEWFEATURE,09cf2d4213d689cfe272314c41d4b0fd0b9b5a10c4d1b0fe6e44ffe192ec037c,09cf2d4213d689cfe272314c41d4b0fd0b9b5a10c4d1b0fe6e44ffe192ec037c,passed
TRAIN-3RD-LEGACY,e265a21f1f836c2d81cfe8c4cf7063c3c2aa4e5f52e40a859f31a217f7aca3bd,e265a21f1f836c2d81cfe8c4cf7063c3c2aa4e5f52e40a859f31a217f7aca3bd,passed
TRAIN-4TH-ENSEMBLE,d9f6548c8a239fe213732a78ed4e3da8e0843ccb4f98a4fd996f2cc579af8100,d9f6548c8a239fe213732a78ed4e3da8e0843ccb4f98a4fd996f2cc579af8100,passed
TRAIN-5TH-ALLTOGETHER,5076091043319f042f5fd08b4fd9bdc20c042c81d18a7a9cd794acd99268b792,5076091043319f042f5fd08b4fd9bdc20c042c81d18a7a9cd794acd99268b792,passed
TRAIN-5TH-FIXED,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,passed
NB-CURRENT-V0-1,efd5dbfdc44e3fb36e8f02286de1a29a33c0b0f1b1b3589970cc60996bfe1230,efd5dbfdc44e3fb36e8f02286de1a29a33c0b0f1b1b3589970cc60996bfe1230,passed
NB-CURRENT-V0-1-E2E,91515be223128e55bb93ca2397fdbdbe46c7b3ed2de1515324e58f8036a4f9ea,91515be223128e55bb93ca2397fdbdbe46c7b3ed2de1515324e58f8036a4f9ea,passed
NB-CURRENT,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,passed
