lineage,descriptor,aggregation,statistic,value
LEGACY2 direct PNG,Thickness,IP,avg,4.146104570493416
LEGACY2 direct PNG,Thickness,IP,stdev_population_ddof0,38.82045163283984
LEGACY2 direct PNG,Thickness,LIP,avg,138.5433944357509
LEGACY2 direct PNG,Thickness,LIP,stdev_population_ddof0,323.1723820524668
LEGACY2 direct PNG,Thickness,LTP,avg,483.92442247190985
LEGACY2 direct PNG,Thickness,LTP,stdev_population_ddof0,207.85888099208915
LEGACY2 direct PNG,MassOri,IP,avg,0.9764151288479456
LEGACY2 direct PNG,MassOri,IP,stdev_population_ddof0,0.03210941012098611
LEGACY2 direct PNG,MassOri,LIP,avg,0.9748659439955892
LEGACY2 direct PNG,MassOri,LIP,stdev_population_ddof0,0.06464664680263606
LEGACY2 direct PNG,MassOri,LTP,avg,0.969479584277244
LEGACY2 direct PNG,MassOri,LTP,stdev_population_ddof0,0.07843910000722837
LEGACY2 direct PNG,Curvature,IP,avg,0.7347321519670608
LEGACY2 direct PNG,Curvature,IP,stdev_population_ddof0,0.4831879993472928
LEGACY2 direct PNG,Curvature,LIP,avg,0.7360948444945932
LEGACY2 direct PNG,Curvature,LIP,stdev_population_ddof0,1.7718613655105846
LEGACY2 direct PNG,Curvature,LTP,avg,50.32520031538638
LEGACY2 direct PNG,Curvature,LTP,stdev_population_ddof0,39.43283191809347
LEGACY2 direct PNG,Angle,IP,avg,42.48298885234723
LEGACY2 direct PNG,Angle,IP,stdev_population_ddof0,25.344831813562926
LEGACY2 direct PNG,Angle,LIP,avg,51.54805013490645
LEGACY2 direct PNG,Angle,LIP,stdev_population_ddof0,19.773021319701456
LEGACY2 direct PNG,Angle,LTP,avg,51.54805013490645
LEGACY2 direct PNG,Angle,LTP,stdev_population_ddof0,19.773021319701456
LEGACY2 direct PNG,PerimeterArea,IP,avg,0.1332424566108302
LEGACY2 direct PNG,PerimeterArea,IP,stdev_population_ddof0,0.04068021656656099
LEGACY2 direct PNG,PerimeterArea,LIP,avg,0.11447674817408751
LEGACY2 direct PNG,PerimeterArea,LIP,stdev_population_ddof0,0.05009930596706065
LEGACY2 direct PNG,PerimeterArea,LTP,avg,0.11447674817408751
LEGACY2 direct PNG,PerimeterArea,LTP,stdev_population_ddof0,0.05009930596706065
LEGACY3 direct PNG,Angle,weighted_component,avg,60.50370206563508
LEGACY3 direct PNG,Angle,weighted_component,stdev_population_ddof0,17.490018557263603
LEGACY3 direct PNG,Thickness,weighted_component,avg,13.82753577103797
LEGACY3 direct PNG,Thickness,weighted_component,stdev_population_ddof0,13.140383511789489
LEGACY3 direct PNG,MassOri,weighted_component,avg,0.971420959905691
LEGACY3 direct PNG,MassOri,weighted_component,stdev_population_ddof0,0.08575382202422008
LEGACY3 direct PNG,Curvature,weighted_component,avg,0.9641645638635571
LEGACY3 direct PNG,Curvature,weighted_component,stdev_population_ddof0,2.3406502944173435
LEGACY3 direct PNG,PerimeterArea,weighted_component,avg,0.06578960763420491
LEGACY3 direct PNG,PerimeterArea,weighted_component,stdev_population_ddof0,0.056161253252417394
