pair_index,red_pixels,blue_pixels,purple_pixels,png_sha256
0,0,0,571000,be582b5d59f8795bfabd00d8437c51a383f23399aea2931ac92fae4c48dd0a5e
1,0,600,571000,e14cadb16c71ec461f868fb5553c47bc9e731adc2b2ce8509c7b6fda40e68844
2,0,600,571600,9f9f0721777d2f5ec5f2a6c2b89f0f7f48b3f75dc8b9305922d12a3ba89eba4b
3,0,800,572200,60ff965e161acaeaa8253eec5de07983f5ca9217f9678e39a2601284282da557
4,0,1000,573000,cc4e94174bbf95af40ca1f7ca2b64fb9ddffbf9c667469091c6684ecd1b3af99
5,0,2600,574000,bea95158c5858127bb921047e5483caad88d6d75f9969ee1e7f53cd3be3f61bb
6,0,1600,576600,d989bc099220bc4d397b6ec1011d3d684ee38685798b28a7e6900df34bbbd069
7,0,1800,578200,4767cd7772c2130ab6da3a516093b01a0d60d59b652596d086636320ad767a92
8,0,2000,580000,d5ff5b831242953fa085cde396d9a4b5bc4715d0ebb2f614dfbb1c53f15129d3
9,0,4600,582000,c15261213e31328b8d7e9bef620a91a47232b67fec6d11446b0a4267e20a24a7
10,0,2600,586600,f7cb568c05ff98fb460ec8653d1ed04c01f83adc2e2e64b368a6b812b94531eb
11,435200,2800,154000,9c2e130209d156e4047d5fc26766ba84997a604be24574caa52944401aed2f26
12,2,5600,156798,c9685dde8467a1dc57f6ab0f46b9005ce860d2098f0e2d3a7e0d7c31e3d73e53
13,0,11202,162398,8f09b3e57b560fb455bfe662fa48a80a822022b2487d4c91d47059b098b5ee76
14,0,5600,173600,9df5a69499e1191066a16c5f4a195a433db0b04147b0a3501ad019e55d32b09c
15,0,5600,179200,1439f6ce19034c6f43b53223fc8b7dbe80e8e71bca5268329269d11aefc8205c
16,100,5600,184700,1cc45d67d5c7224a67278229f09b7ec6302363cf25e12d639e8eb7e94e587d05
17,300,11200,190000,0afe22e114f6ec80ef8184aa252f62547a4384f9bf09ee76b266aa0258952d90
18,1200,5600,200000,d7df093809220515461b493539cd6b8688b982b97671b2c9dc0f525ad149acaf
19,900,5600,204700,cd5b5dd64027b00a359185ca69ea688a16bc255b3a96734ca9652bada0437694
20,1100,5600,209200,1340d25f782274454fd03a6c30f410b3c831e0a004d4eaf0e7ab9a2b2c789d05
21,1300,11200,213500,f2c77cafae89792dfacf482315d4f99ec848d261a6577262bf875c1bfafb7c4e
22,3216,5600,221484,e2e7ff28d5fa992b805d660aaba6bbbbeb48758f922257d870433e6f42fe5774
23,1900,5616,225184,3ee2d99ced7fb91ebd630d79661d670f831667e73f40a7d34310661377c0d335
24,2100,5600,228700,f7b451cee57bcf823e822f5b7d8e3567c2197d7d1934d35643771eec902cdbb2
25,2300,11200,232000,bb6009c9763451abb4d745b13dafea1c466f2521495676ae81a8fc6f12352f8e
26,5200,5600,238000,0e5c17a9582e8990df36698557a451c187a9332795e414e0263e1162d40a9837
27,5600,5600,238000,9896404dafe20cdac0f3c50b37a1496678b57dc8b4c679c1e16cdbf2afbb7987
28,5600,5600,238000,d4c0deeb7dde11ab2a64cc6c7886790d20d5571d9927763a17e175ffc096721d
29,5600,11200,238000,ece694c4b74395e5bf42d792e2e4dab12853543d06ad9fe2797619d2569c3d4e
30,11200,5600,238000,75e702a70b9a5da911b548daba62cfbd222695aabc0931378b9a23c8e053659b
31,5600,5600,238000,be354fbd146f25e27479b0ae00f9fc206a9a4e681e5aaa9b34359db7078fcb70
32,5600,5600,238000,91dbd1e46f4f6cb9661a3b86357972fb39dcac0bcffb32f97a16cf8f6c36961f
33,5600,11200,238000,e53c037d921a2bd49477fa2bc7550b820c5b1ba3d6a14016b1f5ef3f810f7148
34,11200,5600,238000,fd408026d80618678bc7369485b137e5ea5c8aa3deaf360dc2af054c073ad83f
35,5600,5600,238000,317ea46f9f2598bd8a83a965e92a5a9f6c73aff007b7701c18044f76af6c3afb
36,5600,5600,238000,8a308c8789b0eb4b5db849c236446244f484aaa86c6c7b9cddafa563e49f46da
37,5600,11200,238000,f1fbb0f0438283fecca17795a3fdadd225b0de2a1d43746dfea703c9fb98e865
38,11200,5600,238000,2df26fca6b14976815d7b47c40955d29b18f9a335ff668f2c04492291ed7b445
39,5600,5600,238000,1fdc1ebf5a19139df9e1f139cae23390e5a39a58f3ea5a3e0f29ce9c0d7f4ebd
40,5600,5600,238000,6a75a0d663964ae4c81a700972cfb91633b3617e4eac80a660920b8c60743ef2
41,5600,11200,238000,f59c0a2d60c2595247d03de84c707495f734b5ff07747810eb29a60919c690db
42,11200,5600,238000,96997a7ce7ed942aad69e8176cba51416d2b81a9affe98ade2645ed1eb459d65
43,5600,5600,238000,fb29a19a6b8a152e55de81f5b03e0af95ed5e0ce49118898bdd740f2a930d4c5
44,5600,5600,238000,a200c91354d048c4e6a6915c71395be506879f7f306aec0be29e773d769dfea7
45,5600,11200,238000,e501e40a0afc131f74f24fe4e4b56484dfa97fe3655cdfb6c7f32c07eb4deb57
46,11200,5600,238000,dd995839879afcf719ff20d56b570c0a867b3d07dfb81b9b7569eee24a5d9d8c
47,5600,5600,238000,c77f249c458e06f062d4f5a2e6ace5e77a3723fe18ac2c9c4f82824afc4c83bd
48,5600,5600,238000,ce5393a808aad5b842e7b18f0d41521ec6f7d1c29ccdebceea762a1b5a60a7ef
49,5600,11200,238000,5419e72c3b148a0af9fc9643dc82db05d1cd2b7502df23ffdfe3c8336e9bc955
50,11200,5600,238000,4f0e153be1a486fb808b8331284161cfc7edc07413f6c71c7aec2c9ccff45b2b
51,5600,5600,238000,10b78f7153ec36251d063446dcb07ac522c28c62e09e5ac622328aa5b92e0580
52,5600,5600,238000,1d635731fbc5760a929fb4da12d297e2eb00fa893a297221758ccd307dbe495e
53,5600,10400,238000,262db1b93f7492d1a8b39083849c887fc3ec67820053230c4ffaba33f2e595bb
54,11200,4600,237200,af2f6a826c350f5011665d87555f6eb62ea58116be70dd57c4a0801925a54985
55,5600,4200,236200,8c49a7177a8984dea1a5bbe7671dd46d8ac4a5a1d8972db54ff19eab844becce
56,5620,3800,234780,f37b3ce348e36ad1ce0de297baa178ec11306687d0dfc9236f54dbd2bbd161bd
57,5600,6420,232980,055e30b52f7d1d6b21ee9171f1ab5f9b703346406a8f2df34e91f385a6154b86
58,11200,2600,228200,f1b8a15676f714c3d264df67aff6dbe6856655e05d90ca006744ca27dcc2c3b5
59,5600,2200,225200,c0a18f7376ed40caf4b9967b0243b33ba75f7234d54b57630f34ad9508bad35a
60,5600,1800,221800,a94ed18c807301ff6bc21b1881520211cfd65adf5f4f273f8ff7ff1a72f31d25
61,5600,2400,218000,56b94ba226a8dee52e41522646cf0fc746e7cc6956ba2c40551bb288f0305dda
62,11200,600,209200,68a5ff4b9bf091d7ed6c9cb1cc5af7139dfa096e94428ba0da06c714afca5061
63,5600,200,204200,1d91ea34156394d53cf4babab332b535e371c111aa19c8d14ecfeea79f6b017d
64,5600,0,198800,1fc72d48fa942fd4b39dec54a9361058fc35ec3fdbd3649da063a7a22cc60423
65,5600,0,193200,9a7893f3f7d4eccb714cbaf4a98ef66dbf86cd1cd83d1d517f72a024d1699ed9
66,11200,0,182000,36fbf2abf1cdfd2cb81c0a8fc9d8ff678a42809174bef6d42da99304ea061bb5
67,5600,0,176400,ecc78c42785ce7123f43e7ea97f0c42dbb5486f6a4e7ad200e835fe841cc6171
68,5600,253200,170800,775cc1d22b8e81487649b73acec81a159df4bd6e4dc625219737cd6b8fad182a
69,5200,0,418800,1edaf2cd96c850a823beb97adad5571839c1a3e5b126371e30e912ff5105720f
70,9200,0,409600,dfcdde964284b05939739894d3e304a14811e3cd7f6fd7deac0aff929546cf4b
71,4003,0,405597,4ceb8ab66a696c11f087a25b404cca4f868c82c95261445223ac206d1290ee1f
72,3600,3,401997,9b48034704edf1762979a3eebd6355da1c5815874aef446215c07e1f3a73ae0f
73,3201,0,398799,ff55273b277b04ea905c92a48be96ddc59fca992b8af88263d034954c3f4b488
74,5200,2,393599,15200040c6b8be518f29dff0f4481fa9d95bba10c341c03523596b40387ab9c2
75,2001,1,391600,5cdc4182ce591f98a1ac42b11150ac03e057ed898d08b1501f6f1c774462fc9a
76,1601,1,390000,5f8535c38b292678f8f7cc17893556ef62df37cc1c98663f72057cd3b07d4e90
77,1201,0,388800,27d1abf46fabcba05a58881e569a65f94eb009ee16becdad538af7905dd436c1
78,1200,0,387600,c69cdf51264471b40435fb47e70df7df349b13df0210609e0f4189f247532f03
79,0,0,387600,2281d1ff451249f2953d6ffae53dfe4c857f767fedb733ce02d7752afdcc0110
80,0,0,387600,2281d1ff451249f2953d6ffae53dfe4c857f767fedb733ce02d7752afdcc0110
81,0,1200,387600,00a64e024a66093e669b9300ac359683b87e1dce38516a4084f1d2e1920a46e8
82,0,1201,388800,75225198cd2886f4d60b481dd3a1e50e06baee7678b53e200bcee93b76b8ad8d
83,1,1601,390000,0a5b49ba87659b88ff3a07a5aeee3cdab1ee610a0d13c16b369fc8c365c876b9
84,1,2000,391600,dded7c2551afd69ade574ada9c280da40e65ccea0a606c060d28c088a2b55c80
85,1,5200,393599,6b746c5a8c4e59439e0edced7f0429ac6cf92e82f517685b5ac1b1d9c7c842a9
86,0,3201,398799,395d489c22b68a53f0ca22239aec2a65e9f3029349ce6a63ed7857a1984a26b6
87,3,3600,401997,c1ed126797b9cd060e014564494a992c572b82ff73df28e8f6a0d52250a040c5
88,0,4003,405597,0436e9238f477c98e9a16da7f096dce5dd92e117e79d9ee68e2801e5e55df402
89,0,9200,409600,13dace600595aa7d573e2976484dd70c4aec13dfdf746ca805c5dd4ca64dbb36
90,0,5200,418800,ab07339cfecb904223ce0e90056c9623621ea00cb8b64d5a5cb72662e7115663
91,253200,5600,170800,d86cc1e5922a4f2056ba15a26cb0f87b04c89887b72be150df81b60d3558b9f9
92,0,5600,176400,b82fd02ded0ed8d94d2d29f0cc5f997e55689ef7d52a36fc3724114ada0f2dfc
93,0,11200,182000,4ae614feeb6feb10bd7b4eceb39c7f2cdaeb291840d759de7ddee27fae038f87
94,0,5600,193200,f5b4ab2ab28dea08ddb6d1013db2b3c75000a3a8b69abf5041a8dd2c96ffb513
95,0,5600,198800,ada52679e20a770e9291e264784dcf75c069d6ae3d8244ca50d0ec019167fed4
96,200,5600,204200,f6899b7def1473b7a3fbea38ab9b5ed5f9f4c034eadc6d3b1ec49f4757877a41
97,600,11200,209200,785d17eb6bf38d4f54b5aa4d135a801b08ef9620fbc36c5340bff1a0a3accf09
98,2400,5600,218000,53d92069683a22cc20d5a15939bf5b380176213f661feb0136b2e5f876665038
99,1800,5600,221800,def703a232224afdfbeecc1ff0babdb703802c8e44a9ecf8eb6657b949f95fad
100,2200,5600,225200,49050b572ddbf78874961ad3fd205c568cd22fdaf00989e082e7039dd3e25e42
101,2600,11200,228200,2050f697b3e8b21602de96467231fd6df89dd8c9d09837f8a5a0e2ed920e74c5
102,6420,5600,232980,3e6f1b0f13697d36241f13d89ff04101b1ddcbbea296ac5127e4c9c67dadc119
103,3800,5620,234780,103af5e113ea9e955fffa3acb5685f41fe9ec21d19052367e062ef7aeb2aecb2
104,4200,5600,236200,0cc6c49f3871b0d830e51bfd1172b5aa5977d63126f519211e5f369bfc3ad61d
105,4600,11200,237200,1d6b385b7b727c8f77313feeb621f7877d4846c11a74d9b95f2bee07b7f98421
106,10400,5600,238000,dcd9e97d0b64057cfd34c3f7ea9ca7444ea48cd2540b691c2f6a122fa471d9d9
107,5600,5600,238000,7aeccee3a60113286b7b405627a58ee083aa37a03f3e180fba0ce207cd845580
108,5600,5600,238000,0599b20e3df3f04676574498d8f1796b02f257e6f7c319bf8c83749189782213
