model_id,component_scope,slice_index_a,slice_index_b,component_id,source_label,pixel_count,bbox_col_min,bbox_row_min,bbox_col_max,bbox_row_max,area_mm2,connectivity,min_component_pixels
F1,slice_mask,1,,1,1,4392,68,69,138,140,7.027200000000001,8,2
F1,slice_mask,1,,2,2,1400,266,70,285,139,2.24,8,2
F1,slice_mask,1,,3,3,4391,68,267,138,337,7.025600000000001,8,2
F1,slice_mask,1,,4,4,1400,266,267,285,336,2.24,8,2
F1,slice_mask,1,,5,5,4436,68,464,138,535,7.0976,8,2
F1,slice_mask,1,,6,6,1400,266,465,285,534,2.24,8,2
F1,slice_mask,1,,7,7,4391,68,662,138,732,7.025600000000001,8,2
F1,slice_mask,1,,8,8,1400,266,663,285,732,2.24,8,2
F1,slice_mask,1,,9,9,4392,68,859,138,930,7.027200000000001,8,2
F1,slice_mask,1,,10,10,1400,266,860,285,929,2.24,8,2
F1,slice_mask,2,,1,1,4653,67,68,139,140,7.444800000000001,8,2
F1,slice_mask,2,,2,2,4438,265,69,335,140,7.1008000000000004,8,2
F1,slice_mask,2,,3,3,2376,462,70,502,139,3.8016,8,2
F1,slice_mask,2,,4,4,4679,67,266,139,338,7.486400000000001,8,2
F1,slice_mask,2,,5,5,4416,265,267,335,337,7.065600000000001,8,2
F1,slice_mask,2,,6,6,2395,462,267,502,336,3.8320000000000003,8,2
F1,slice_mask,2,,7,7,4676,67,463,139,536,7.4816,8,2
F1,slice_mask,2,,8,8,4462,265,464,335,535,7.139200000000001,8,2
F1,slice_mask,2,,9,9,2376,462,465,502,534,3.8016,8,2
F1,slice_mask,2,,10,10,4679,67,661,139,733,7.486400000000001,8,2
F1,slice_mask,2,,11,11,4416,265,662,335,732,7.065600000000001,8,2
F1,slice_mask,2,,12,12,2395,462,663,502,732,3.8320000000000003,8,2
F1,slice_mask,2,,13,13,4653,67,859,139,931,7.444800000000001,8,2
F1,slice_mask,2,,14,14,4438,265,859,335,930,7.1008000000000004,8,2
F1,slice_mask,2,,15,15,2376,462,860,502,929,3.8016,8,2
F1,slice_mask,3,,1,1,4944,66,67,140,141,7.9104,8,2
F1,slice_mask,3,,2,2,4696,264,68,336,141,7.5136,8,2
F1,slice_mask,3,,3,3,4504,461,69,532,140,7.2064,8,2
F1,slice_mask,3,,4,4,3594,659,70,719,139,5.7504,8,2
F1,slice_mask,3,,5,5,4975,66,265,140,339,7.96,8,2
F1,slice_mask,3,,6,6,4704,264,266,336,338,7.526400000000001,8,2
F1,slice_mask,3,,7,7,4482,461,266,532,337,7.171200000000001,8,2
F1,slice_mask,3,,8,8,3639,659,267,719,337,5.8224,8,2
F1,slice_mask,3,,9,9,4912,66,462,140,537,7.8592,8,2
F1,slice_mask,3,,10,10,4742,264,463,336,536,7.5872,8,2
F1,slice_mask,3,,11,11,4508,461,464,532,535,7.2128000000000005,8,2
F1,slice_mask,3,,12,12,3594,659,465,719,534,5.7504,8,2
F1,slice_mask,3,,13,13,4975,66,660,140,734,7.96,8,2
F1,slice_mask,3,,14,14,4704,264,661,336,733,7.526400000000001,8,2
F1,slice_mask,3,,15,15,4482,461,662,532,733,7.171200000000001,8,2
F1,slice_mask,3,,16,16,3639,659,662,719,732,5.8224,8,2
F1,slice_mask,3,,17,17,4944,66,858,140,932,7.9104,8,2
F1,slice_mask,3,,18,18,4696,264,858,336,931,7.5136,8,2
F1,slice_mask,3,,19,19,4504,461,859,532,930,7.2064,8,2
F1,slice_mask,3,,20,20,3594,659,860,719,929,5.7504,8,2
F1,slice_mask,4,,1,1,5139,66,66,141,142,8.2224,8,2
F1,slice_mask,4,,2,2,4975,263,67,337,141,7.96,8,2
F1,slice_mask,4,,3,3,4690,461,68,533,141,7.5040000000000004,8,2
F1,slice_mask,4,,4,4,4508,658,69,729,140,7.2128000000000005,8,2
F1,slice_mask,4,,5,5,4180,856,70,924,139,6.688000000000001,8,2
F1,slice_mask,4,,6,6,5202,66,264,141,340,8.3232,8,2
F1,slice_mask,4,,7,7,5000,263,265,337,339,8.0,8,2
F1,slice_mask,4,,8,8,4679,461,266,533,338,7.486400000000001,8,2
F1,slice_mask,4,,9,9,4502,658,266,729,337,7.203200000000001,8,2
F1,slice_mask,4,,10,10,4244,856,267,924,337,6.7904,8,2
F1,slice_mask,4,,11,11,5100,66,462,141,537,8.16,8,2
F1,slice_mask,4,,12,12,4978,263,462,337,537,7.9648,8,2
F1,slice_mask,4,,13,13,4726,461,463,533,536,7.5616,8,2
F1,slice_mask,4,,14,14,4508,658,464,729,535,7.2128000000000005,8,2
F1,slice_mask,4,,15,15,4180,856,465,924,534,6.688000000000001,8,2
F1,slice_mask,4,,16,16,5202,66,659,141,735,8.3232,8,2
F1,slice_mask,4,,17,17,5000,263,660,337,734,8.0,8,2
F1,slice_mask,4,,18,18,4679,461,661,533,733,7.486400000000001,8,2
F1,slice_mask,4,,19,19,4502,658,662,729,733,7.203200000000001,8,2
F1,slice_mask,4,,20,20,4244,856,662,924,732,6.7904,8,2
F1,slice_mask,4,,21,21,5139,66,857,141,933,8.2224,8,2
F1,slice_mask,4,,22,22,4975,263,858,337,932,7.96,8,2
F1,slice_mask,4,,23,23,4691,461,858,533,931,7.5056,8,2
F1,slice_mask,4,,24,24,4508,658,859,729,930,7.2128000000000005,8,2
F1,slice_mask,4,,25,25,4180,856,860,924,929,6.688000000000001,8,2
F1,slice_mask,5,,1,1,5418,65,65,142,143,8.668800000000001,8,2
F1,slice_mask,5,,2,2,5263,262,66,338,142,8.4208,8,2
F1,slice_mask,5,,3,3,4957,460,67,534,142,7.9312000000000005,8,2
F1,slice_mask,5,,4,4,4712,657,68,729,141,7.5392,8,2
F1,slice_mask,5,,5,5,4462,855,69,925,140,7.139200000000001,8,2
F1,slice_mask,5,,6,6,5492,65,263,142,341,8.7872,8,2
F1,slice_mask,5,,7,7,5304,262,264,338,340,8.4864,8,2
F1,slice_mask,5,,8,8,4975,460,265,534,339,7.96,8,2
F1,slice_mask,5,,9,9,4690,657,265,729,338,7.5040000000000004,8,2
F1,slice_mask,5,,10,10,4486,855,266,925,338,7.1776,8,2
F1,slice_mask,5,,11,11,5408,65,461,142,538,8.652800000000001,8,2
F1,slice_mask,5,,12,12,5222,262,461,338,538,8.3552,8,2
F1,slice_mask,5,,13,13,4992,460,462,534,537,7.9872000000000005,8,2
F1,slice_mask,5,,14,14,4726,657,463,729,536,7.5616,8,2
F1,slice_mask,5,,15,15,4462,855,464,925,535,7.139200000000001,8,2
F1,slice_mask,5,,16,16,5492,65,658,142,736,8.7872,8,2
F1,slice_mask,5,,17,17,5304,262,659,338,735,8.4864,8,2
F1,slice_mask,5,,18,18,4975,460,660,534,734,7.96,8,2
F1,slice_mask,5,,19,19,4690,657,661,729,734,7.5040000000000004,8,2
F1,slice_mask,5,,20,20,4486,855,661,925,733,7.1776,8,2
F1,slice_mask,5,,21,21,5418,65,856,142,934,8.668800000000001,8,2
F1,slice_mask,5,,22,22,5263,262,857,338,933,8.4208,8,2
F1,slice_mask,5,,23,23,4957,460,857,534,932,7.9312000000000005,8,2
F1,slice_mask,5,,24,24,4712,657,858,729,931,7.5392,8,2
F1,slice_mask,5,,25,25,4462,855,859,925,930,7.139200000000001,8,2
F1,slice_mask,6,,1,1,5724,64,65,143,144,9.1584,8,2
F1,slice_mask,6,,2,2,5465,261,65,338,143,8.744,8,2
F1,slice_mask,6,,3,3,5176,459,66,534,142,8.281600000000001,8,2
F1,slice_mask,6,,4,4,4978,656,67,730,142,7.9648,8,2
F1,slice_mask,6,,5,5,4726,854,68,926,141,7.5616,8,2
F1,slice_mask,6,,6,6,5777,64,262,143,342,9.2432,8,2
F1,slice_mask,6,,7,7,5537,261,263,338,341,8.859200000000001,8,2
F1,slice_mask,6,,8,8,5202,459,264,534,340,8.3232,8,2
F1,slice_mask,6,,9,9,4975,656,265,730,339,7.96,8,2
F1,slice_mask,6,,10,10,4710,854,265,926,338,7.5360000000000005,8,2
F1,slice_mask,6,,11,11,5724,64,460,143,539,9.1584,8,2
F1,slice_mask,6,,12,12,5434,261,461,338,538,8.6944,8,2
F1,slice_mask,6,,13,13,5160,459,461,534,538,8.256,8,2
F1,slice_mask,6,,14,14,5024,656,462,730,537,8.038400000000001,8,2
F1,slice_mask,6,,15,15,4726,854,463,926,536,7.5616,8,2
F1,slice_mask,6,,16,16,5777,64,657,143,737,9.2432,8,2
F1,slice_mask,6,,17,17,5537,261,658,338,736,8.859200000000001,8,2
F1,slice_mask,6,,18,18,5202,459,659,534,735,8.3232,8,2
F1,slice_mask,6,,19,19,4975,656,660,730,734,7.96,8,2
F1,slice_mask,6,,20,20,4710,854,661,926,734,7.5360000000000005,8,2
F1,slice_mask,6,,21,21,5724,64,855,143,934,9.1584,8,2
F1,slice_mask,6,,22,22,5465,261,856,338,934,8.744,8,2
F1,slice_mask,6,,23,23,5176,459,857,534,933,8.281600000000001,8,2
F1,slice_mask,6,,24,24,4978,656,857,730,932,7.9648,8,2
F1,slice_mask,6,,25,25,4726,854,858,926,931,7.5616,8,2
F1,slice_mask,7,,1,1,5966,63,64,143,145,9.5456,8,2
F1,slice_mask,7,,2,2,5752,260,64,339,144,9.2032,8,2
F1,slice_mask,7,,3,3,5459,458,65,535,143,8.7344,8,2
F1,slice_mask,7,,4,4,5253,655,66,731,142,8.4048,8,2
F1,slice_mask,7,,5,5,4998,853,67,927,142,7.9968,8,2
F1,slice_mask,7,,6,6,5961,63,261,143,342,9.537600000000001,8,2
F1,slice_mask,7,,7,7,5824,260,262,339,342,9.3184,8,2
F1,slice_mask,7,,8,8,5512,458,263,535,341,8.8192,8,2
F1,slice_mask,7,,9,9,5279,655,264,731,340,8.4464,8,2
F1,slice_mask,7,,10,10,4977,853,264,927,339,7.9632000000000005,8,2
F1,slice_mask,7,,11,11,5966,63,459,143,540,9.5456,8,2
F1,slice_mask,7,,12,12,5750,260,460,339,539,9.200000000000001,8,2
F1,slice_mask,7,,13,13,5410,458,460,535,539,8.656,8,2
F1,slice_mask,7,,14,14,5278,655,461,731,538,8.4448,8,2
F1,slice_mask,7,,15,15,5024,853,462,927,537,8.038400000000001,8,2
F1,slice_mask,7,,16,16,5961,63,657,143,738,9.537600000000001,8,2
F1,slice_mask,7,,17,17,5824,260,657,339,737,9.3184,8,2
F1,slice_mask,7,,18,18,5512,458,658,535,736,8.8192,8,2
F1,slice_mask,7,,19,19,5279,655,659,731,735,8.4464,8,2
F1,slice_mask,7,,20,20,4977,853,660,927,735,7.9632000000000005,8,2
F1,slice_mask,7,,21,21,5966,63,854,143,935,9.5456,8,2
F1,slice_mask,7,,22,22,5752,260,855,339,935,9.2032,8,2
F1,slice_mask,7,,23,23,5459,458,856,535,934,8.7344,8,2
F1,slice_mask,7,,24,24,5253,655,857,731,933,8.4048,8,2
F1,slice_mask,7,,25,25,4998,853,857,927,932,7.9968,8,2
F1,slice_mask,8,,1,1,6281,62,63,144,146,10.0496,8,2
F1,slice_mask,8,,2,2,5992,260,64,340,145,9.587200000000001,8,2
F1,slice_mask,8,,3,3,5746,457,64,536,144,9.1936,8,2
F1,slice_mask,8,,4,4,5479,655,65,732,143,8.7664,8,2
F1,slice_mask,8,,5,5,5273,852,66,928,143,8.4368,8,2
F1,slice_mask,8,,6,6,6260,62,260,144,343,10.016,8,2
F1,slice_mask,8,,7,7,6025,260,261,340,343,9.64,8,2
F1,slice_mask,8,,8,8,5820,457,262,536,342,9.312000000000001,8,2
F1,slice_mask,8,,9,9,5512,655,263,732,341,8.8192,8,2
F1,slice_mask,8,,10,10,5279,852,264,928,340,8.4464,8,2
F1,slice_mask,8,,11,11,6296,62,458,144,541,10.0736,8,2
F1,slice_mask,8,,12,12,5992,260,459,340,540,9.587200000000001,8,2
F1,slice_mask,8,,13,13,5724,457,460,536,539,9.1584,8,2
F1,slice_mask,8,,14,14,5450,655,460,732,539,8.72,8,2
F1,slice_mask,8,,15,15,5318,852,461,928,538,8.5088,8,2
F1,slice_mask,8,,16,16,6260,62,656,144,739,10.016,8,2
F1,slice_mask,8,,17,17,6025,260,656,340,738,9.64,8,2
F1,slice_mask,8,,18,18,5820,457,657,536,737,9.312000000000001,8,2
F1,slice_mask,8,,19,19,5512,655,658,732,736,8.8192,8,2
F1,slice_mask,8,,20,20,5279,852,659,928,735,8.4464,8,2
F1,slice_mask,8,,21,21,6281,62,853,144,936,10.0496,8,2
F1,slice_mask,8,,22,22,5992,260,854,340,935,9.587200000000001,8,2
F1,slice_mask,8,,23,23,5746,457,855,536,935,9.1936,8,2
F1,slice_mask,8,,24,24,5479,655,856,732,934,8.7664,8,2
F1,slice_mask,8,,25,25,5273,852,856,928,933,8.4368,8,2
F1,slice_mask,9,,1,1,6588,61,62,145,147,10.5408,8,2
F1,slice_mask,9,,2,2,6322,259,63,341,146,10.1152,8,2
F1,slice_mask,9,,3,3,6048,456,64,537,145,9.6768,8,2
F1,slice_mask,9,,4,4,5766,654,64,733,144,9.2256,8,2
F1,slice_mask,9,,5,5,5565,851,65,929,143,8.904,8,2
F1,slice_mask,9,,6,6,6575,61,260,145,344,10.520000000000001,8,2
F1,slice_mask,9,,7,7,6305,259,260,341,343,10.088000000000001,8,2
F1,slice_mask,9,,8,8,6114,456,261,537,343,9.7824,8,2
F1,slice_mask,9,,9,9,5830,654,262,733,342,9.328000000000001,8,2
F1,slice_mask,9,,10,10,5591,851,263,929,341,8.9456,8,2
F1,slice_mask,9,,11,11,6634,61,457,145,542,10.6144,8,2
F1,slice_mask,9,,12,12,6322,259,458,341,541,10.1152,8,2
F1,slice_mask,9,,13,13,6048,456,459,537,540,9.6768,8,2
F1,slice_mask,9,,14,14,5724,654,460,733,539,9.1584,8,2
F1,slice_mask,9,,15,15,5570,851,460,929,539,8.912,8,2
F1,slice_mask,9,,16,16,6575,61,655,145,739,10.520000000000001,8,2
F1,slice_mask,9,,17,17,6305,259,656,341,739,10.088000000000001,8,2
F1,slice_mask,9,,18,18,6114,456,656,537,738,9.7824,8,2
F1,slice_mask,9,,19,19,5830,654,657,733,737,9.328000000000001,8,2
F1,slice_mask,9,,20,20,5591,851,658,929,736,8.9456,8,2
F1,slice_mask,9,,21,21,6588,61,852,145,937,10.5408,8,2
F1,slice_mask,9,,22,22,6322,259,853,341,936,10.1152,8,2
F1,slice_mask,9,,23,23,6048,456,854,537,935,9.6768,8,2
F1,slice_mask,9,,24,24,5766,654,855,733,935,9.2256,8,2
F1,slice_mask,9,,25,25,5565,851,856,929,934,8.904,8,2
F1,slice_mask,10,,1,1,6903,60,61,146,148,11.0448,8,2
F1,slice_mask,10,,2,2,6634,258,62,342,147,10.6144,8,2
F1,slice_mask,10,,3,3,6380,455,63,538,146,10.208,8,2
F1,slice_mask,10,,4,4,6061,653,63,734,145,9.697600000000001,8,2
F1,slice_mask,10,,5,5,5867,850,64,930,144,9.3872,8,2
F1,slice_mask,10,,6,6,6919,60,259,146,345,11.070400000000001,8,2
F1,slice_mask,10,,7,7,6611,258,259,342,344,10.5776,8,2
F1,slice_mask,10,,8,8,6395,455,260,538,344,10.232000000000001,8,2
F1,slice_mask,10,,9,9,6134,653,261,734,343,9.814400000000001,8,2
F1,slice_mask,10,,10,10,5911,850,262,930,342,9.457600000000001,8,2
F1,slice_mask,10,,11,11,6926,60,456,146,543,11.0816,8,2
F1,slice_mask,10,,12,12,6660,258,457,342,542,10.656,8,2
F1,slice_mask,10,,13,13,6380,455,458,538,541,10.208,8,2
F1,slice_mask,10,,14,14,6048,653,459,734,540,9.6768,8,2
F1,slice_mask,10,,15,15,5828,850,459,930,540,9.3248,8,2
F1,slice_mask,10,,16,16,6919,60,654,146,740,11.070400000000001,8,2
F1,slice_mask,10,,17,17,6611,258,655,342,740,10.5776,8,2
F1,slice_mask,10,,18,18,6395,455,655,538,739,10.232000000000001,8,2
F1,slice_mask,10,,19,19,6134,653,656,734,738,9.814400000000001,8,2
F1,slice_mask,10,,20,20,5911,850,657,930,737,9.457600000000001,8,2
F1,slice_mask,10,,21,21,6903,60,851,146,938,11.0448,8,2
F1,slice_mask,10,,22,22,6634,258,852,342,937,10.6144,8,2
F1,slice_mask,10,,23,23,6380,455,853,538,936,10.208,8,2
F1,slice_mask,10,,24,24,6061,653,854,734,936,9.697600000000001,8,2
F1,slice_mask,10,,25,25,5867,850,855,930,935,9.3872,8,2
F1,slice_mask,11,,1,1,7238,59,60,147,148,11.5808,8,2
F1,slice_mask,11,,2,2,6949,257,61,343,148,11.118400000000001,8,2
F1,slice_mask,11,,3,3,6714,454,62,539,147,10.7424,8,2
F1,slice_mask,11,,4,4,6380,652,63,735,146,10.208,8,2
F1,slice_mask,11,,5,5,6164,849,63,931,145,9.862400000000001,8,2
F1,slice_mask,11,,6,6,7271,59,258,147,346,11.633600000000001,8,2
F1,slice_mask,11,,7,7,6944,257,259,343,345,11.1104,8,2
F1,slice_mask,11,,8,8,6693,454,259,539,344,10.7088,8,2
F1,slice_mask,11,,9,9,6435,652,260,735,344,10.296000000000001,8,2
F1,slice_mask,11,,10,10,6237,849,261,931,343,9.9792,8,2
F1,slice_mask,11,,11,11,7218,59,455,147,544,11.5488,8,2
F1,slice_mask,11,,12,12,6992,257,456,343,543,11.1872,8,2
F1,slice_mask,11,,13,13,6720,454,457,539,542,10.752,8,2
F1,slice_mask,11,,14,14,6380,652,458,735,541,10.208,8,2
F1,slice_mask,11,,15,15,6130,849,459,931,540,9.808,8,2
F1,slice_mask,11,,16,16,7271,59,653,147,741,11.633600000000001,8,2
F1,slice_mask,11,,17,17,6944,257,654,343,740,11.1104,8,2
