alias,status
GEN-TPMS-MULTIWALL-VF50-20260716,passed
GEN-LATTICE-TYPEAB-20260716,passed
TRAIN-1ST-NEWFEATURE,passed
TRAIN-1ST-LEGACY,passed
TRAIN-2ND-NEWFEATURE,passed
TRAIN-2ND-LEGACY,passed
TRAIN-3RD-NEWFEATURE,passed
TRAIN-3RD-LEGACY,passed
TRAIN-4TH-ENSEMBLE,passed
TRAIN-5TH-ALLTOGETHER,passed
TRAIN-5TH-FIXED,passed
NB-CURRENT-V0-1,passed
NB-CURRENT-V0-1-E2E,passed
NB-CURRENT,passed
NB-CURRENT-E2E-SAFE,passed
NB-COMPAT-LEGACY-PNG-V0-1,passed
LEGACY-PY-RAWDATA,passed
LEGACY-PY-RESULT,passed
LEGACY-PY-ANGLE-ALL,passed
LEGACY-PY-CURVATURE,passed
LEGACY-PY-EXTRACT-STRUCT,passed
NB-ORIG,passed
LEGACY-PY-PARAMDIST,passed
MASTER-LEDGER-DRAFT,passed
source_spreadsheet,passed
source_spreadsheet,passed
HQ-V0.1-OFFICIAL,passed
HQ-CLEAN-SUBMISSION-ZIP,passed
HQ-CLEAN-SUBMISSION-FOLDER,passed
IMSTL-007-ACCEPTED-RESULT,passed
IMSTL-007-ACCEPTED-RUN,passed
