alias,asset_kind,status
GEN-TPMS-MULTIWALL-VF50-20260716,file,passed
GEN-LATTICE-TYPEAB-20260716,file,passed
TRAIN-1ST-NEWFEATURE,file,passed
TRAIN-1ST-LEGACY,file,passed
TRAIN-2ND-NEWFEATURE,file,passed
TRAIN-2ND-LEGACY,file,passed
TRAIN-3RD-NEWFEATURE,file,passed
TRAIN-3RD-LEGACY,file,passed
TRAIN-4TH-ENSEMBLE,file,passed
TRAIN-5TH-ALLTOGETHER,file,passed
TRAIN-5TH-FIXED,file,passed
NB-CURRENT-V0-1,file,passed
NB-CURRENT-V0-1-E2E,file,passed
NB-CURRENT,file,passed
NB-CURRENT-E2E-SAFE,file,passed
NB-COMPAT-LEGACY-PNG-V0-1,file,passed
LEGACY-PY-RAWDATA,file,passed
LEGACY-PY-RESULT,file,passed
LEGACY-PY-ANGLE-ALL,file,passed
LEGACY-PY-CURVATURE,file,passed
LEGACY-PY-EXTRACT-STRUCT,file,passed
NB-ORIG,file,passed
LEGACY-PY-PARAMDIST,file,passed
MASTER-LEDGER-DRAFT,file,passed
source_spreadsheet,file,passed
source_spreadsheet,file,passed
HQ-V0.1-OFFICIAL,file,passed
HQ-CLEAN-SUBMISSION-ZIP,file,passed
HQ-CLEAN-SUBMISSION-FOLDER,tree,passed
IMSTL-007-ACCEPTED-RESULT,tree,passed
IMSTL-007-ACCEPTED-RUN,tree,passed
