candidate_id,unified_block_id,unified_block_member_count,unified_edge_degree,representative_selected,block_policy
LIT-X001::solid_chord_x_count,U096-BLK-001,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_x_mean_mm,U096-BLK-002,2,1,False,x-only graph block; no representative
LIT-X001::solid_chord_x_population_std_mm,U096-BLK-003,2,1,False,x-only graph block; no representative
LIT-X001::solid_chord_x_q10_mm,U096-BLK-004,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_x_q50_mm,U096-BLK-005,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_x_q90_mm,U096-BLK-006,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_x_spanning_line_fraction,U096-BLK-007,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_y_count,U096-BLK-008,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_y_mean_mm,U096-BLK-002,2,1,False,x-only graph block; no representative
LIT-X001::solid_chord_y_population_std_mm,U096-BLK-003,2,1,False,x-only graph block; no representative
LIT-X001::solid_chord_y_q10_mm,U096-BLK-009,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_y_q50_mm,U096-BLK-010,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_y_q90_mm,U096-BLK-011,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_y_spanning_line_fraction,U096-BLK-012,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_count,U096-BLK-013,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_mean_mm,U096-BLK-014,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_population_std_mm,U096-BLK-015,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_q10_mm,U096-BLK-016,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_q50_mm,U096-BLK-017,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_q90_mm,U096-BLK-018,1,0,False,standalone technical candidate; no selection
LIT-X001::solid_chord_z_spanning_line_fraction,U096-BLK-019,1,0,False,standalone technical candidate; no selection
LIT-X002::C2_x_efold_mm,U096-BLK-020,1,0,False,standalone technical candidate; no selection
LIT-X002::C2_x_positive_auc_0_20_mm,U096-BLK-021,2,1,False,x-only graph block; no representative
LIT-X002::C2_y_efold_mm,U096-BLK-022,1,0,False,standalone technical candidate; no selection
LIT-X002::C2_y_positive_auc_0_20_mm,U096-BLK-021,2,1,False,x-only graph block; no representative
LIT-X002::C2_z_efold_mm,U096-BLK-023,1,0,False,standalone technical candidate; no selection
LIT-X002::C2_z_positive_auc_0_20_mm,U096-BLK-024,1,0,False,standalone technical candidate; no selection
LIT-X002::S2_x_r10p0_probability,U096-BLK-025,4,3,False,x-only graph block; no representative
LIT-X002::S2_x_r20p0_probability,U096-BLK-026,2,1,False,x-only graph block; no representative
LIT-X002::S2_x_r2p5_probability,U096-BLK-027,4,3,False,x-only graph block; no representative
LIT-X002::S2_x_r5p0_probability,U096-BLK-028,2,1,False,x-only graph block; no representative
LIT-X002::S2_y_r10p0_probability,U096-BLK-025,4,3,False,x-only graph block; no representative
LIT-X002::S2_y_r20p0_probability,U096-BLK-026,2,1,False,x-only graph block; no representative
LIT-X002::S2_y_r2p5_probability,U096-BLK-027,4,3,False,x-only graph block; no representative
LIT-X002::S2_y_r5p0_probability,U096-BLK-028,2,1,False,x-only graph block; no representative
LIT-X002::S2_z_r10p0_probability,U096-BLK-029,2,1,False,x-only graph block; no representative
LIT-X002::S2_z_r20p0_probability,U096-BLK-030,1,0,False,standalone technical candidate; no selection
LIT-X002::S2_z_r2p5_probability,U096-BLK-031,2,1,False,x-only graph block; no representative
LIT-X002::S2_z_r5p0_probability,U096-BLK-032,1,0,False,standalone technical candidate; no selection
LIT-X003::L_x_auc_mm,U096-BLK-033,2,1,False,x-only graph block; no representative
LIT-X003::L_x_half_decay_mm,U096-BLK-034,1,0,False,standalone technical candidate; no selection
LIT-X003::L_x_k0,U096-BLK-035,1,0,False,standalone technical candidate; no selection
LIT-X003::L_x_k1,U096-BLK-036,1,0,False,standalone technical candidate; no selection
LIT-X003::L_y_auc_mm,U096-BLK-033,2,1,False,x-only graph block; no representative
LIT-X003::L_y_half_decay_mm,U096-BLK-037,1,0,False,standalone technical candidate; no selection
LIT-X003::L_y_k0,U096-BLK-038,1,0,False,standalone technical candidate; no selection
LIT-X003::L_y_k1,U096-BLK-039,1,0,False,standalone technical candidate; no selection
LIT-X003::L_z_auc_mm,U096-BLK-040,1,0,False,standalone technical candidate; no selection
LIT-X003::L_z_half_decay_mm,U096-BLK-041,1,0,False,standalone technical candidate; no selection
LIT-X003::L_z_k0,U096-BLK-042,1,0,False,standalone technical candidate; no selection
LIT-X003::L_z_k1,U096-BLK-043,1,0,False,standalone technical candidate; no selection
LIT-X004::chi_solid_26,U096-BLK-044,3,2,False,x-only graph block; no representative
LIT-X004::chi_solid_26_per_mm3,U096-BLK-044,3,2,False,x-only graph block; no representative
LIT-X004::chi_void_6,U096-BLK-045,2,1,False,x-only graph block; no representative
LIT-X004::chi_void_6_per_mm3,U096-BLK-045,2,1,False,x-only graph block; no representative
LIT-X005::A_xx,U096-BLK-046,1,0,False,standalone technical candidate; no selection
LIT-X005::A_xy,U096-BLK-047,1,0,False,standalone technical candidate; no selection
LIT-X005::A_xz,U096-BLK-048,1,0,False,standalone technical candidate; no selection
LIT-X005::A_yy,U096-BLK-049,1,0,False,standalone technical candidate; no selection
LIT-X005::A_yz,U096-BLK-050,1,0,False,standalone technical candidate; no selection
LIT-X005::A_zz,U096-BLK-051,1,0,False,standalone technical candidate; no selection
LIT-X005::DA,U096-BLK-052,1,0,False,standalone technical candidate; no selection
LIT-X005::FA,U096-BLK-053,1,0,False,standalone technical candidate; no selection
LIT-X005::lambda1,U096-BLK-054,1,0,False,standalone technical candidate; no selection
LIT-X005::lambda2,U096-BLK-055,1,0,False,standalone technical candidate; no selection
LIT-X005::lambda3,U096-BLK-056,1,0,False,standalone technical candidate; no selection
LIT-X005::trace,U096-BLK-057,1,0,False,standalone technical candidate; no selection
LIT-X005::v1_z_alignment,U096-BLK-058,1,0,False,standalone technical candidate; no selection
LIT-X009::C2_x_10mm,U096-BLK-025,4,2,False,x-only graph block; no representative
LIT-X009::C2_x_2p5mm,U096-BLK-027,4,2,False,x-only graph block; no representative
LIT-X009::C2_y_10mm,U096-BLK-025,4,2,False,x-only graph block; no representative
LIT-X009::C2_y_2p5mm,U096-BLK-027,4,2,False,x-only graph block; no representative
LIT-X009::C2_z_10mm,U096-BLK-029,2,1,False,x-only graph block; no representative
LIT-X009::C2_z_2p5mm,U096-BLK-031,2,1,False,x-only graph block; no representative
LIT-X012::lacunarity_10mm,U096-BLK-059,1,0,False,standalone technical candidate; no selection
LIT-X012::lacunarity_2p5mm,U096-BLK-060,1,0,False,standalone technical candidate; no selection
LIT-X012::lacunarity_5mm,U096-BLK-061,1,0,False,standalone technical candidate; no selection
LIT-X012::loglog_slope_2p5_to_10mm,U096-BLK-062,1,0,False,standalone technical candidate; no selection
LIT-X012::logscale_auc_2p5_to_10mm,U096-BLK-063,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_x_count,U096-BLK-064,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_x_mean_mm,U096-BLK-065,2,1,False,x-only graph block; no representative
LIT-X016::void_chord_x_population_std_mm,U096-BLK-066,2,1,False,x-only graph block; no representative
LIT-X016::void_chord_x_q10_mm,U096-BLK-067,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_x_q50_mm,U096-BLK-068,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_x_q90_mm,U096-BLK-069,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_x_spanning_line_fraction,U096-BLK-070,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_count,U096-BLK-071,1,0,False,standalone technical candidate; no selection
LIT-X016::void_chord_y_mean_mm,U096-BLK-065,2,1,False,x-only graph block; no representative
LIT-X016::void_chord_y_population_std_mm,U096-BLK-066,2,1,False,x-only graph block; no representative
