bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v2.7-TECHNICAL,B1,B,LIT-X001::solid_chord_x_count,47380.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,B2,B,LIT-X001::solid_chord_x_count,86784.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,B3,B,LIT-X001::solid_chord_x_count,80392.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,B4,B,LIT-X001::solid_chord_x_count,105928.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,B5,B,LIT-X001::solid_chord_x_count,111112.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C1,C,LIT-X001::solid_chord_x_count,120284.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C10,C,LIT-X001::solid_chord_x_count,111484.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C11,C,LIT-X001::solid_chord_x_count,118112.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C12,C,LIT-X001::solid_chord_x_count,137036.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C13,C,LIT-X001::solid_chord_x_count,169408.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C14,C,LIT-X001::solid_chord_x_count,157924.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C2,C,LIT-X001::solid_chord_x_count,123160.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C3,C,LIT-X001::solid_chord_x_count,136280.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C4,C,LIT-X001::solid_chord_x_count,94356.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C5,C,LIT-X001::solid_chord_x_count,100264.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C6,C,LIT-X001::solid_chord_x_count,66148.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C7,C,LIT-X001::solid_chord_x_count,149680.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C8,C,LIT-X001::solid_chord_x_count,84352.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,C9,C,LIT-X001::solid_chord_x_count,93476.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,F1,F,LIT-X001::solid_chord_x_count,87800.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,F2,F,LIT-X001::solid_chord_x_count,102203.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L1,L,LIT-X001::solid_chord_x_count,78712.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L10,L,LIT-X001::solid_chord_x_count,73160.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L11,L,LIT-X001::solid_chord_x_count,114515.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L12,L,LIT-X001::solid_chord_x_count,117678.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L13,L,LIT-X001::solid_chord_x_count,81088.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L14,L,LIT-X001::solid_chord_x_count,107695.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L15,L,LIT-X001::solid_chord_x_count,100190.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L16,L,LIT-X001::solid_chord_x_count,57977.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L17,L,LIT-X001::solid_chord_x_count,102453.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L18,L,LIT-X001::solid_chord_x_count,102883.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L19,L,LIT-X001::solid_chord_x_count,75107.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L2,L,LIT-X001::solid_chord_x_count,84036.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L20,L,LIT-X001::solid_chord_x_count,148838.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L3,L,LIT-X001::solid_chord_x_count,171568.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L4,L,LIT-X001::solid_chord_x_count,102108.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L5,L,LIT-X001::solid_chord_x_count,121584.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L6,L,LIT-X001::solid_chord_x_count,87136.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L7,L,LIT-X001::solid_chord_x_count,72868.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L8,L,LIT-X001::solid_chord_x_count,103428.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,L9,L,LIT-X001::solid_chord_x_count,97712.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T1,T,LIT-X001::solid_chord_x_count,102338.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T10,T,LIT-X001::solid_chord_x_count,139628.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T11,T,LIT-X001::solid_chord_x_count,121428.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T12,T,LIT-X001::solid_chord_x_count,111479.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T13,T,LIT-X001::solid_chord_x_count,204417.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T14,T,LIT-X001::solid_chord_x_count,104164.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T15,T,LIT-X001::solid_chord_x_count,98014.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T16,T,LIT-X001::solid_chord_x_count,122208.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T17,T,LIT-X001::solid_chord_x_count,83732.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T2,T,LIT-X001::solid_chord_x_count,57572.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T3,T,LIT-X001::solid_chord_x_count,47969.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T4,T,LIT-X001::solid_chord_x_count,130058.0,True,PRM082_existing
XREG-v2.7-TECHNICAL,T5,T,LIT-X001::solid_chord_x_count,66072.0,True,PRM082_existing
