evidence_id,category,path,sha256,record_count_or_fact,status,establishes,does_not_establish
E001,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,11 cells,confirmed,source identity and stored historical state,project replay or parity
E002,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,11 cells with one stored ValueError,confirmed,source identity and stored error,project replay or parity
E003,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method.ipynb,7514863928df8e71833f97d0bedb905d7d0654f20cbff8c4f42ee371c182fd39,12 cells,confirmed,source identity,project replay or parity
E004,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,12 cells,confirmed,source identity,project replay or parity
E005,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd method.ipynb,e265a21f1f836c2d81cfe8c4cf7063c3c2aa4e5f52e40a859f31a217f7aca3bd,17 cells,confirmed,source identity,project replay or parity
E006,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260420-3rd method - New feature - Good. h.ipynb,09cf2d4213d689cfe272314c41d4b0fd0b9b5a10c4d1b0fe6e44ffe192ec037c,17 cells,confirmed,source identity,project replay or parity
E007,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260503_Ensemble-4th method.ipynb,d9f6548c8a239fe213732a78ed4e3da8e0843ccb4f98a4fd996f2cc579af8100,14 cells,confirmed,source identity,project replay or parity
E008,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th method.ipynb,5076091043319f042f5fd08b4fd9bdc20c042c81d18a7a9cd794acd99268b792,15 cells,confirmed,source identity,project replay or parity
E009,source,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260508_Alltogether-5th_method_FIXED.ipynb,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,15 cells,confirmed,source identity,project replay or canonical superiority
E010,input,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Total data_260503.xlsx,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,452552 bytes,confirmed,new-layout input bytes,old-layout input availability
E011,alias,outputs/URP4-1_file_alias_registry_20260709_UPDATED.xlsx,2f8e1d3da0abdf5d01b1c4a173bd95e0113792399702d47cae7803b7339218a0,alias workbook,confirmed,project naming/source paths,current execution completion
E012,analysis,experiments/lab_001_xy_connection_20260626/reports/tables/R09_training_line_by_line_doc_registry_20260709.csv,2335e637074847e2efa8adce032ac54fd09d26829e37523db787b377bf71b335,9 rows,confirmed,9/9 static line-by-line documents,execution
E013,analysis,experiments/lab_001_xy_connection_20260626/results/R09-20260708-020U-E_TRAINING_CODE_CROSSWALK_AND_FEATURE_SELECTION_POLICY_NO_TRAINING_20260708.md,b320766031d7f365d813f354fcf27894079faa193dd25d25cda02f5cfe05a7db,166 lines,confirmed,code and workbook crosswalk,no Training
E014,contract,experiments/lab_001_xy_connection_20260626/results/CINT-08_TRAINING_ENGINE_MODULARIZATION_NO_FIT_20260719.md,c6d4958a9bd2a524a36c61becb0a38bbae47bac267b2314992c8eb43b5cc99b9,31/31 tests and 0 fits,confirmed,static modular contract,model replay
