alias_id,source_file,sha256,input_workbook_literal,input_availability,stored_notebook_execution,stored_error,T0_SOURCE_AUDIT,T1_ORIGINAL_REPLAY,T2_ADAPTER_PARITY,T3_COMMON_CONTRACT_BENCHMARK,T4_GROUPED_GENERALIZATION,T5_HQ_INTEGRATION,first_gap,evidence_boundary
TRAIN-1ST-LEGACY,Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,Total data_260308.xlsx,missing_exact_input,6 executed code cells / 10 output objects,none,completed_with_evidence,blocked_by_data,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"FS4-P1-A is a reduced source-mapped proxy; not exact notebook parity"
TRAIN-1ST-NEWFEATURE,Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,Total data_260503.xlsx,available_exact_hash,8 executed code cells / 9 output objects,ValueError Unknown model WeightedBlend_2,completed_with_evidence,not_started,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"Historical stored error must be reproduced or resolved before parity"
TRAIN-2ND-LEGACY,Training_260419-2nd method.ipynb,7514863928df8e71833f97d0bedb905d7d0654f20cbff8c4f42ee371c182fd39,Total data_260308.xlsx,missing_exact_input,11 executed code cells / 11 output objects,none,completed_with_evidence,blocked_by_data,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"FS4-P1-B exists and was benchmarked as a representative adapter only"
TRAIN-2ND-NEWFEATURE,Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,Total data_260503.xlsx,available_exact_hash,11 executed code cells / 11 output objects,none,completed_with_evidence,not_started,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"Recommended first controlled replay because input exists and adapter path is present"
TRAIN-3RD-LEGACY,Training_260420-3rd method.ipynb,e265a21f1f836c2d81cfe8c4cf7063c3c2aa4e5f52e40a859f31a217f7aca3bd,Total data_260308.xlsx,missing_exact_input,11 executed code cells / 11 output objects,none,completed_with_evidence,blocked_by_data,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"FS4-P1-C uses a bounded compatibility grid; not exact source parity"
TRAIN-3RD-NEWFEATURE,Training_260420-3rd method - New feature - Good. h.ipynb,09cf2d4213d689cfe272314c41d4b0fd0b9b5a10c4d1b0fe6e44ffe192ec037c,Total data_260503.xlsx,available_exact_hash,15 executed code cells / 14 output objects,none,completed_with_evidence,not_started,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"Representative method-3 benchmark exists but original replay does not"
TRAIN-4TH-ENSEMBLE,Training_260503_Ensemble-4th method.ipynb,d9f6548c8a239fe213732a78ed4e3da8e0843ccb4f98a4fd996f2cc579af8100,Total data_260503.xlsx,available_exact_hash,12 executed code cells / 13 output objects,none,completed_with_evidence,not_started,not_started,partial,partial,partial,T1_ORIGINAL_REPLAY,"PRM071 method D was common-only degraded because specialist inputs were absent"
TRAIN-5TH-ALLTOGETHER,Training_260508_Alltogether-5th method.ipynb,5076091043319f042f5fd08b4fd9bdc20c042c81d18a7a9cd794acd99268b792,Total data_260503.xlsx,available_exact_hash,13 executed code cells / 15 output objects,none,completed_with_evidence,not_started,not_started,superseded,superseded,partial,T1_ORIGINAL_REPLAY,"Method 5 is retained as output-wise coordinator/reference rather than a fifth base competitor"
TRAIN-5TH-FIXED,Training_260508_Alltogether-5th_method_FIXED.ipynb,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,Total data_260503.xlsx,available_exact_hash,13 executed code cells / 17 output objects,none,completed_with_evidence,not_started,not_started,superseded,superseded,partial,T1_ORIGINAL_REPLAY,"Highest-priority crosswalk reference; not a canonical predictor and has no parity evidence"

