ordinal,field,required,purpose
1,event_id,True,observation_only
2,event_type,True,observation_only
3,timestamp_kst,False,observation_only
4,target_id,False,observation_only
5,outer_repeat,False,observation_only
6,inner_split,False,observation_only
7,stage_id,True,observation_only
8,row_id,False,observation_only
9,group_id,False,observation_only
10,method_id,False,observation_only
11,estimator_id,False,observation_only
12,transform_id,False,observation_only
13,feature_set_hash,False,observation_only
14,random_seed,False,observation_only
15,container_type,False,observation_only
16,traversal_order_hash,False,observation_only
17,tie_count,False,observation_only
18,tie_break_rule,False,observation_only
19,none_gate,False,observation_only
20,exception_type,False,observation_only
21,exception_message,False,observation_only
22,fallback_id,False,observation_only
23,parameter_hash,False,observation_only
24,input_identity_hash,False,observation_only
25,output_identity_hash,False,observation_only
26,execution_status,True,observation_only
