cell_index,symbol,symbol_type,source_sha256,lineno,end_lineno,execution_status,mapped_stage_id,adapter_version,mapping_status
2,_ffill_horiz,FunctionDef,0a0c8d5e59ad2be0cbb6cd1760013f2a5539475153c8fbeeb21cba72faaf84ee,5,14,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,_sanitize_header,FunctionDef,1ec88e9166795aa99e5599cce249942147496afa799b04779237c624a45ba4d7,16,20,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,_make_unique,FunctionDef,4dd98060c1549c7cade21585732d995bd531d3618fb1707e440a8ca5d4ff38d8,22,29,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,build_headers_from_rows,FunctionDef,839b83888487c55a3a6e7dcc7d8d06c9b85bdf4a11aeffde536cb3ff627dd8a8,31,55,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,extract_range_df,FunctionDef,d0c0c3cb6e7ab235365aa53e341883baf2f1cafc3f7039ed6001d1defda2255d,57,76,source_ast_frozen_not_executed,S01,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,exact_source_ast_frozen
2,export_df,FunctionDef,ebcabc0edb81b47adf2102b52b6f7c6304e5dd52be7ae6fde67a67e0a06436f9,78,82,source_ast_frozen_not_executed,S16,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,exact_source_ast_frozen
2,_to_jsonable,FunctionDef,40a262e1f7a61201a1e9236bb13cdf64e0b180c4812b75be561451910be1345c,84,112,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,export_json,FunctionDef,349be6f01f2effb004d4c5c010cdd12f0ce5a290cc9b3e23b1d29a269777f5cc,114,116,source_ast_frozen_not_executed,S16,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,exact_source_ast_frozen
2,safe_numeric_df,FunctionDef,288bc6d1eb2b8c2c86b550ba91c8fed06183d8d0a80598aa4b4bc3c5e0de7fb9,118,122,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
2,sanitize_filename,FunctionDef,fbc3f7c7212b4ab7e34db8bc058ea98add365cb50a701bb42773c6909dbd7946,124,127,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
4,build_group_ids_from_x,FunctionDef,5c24332e09df66f3ceb6791c5891ac9cb8497b0d1289febedae87bcadd58de33,11,15,source_ast_frozen_not_executed,S03,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,exact_source_ast_frozen
5,classify_output_family,FunctionDef,aadac0653b4286d0b767ed43aa0e76a7c843a4aa355a1e50371fd786c61907ca,54,60,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,rankdata_average_ties,FunctionDef,9afb288568496ed1db98a5ea51ace9bb2e02bb176fc6a557fbabb0bcf8602a39,6,17,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,minmax_series,FunctionDef,7170e28a06a179a499be8c401408e2588ff556f875113bcd5fe2b36c23d39c2e,19,24,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,pearson_corr_safe,FunctionDef,643ee1b904e0d6bbf243189fd1c0e5cb0f15af4f0c0594b2b0c143192bbb73ba,26,35,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,spearman_corr_safe,FunctionDef,7014bec7e118be0db0035ee5aef7db8f237b004c3bd0bde62c9f72c931326b51,37,46,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,repeated_group_splits,FunctionDef,0eff0ddeb7b39b48f0b32053516ea115c918986fede512bcfab48644edbf8936,48,57,source_ast_frozen_not_executed,S04,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,exact_source_ast_frozen
6,group_repeat_stats,FunctionDef,81b5772e268ac0eff6f3ec440dc22c8c70e54ca3b9739e1135dd51ebd4e6d4af,59,67,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
6,get_best_y_strategy_for_output,FunctionDef,a412213eb41fe30d69fe009ff5379cdd321c5e70ecf9888d7386f2d013fa2321,69,77,source_ast_frozen_not_executed,support_or_unmapped,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1,support_symbol_inventoried
