stage_id,stage,source_cell_index,source_symbol,adapter_handler,coverage_status,execution_status
S01,workbook_extraction,3,extract_range_df,extractor.extract_dataset,implemented_no_fit,no_fit_no_prediction
S02,target_selection,3,output_letter_to_name/OUTPUT_COLUMNS,extractor.extract_dataset,implemented_no_fit,no_fit_no_prediction
S03,same_x_grouping,4,build_group_ids_from_x,extractor.build_group_ids,implemented_no_fit,no_fit_no_prediction
S04,outer_split,6,repeated_group_splits,folds.build_fold_manifest,implemented_no_fit,no_fit_no_prediction
S05,inner_split,6,fit_search_model/GroupShuffleSplit,folds.build_fold_manifest,implemented_no_fit_group_level,no_fit_no_prediction
S06,prefilter,6,prefilter_features_groupwise,source_ast exact function binding,source_bound_no_execution,no_fit_no_prediction
S07,feature_ranking,6,build_feature_frequency/corr_prune_from_ranked,source_ast exact function binding,source_bound_no_execution,no_fit_no_prediction
S08,feature_engineering,6,source helper block,source_ast cell/function inventory,partial_branch_coverage,no_fit_no_prediction
S09,repeated_y,6,select_best_y_within_group,source_ast exact function binding,source_bound_no_execution,no_fit_no_prediction
S10,method_roster,7,get_method_candidates_for_output,stage_graph METHOD_BRANCHES,implemented_no_fit_spec,no_fit_no_prediction
S11,estimator_model_selection,6,choose_best_model_and_topk/evaluate_method_train_test,source_ast exact function binding,source_bound_no_execution,no_fit_no_prediction
S12,transform_selection,6,make_target_transformer/make_y_transformer,source_ast exact function binding,source_bound_no_execution,no_fit_no_prediction
S13,fold_prediction_collection,8,Cell D1 transient prediction,ledgers PredictionLedgerWriter,schema_only_no_prediction,no_fit_no_prediction
S14,metric_calculation,7,score_prediction and Cell D1,ledgers MetricLedgerWriter,schema_only_no_metric,no_fit_no_prediction
S15,final_refit,9,Cell E1,policy final_refit guard,source_bound_no_execution_13_primary_3_hold,no_fit_no_prediction
S16,output_serialization,2,export_df/export_json,ledgers versioned writers,implemented_no_fit_empty_ledgers,no_fit_no_prediction
TRAIN2NF-BRANCH-01,method_branch,7,baseline_stability,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-02,method_branch,7,stability_lasso_ridge,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-03,method_branch,7,spca_ridge,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-04,method_branch,7,spca_huber,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-05,method_branch,7,block_pca_ridge,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-06,method_branch,7,bagged_subspace_ridge,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-07,method_branch,7,minimal_class_average,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-08,method_branch,7,multitask_screen_ridge,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-09,method_branch,7,multitask_screen_pls,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
TRAIN2NF-BRANCH-10,method_branch,7,spca_pls,source_ast branch spec,source_ast_bound_no_fit_execution,no_fit_no_prediction
