role,ordinal,excel_col,normalized_header,dtype,nan_count,raw_value_hash,nan_mask_hash
feature,0,I,node | 5x5x5,float64,144,b1de930fa71dadf2c69f170c0ef545224f7f5df820140523ff89a4959688839d,19ab4d872f756815749964cd25327c94bc7b997ed7faf9c51f36773b3557a00d
feature,1,J,strut | 5x5x5,float64,144,23fe55a275a81a814e77d82db6365148ce1608cb842de3ac8b39210142a3db0e,19ab4d872f756815749964cd25327c94bc7b997ed7faf9c51f36773b3557a00d
feature,2,K,Criteria | 5x5x5,float64,144,d6852ae3ceddf471e48b042bc9c43d2d6c47000529a47286d48a2579d2d994a5,19ab4d872f756815749964cd25327c94bc7b997ed7faf9c51f36773b3557a00d
feature,3,L,Global: Strut No. at Nodes-AVG | Criteria | 5x5x5,float64,145,618615f26d7175aa2b3352fab7af3fd36aa482e5d1e219c9bddcd11a3a458761,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,4,M,Global: Strut No. at Nodes-STDEV | Criteria | 5x5x5,float64,145,da4132540e9238a22038369564f37b03449c0a1c273fec7edbd2f55319b7a748,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,5,N,Global: l/d AVG | Criteria | 5x5x5,float64,145,38fbd300eb2888a93a3d711c719dbba4b216d00363c8a8e30a322b9d3a72c4a6,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,6,O,Global: l/d STDEV | Criteria | 5x5x5,float64,145,fcced89fdf414e2d590929366a008f4203f169344d637d5c4553ef0ece9328d2,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,7,P,Global: Length - AVG | Criteria | 5x5x5,float64,145,661fd66f8bf06f2abd7b918d14c85c5c197252f46ffc213cff036a9b8989cf07,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,8,Q,Global: Length - STDEV | Criteria | 5x5x5,float64,145,c5d77c0f9e14bbf7f496bfbdf1bead439535f97b50352a24b54757f5107ca9a1,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,9,R,Global: Angle (weighted with length)-AVG | Criteria | 5x5x5,float64,145,4e251690523c98002c453f06bc114b8470e8ec6032cd69240b33350a836017f1,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,10,S,Global: Angle (weighted with length)-STDEV | Criteria | 5x5x5,float64,145,a395021aa205c30df62195a646c85d53d12adf7cedbfa5eb662c30df8a143db2,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,11,T,Node: l/d AVG | Criteria | 5x5x5,float64,145,3a0ba4bf55de187384c04b393aab5dd48d84b40f7101c693d022241a90205dda,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,12,U,Node: l/d- STDEV | Criteria | 5x5x5,float64,145,42dce9b1b262f59de25afb1aadcb8aa59448a69436db202cc6fa6a1e7376aede,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,13,V,Node: Length - AVG | Criteria | 5x5x5,float64,131,9884adee4052b20aab8318ac5bf7c061084127f8462f00b81b818dd638534342,3f5e765325743ded2dc1ac21385cc202a25db801b0e6d0a3549dcaaad093da89
feature,14,W,Node: Length - STDEV | Criteria | 5x5x5,float64,131,8583ffc3c86b76c7e85e074d8928bcedac183b1061dedff25dfa103fba2b0d70,3f5e765325743ded2dc1ac21385cc202a25db801b0e6d0a3549dcaaad093da89
feature,15,X,Node: Angle (weighted with length)-AVG | Criteria | 5x5x5,float64,145,fae7a06ea5b570ace0d8bbd8e9b4de6b218f9327879be901e198a2a1a5f218ed,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,16,Y,Node: Angle (weighted with length)-STDEV | Criteria | 5x5x5,float64,145,b33f35ff72cec813e660c04e4d6910ac38f0dd90e11c9e9eea333b674b34f3ef,31124621f07832c51cb1b237d6655c777153d81679a5df6f68603e6d87125394
feature,17,Z,Structural parameters: External | Overlay images | Thickness | IP,float64,0,bb031209e4a8673a0f0369d732b64bc1e364dbd9bab808ac21fc7b97189757ab,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,18,AA,Structural parameters: External | Overlay images | Thickness | IP-stdev,float64,0,f31515650665fc6d1d5072e9b577ba47903574dd8a35538fea2d7d61691fe500,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,19,AB,Structural parameters: External | Overlay images | Thickness | LIP,float64,0,14476e1e1544295e75473f8ea12e9f5b5215b860c901c4607dc4fbddb2105603,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,20,AC,Structural parameters: External | Overlay images | Thickness | LIP-stdev,float64,0,5147cf8f54e04fd0ebb714121efabf16a7884ed9b986738d3dcd87462e5ab171,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,21,AD,Structural parameters: External | Overlay images | Thickness | LTP,float64,0,b01e7d8f8a165bfe35e078aa037c1c9982520eb3d7058c2a9681c2a2433e33c0,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,22,AE,Structural parameters: External | Overlay images | Thickness | LIP-stdev__2,float64,0,b71b9d8014a91aa36227658253afee9292526039d6d4976e8681df472e55c774,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,23,AF,Structural parameters: External | Overlay images | Thickness | AVG,float64,0,330f0c8dd1fa76b4c9bf9fa7220b44b0336118cc018765b2b738714a1ec756e5,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,24,AG,Structural parameters: External | Overlay images | Thickness | Std,float64,0,ed2ea1c6a9a2ee20420c60550cb54a938c95c6512e8441c408b4038a24f31890,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
