target_id,excel_col,outer_cv_parity,final_refit_parity,policy_status,ordinal,normalized_header,sample_count,group_count,target_value_hash,target_nan_mask_hash
TRAIN2NF::FW,FW,eligible,hold,final_refit_hold,1,Modulus,56,56,b4a1f36c69c87d1959fe40442f57a04eca86add02394dd90a4b03a8a80fa0ea5,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::FX,FX,eligible,primary,primary,2,Com. Strength,56,56,aa5ca82d3b584e01953644f93c9200096ed7b536132f72ffb4c3fee61003809d,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::FZ,FZ,eligible,primary,primary,3,APS,56,56,a07ba38e3098bcee4dd66fcf8d4b0fc5b208e3f66e6b602088b75bd0dbbb16f3,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::GA,GA,eligible,hold,final_refit_hold,4,AS,56,56,7724ad0dcc6b72a9a41a8ac2f17bf96e6b15a5c97ebcd951de1295efaa17bf6e,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::GC,GC,eligible,primary,primary,5,Yield strength,56,56,8d62df47853d82f66eba97744358843c82f08091a563084d97dbcac1beca2288,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::GG,GG,eligible,primary,primary,6,Densif. strength,56,56,582ca3b43d54dad440b2776d94583071e5388f9f6b5defa6083389838e9edc08,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::GJ,GJ,eligible,primary,primary,7,Total energy,56,56,3cb5e24f502ef6c07077b64e272d71ea8f6052a4daf7671272ff5ba1fbfcfa1d,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab
TRAIN2NF::GZ,GZ,eligible,primary,primary,8,Thermal characteristics | Thermal conductivity | W/m.K,65,65,0f34da0fff7390a5671d0dff0c0c27a8e25ed83220c9e6c7b160dcda1b4f4cd5,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573
TRAIN2NF::HA,HA,eligible,primary,primary,9,Thermal characteristics | h | W/m.K,25,25,d7a197234ad0ed2831ec34a7fc52b7700f3540b080f4259476ea462c77a5e5c1,2dee5f5f444ca0d61572176b83e07b2f94b1250c01e3342cb07d04cbdf77f4a2
TRAIN2NF::HB,HB,eligible,primary,primary,10,Thermal characteristics | Heating rate | °C/s,65,65,990fa27958d4af2a0cfc8585da8b295259194f1d65352653bab8014163450895,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573
TRAIN2NF::HC,HC,eligible,primary,primary,11,Thermal characteristics | Cooling rate | °C/s,65,65,a39bae9f3c9196b3a9e2780b968ee8da530e7541378a013f01f894830e9297db,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573
TRAIN2NF::HD,HD,eligible,primary,primary,12,Thermal characteristics | Heating Temp | °C/s,65,65,bf4d764833b636ff3399089cd82517b64aa7acd60e740f50844244040e74bc6c,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573
TRAIN2NF::HE,HE,eligible,hold,final_refit_hold,13,Vibrational response | FRF (g/N) | 300-8000 Hz | AVG,193,128,cf9e4f121f97b8e08ea5e4f0c86084d5f12c6d5a9c604d7716b6b3d19fa2207f,64cfb823d51880daf89e860338fe00f2a8e80e10f7b2c312510e8fc05fbdf3b9
TRAIN2NF::HG,HG,eligible,primary,primary,14,Vibrational response | FRF (g/N) | 300-3000 Hz | AVG,193,128,79ea4c9ef43c3d0ff722c089e043c853c314ca66e3340350a220e563e91d6a30,64cfb823d51880daf89e860338fe00f2a8e80e10f7b2c312510e8fc05fbdf3b9
TRAIN2NF::HI,HI,eligible,primary,primary,15,Vibrational response | FRF (g/N) | 3000-6500 Hz | AVG,193,128,c85b2f69cecc0c934ed796d21d28db1f9889435625051ca450453d16a526e735,64cfb823d51880daf89e860338fe00f2a8e80e10f7b2c312510e8fc05fbdf3b9
TRAIN2NF::HK,HK,eligible,primary,primary,16,Vibrational response | FRF (g/N) | 6500-8000 Hz | AVG,193,128,e8273c6264ed49f1666105e8fc1a7b78815d7b6b1b8ae1f000ef7493543a0d86,64cfb823d51880daf89e860338fe00f2a8e80e10f7b2c312510e8fc05fbdf3b9
