branch_id,source_cell_index,source_function,source_condition,source_lineno,source_end_lineno,branch_ast_hash,branch_text_hash,adapter_symbol,adapter_port_version,mapping_level,proxy_substitution
baseline_stability,7,evaluate_method_train_test,"method_name == ""baseline_stability""",475,506,27cfdcee4a865115acadad625b4aa583d3fd454f2b2a4412187ed07b9754d3b2,b8d972fe8afad1f732cece2c58f0658078f3f1658d6064c9520e4410bd3369b5,SourceExactBranch[baseline_stability],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
stability_lasso_ridge,7,evaluate_method_train_test,"method_name == ""stability_lasso_ridge""",508,527,d3ac858042b3d30ff27911d1e5375b184bdfae67c51df9ce9ce86c11b06b4494,72ae9cf58084a45deec4e2f632f49b5e9b918d82591c2284c3e07f8300f30408,SourceExactBranch[stability_lasso_ridge],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
spca_ridge,7,evaluate_method_train_test,"method_name in (""spca_ridge"",""spca_huber"",""spca_pls"")",529,557,a0e0013091f8dde8f2b7ef704f12cbb3e22cc88581cef887ed32484d69e55ffb,26cd5566e8d413e4b05ef4a01000c421a66e9025c30a1818902ddd2b179b73e4,SourceExactBranch[spca_ridge],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
spca_huber,7,evaluate_method_train_test,"method_name in (""spca_ridge"",""spca_huber"",""spca_pls"")",529,557,a0e0013091f8dde8f2b7ef704f12cbb3e22cc88581cef887ed32484d69e55ffb,26cd5566e8d413e4b05ef4a01000c421a66e9025c30a1818902ddd2b179b73e4,SourceExactBranch[spca_huber],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
block_pca_ridge,7,evaluate_method_train_test,"method_name == ""block_pca_ridge""",559,584,8cb88a527572bbf8e5098f6fb9e3b224300385bb4472c65f1823a218cebb81a3,1ad0c5c873553df24306f1007d254548e2c00b416f50783274a96debc1d806e2,SourceExactBranch[block_pca_ridge],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
bagged_subspace_ridge,7,evaluate_method_train_test,"method_name == ""bagged_subspace_ridge""",586,605,13f91dbadb7df19d10571d437058523989d9ea81bdfff275aa6dbe91c82617e6,2ea7259169a177197e42fe2b53607b05f278814b376fd0bfa419c7aad9bae12d,SourceExactBranch[bagged_subspace_ridge],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
minimal_class_average,7,evaluate_method_train_test,"method_name == ""minimal_class_average""",635,683,d6da54ddfc2558f397d890b33d409c1b4cbc01f8d88f4f71fda74b0b45e0abab,520afe20e37fc462f32c69ed594d8a881c321757f0b49aecf44b9880dec87b35,SourceExactBranch[minimal_class_average],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
multitask_screen_ridge,7,evaluate_method_train_test,"method_name in (""multitask_screen_ridge"",""multitask_screen_pls"")",607,633,e87a38c89b4d3b1d735f7827f86a5c162df52b0601f150bf363ced15f3abcb19,7ec84eedbfbdaf1c9e71af33c19f0951916cd019adac8225e34a3dd16ffc9730,SourceExactBranch[multitask_screen_ridge],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
multitask_screen_pls,7,evaluate_method_train_test,"method_name in (""multitask_screen_ridge"",""multitask_screen_pls"")",607,633,e87a38c89b4d3b1d735f7827f86a5c162df52b0601f150bf363ced15f3abcb19,7ec84eedbfbdaf1c9e71af33c19f0951916cd019adac8225e34a3dd16ffc9730,SourceExactBranch[multitask_screen_pls],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
spca_pls,7,evaluate_method_train_test,"method_name in (""spca_ridge"",""spca_huber"",""spca_pls"")",529,557,a0e0013091f8dde8f2b7ef704f12cbb3e22cc88581cef887ed32484d69e55ffb,26cd5566e8d413e4b05ef4a01000c421a66e9025c30a1818902ddd2b179b73e4,SourceExactBranch[spca_pls],TRAIN-PARITY-002A-BRANCH-PORT-v0.1,source_exact_ast_callable_no_fit,False
