target_id,excel_col,target_name,sample_count,group_count,missing_count,missing_rate,outer_repeats_completed,outer_status_non_ok_rows,replay_completeness,final_refit_status,reached_source_branches,reached_branch_count,expected_runtime_source_repeat,confirmed_hold_by_target_name,predecessor_policy_name_for_same_column,predecessor_policy_status_for_same_column,crosswalk_exact,candidate_role,risk,selection_or_rejection_reason
TRAIN2NF::FW,FW,Modulus,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Vibrational response | FRF (g/N) | 300-8000 Hz | AVG,final_refit_hold,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::FX,FX,Com. Strength,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Vibrational response | FRF (g/N) | 300-3000 Hz | AVG,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::FZ,FZ,APS,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Vibrational response | FRF (g/N) | 3000-6500 Hz | AVG,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::GA,GA,AS,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Vibrational response | FRF (g/N) | 6500-8000 Hz | AVG,final_refit_hold,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::GC,GC,Yield strength,56,56,142,0.71717172,12,0,12/12,absent,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,true,Thermal characteristics | Thermal conductivity | W/m.K,confirmed,false,hold_ineligible,prohibited,Confirmed three-target final-refit hold by target name.
TRAIN2NF::GG,GG,Densif. strength,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Thermal characteristics | Heating rate | °C/s,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::GJ,GJ,Total energy,56,56,142,0.71717172,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|spca_huber|spca_pls|spca_ridge|stability_lasso_ridge,8,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Thermal characteristics | Cooling rate | °C/s,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::GZ,GZ,Thermal characteristics | Thermal conductivity | W/m.K,65,65,133,0.67171717,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|multitask_screen_pls|multitask_screen_ridge|spca_huber|spca_ridge|stability_lasso_ridge,9,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Thermal characteristics | Heating Temp | °C/s,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
TRAIN2NF::HA,HA,Thermal characteristics | h | W/m.K,25,25,173,0.87373737,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|multitask_screen_pls|multitask_screen_ridge|spca_huber|spca_ridge|stability_lasso_ridge,9,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Modulus,confirmed,false,rejected_for_first_sentinel,high small-sample risk,Primary target but only 25 samples; poor first-pilot coverage.
TRAIN2NF::HB,HB,Thermal characteristics | Heating rate | °C/s,65,65,133,0.67171717,12,0,12/12,present,bagged_subspace_ridge|baseline_stability|block_pca_ridge|minimal_class_average|multitask_screen_pls|multitask_screen_ridge|spca_huber|spca_ridge|stability_lasso_ridge,9,empirical planning basis 5.16 min average; sentinel estimate 6-10 min,false,Com. Strength,confirmed,false,eligible_not_selected_due_no_go,medium contract risk,"Eligible by observed target name and replay evidence, but no target can be frozen while the policy crosswalk is drifting."
