binding_role,path,sha256,status,entrypoint_or_scope,compatibility_delta,forbidden_modifications,output_isolation
TRAIN-REPLAY-001,experiments/lab_001_xy_connection_20260626/results/TRAIN-REPLAY-001/TRAIN-REPLAY-001-20260731-001/REPORT.md,b64ed97cbe64c6f0e0da89b6d8fe9af83f2ec90719f7891d1d8628282ff0ab90,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
POSTRUN-GATE-001,experiments/lab_001_xy_connection_20260626/results/POSTRUN-GATE-001/POSTRUN-GATE-001-20260801-001/REPORT.md,8628e65c8d688bc52ac8f7fabc7396e756c5a5d4dbb1f38ae4982aa2f71af334,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
TRAIN-PARITY-001,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-001/TRAIN-PARITY-001-20260801-001/REPORT.md,3da824020eecc3fcb9326c90ac8705045b84c465a78b6f84023055be69780077,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
TRAIN-PARITY-002,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002/TRAIN-PARITY-002-20260801-001/REPORT.md,8c43dfb2e4c125c362c8a6e569e40579c61557ca97a40f9c045e3b63b31142fb,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
TRAIN-PARITY-002A,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002A/TRAIN-PARITY-002A-20260801-001/REPORT.md,2273f23c72009eb69050e0f0effabd1cdfdad3f49fdf73a73a45e93aeea6c582,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
source_notebook,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
source_workbook,experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Total data_260503.xlsx,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
exact_adapter_manifest,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002A/TRAIN-PARITY-002A-20260801-001/IMPLEMENTATION_MANIFEST.json,f9792252a697f0c2671be0f1048462ffea3f97f8c0c378233adc8201536cc9d7,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
dataset_manifest,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002/TRAIN-PARITY-002-20260801-001/artifacts/DATASET_MANIFEST.json,2e46b285eaf0b781076b63af01f43383da3e48c34346e4ebce031c38e548a7cd,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
fold_manifest,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002/TRAIN-PARITY-002-20260801-001/artifacts/SHARED_FOLD_MANIFEST.csv,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
tolerance_registry,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-001/TRAIN-PARITY-001-20260801-001/PREDICTION_METRIC_TOLERANCE_REGISTRY.csv,035fae5cdc64aa566a607cec559dbc205a5ec4ed956593e10fb9d47407276c8e,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
target_policy,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-001/TRAIN-PARITY-001-20260801-001/TARGET_ELIGIBILITY_AND_HOLD_POLICY.csv,838f4e9efef884a58b97e5f564456d832b962e37aa9735f829e50c8d9835e85f,hash_verified,read-only evidence,none,source/workbook/predecessor assets,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-003/TRAIN-PARITY-003-20260801-001
reference_runner,planned TRAIN-PARITY-004 isolated source runner,not_created,contract_defined_implementation_required,planned run_reference_branch(source evaluate_method_train_test),path/output/kernel/thread routing and observation-only instrumentation,"branch logic, candidates, objective, tie behavior, fallback, seeds",future TRAIN-PARITY-004/<run_id>/reference/<target>/<repeat>/<branch>/
adapter_runner,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-002A/TRAIN-PARITY-002A-20260801-001/implementation/branches.py,edd49b12702a2d6c8346bf7bf6ced8a3efb147aa49293c1873d03ca55c0c177d,callable_present_but_target_policy_blocked,SourceExactBranch.__call__,NO_FIT permit gate and observation instrumentation only,source branch body and protected inputs,future TRAIN-PARITY-004/<run_id>/adapter/<target>/<repeat>/<branch>/
