target_id,excel_col,value_hash_match,nan_mask_hash_match,group_membership_hash,outer_repeat_count,expected_outer_repeat_count,inner_pair_count,expected_inner_pair_count,leakage_count,fold_manifest_sha256_before,fold_manifest_sha256_after,fold_rows_modified,status
TRAIN2NF::FW,FW,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::FX,FX,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::FZ,FZ,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::GA,GA,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::GC,GC,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::GG,GG,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::GJ,GJ,PASS,PASS,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::GZ,GZ,PASS,PASS,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HA,HA,PASS,PASS,3181d3dceb18a55648bec3dd63415c1db3ccba14ee8f496f4dfbfe21c9100d69,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HB,HB,PASS,PASS,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HC,HC,PASS,PASS,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HD,HD,PASS,PASS,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HE,HE,PASS,PASS,ee775c22a801ba65850fea3f8309c6fcc67c560a218df4961d494dd90ff1a9f8,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HG,HG,PASS,PASS,ee775c22a801ba65850fea3f8309c6fcc67c560a218df4961d494dd90ff1a9f8,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HI,HI,PASS,PASS,ee775c22a801ba65850fea3f8309c6fcc67c560a218df4961d494dd90ff1a9f8,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
TRAIN2NF::HK,HK,PASS,PASS,ee775c22a801ba65850fea3f8309c6fcc67c560a218df4961d494dd90ff1a9f8,12,12,288,288,0,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,0,PASS
