target_id,excel_col,artifact_tool_raw_header_tuple,p2_normalized_header,p2_target_value_hash,p2_column_raw_value_hash,nan_mask_hash,sample_count,workbook_sha_match,header_crosswalk,value_hash_ledger_binding,nan_mask_binding
TRAIN2NF::FW,FW,"[null, ""Modulus"", null, null]",Modulus,b4a1f36c69c87d1959fe40442f57a04eca86add02394dd90a4b03a8a80fa0ea5,af55bb67050ab75c3acafce30d4fe418a08a0c4434092e12e09937c3dddffd4e,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::FX,FX,"[null, ""Com. Strength"", null, null]",Com. Strength,aa5ca82d3b584e01953644f93c9200096ed7b536132f72ffb4c3fee61003809d,a91e2d186093efafe9f1d5da4c48e8bd74107220a92488c32257213b54916f41,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::FZ,FZ,"[null, ""APS"", null, null]",APS,a07ba38e3098bcee4dd66fcf8d4b0fc5b208e3f66e6b602088b75bd0dbbb16f3,0d7e881afb15f55dd2977bd256a39d424b6f53cb03e027982a2d1e939c49a57a,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::GA,GA,"[null, ""AS"", null, null]",AS,7724ad0dcc6b72a9a41a8ac2f17bf96e6b15a5c97ebcd951de1295efaa17bf6e,6bc821d9a2ef3c4c7bf475d40b373661f984870c1886fce49da4a50abd6235c0,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::GC,GC,"[null, ""Yield strength"", null, null]",Yield strength,8d62df47853d82f66eba97744358843c82f08091a563084d97dbcac1beca2288,d97338403a605c7a2c82334f3937ffecdac95c8de579b8814077814d4ef59922,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::GG,GG,"[null, ""Densif. strength"", null, null]",Densif. strength,582ca3b43d54dad440b2776d94583071e5388f9f6b5defa6083389838e9edc08,b8f6a69cbdf083510c96937ba519ed178bb03193c654d09a1da2f972ce75f1ad,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::GJ,GJ,"[null, ""Total energy"", null, null]",Total energy,3cb5e24f502ef6c07077b64e272d71ea8f6052a4daf7671272ff5ba1fbfcfa1d,1d7f5851b2f4528a5689fb20160e3392b63411e8a1a729fc3cc6dafc17b4b310,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,PASS,PASS,PASS,PASS
TRAIN2NF::GZ,GZ,"[""Thermal characteristics"", ""Thermal\nconductivity"", null, ""W/m.K""]",Thermal characteristics | Thermal conductivity | W/m.K,0f34da0fff7390a5671d0dff0c0c27a8e25ed83220c9e6c7b160dcda1b4f4cd5,4e185dd21414d74e9bba9394a43cecc1aade357ebaa8a704ae0568af34a3bc2e,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573,65,PASS,PASS,PASS,PASS
TRAIN2NF::HA,HA,"[null, ""h"", null, ""W/m.K""]",Thermal characteristics | h | W/m.K,d7a197234ad0ed2831ec34a7fc52b7700f3540b080f4259476ea462c77a5e5c1,6a195507ba909be2961d8f2cbdd66f56ddf8f423eff9000eebfdf36de4379163,2dee5f5f444ca0d61572176b83e07b2f94b1250c01e3342cb07d04cbdf77f4a2,25,PASS,PASS,PASS,PASS
TRAIN2NF::HB,HB,"[null, ""Heating\nrate"", null, ""°C/s""]",Thermal characteristics | Heating rate | °C/s,990fa27958d4af2a0cfc8585da8b295259194f1d65352653bab8014163450895,0255dfd5e42c890e60da030db3e2b7bcb074c0b1b2b5a9ac6d7d1d4675aca3c6,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573,65,PASS,PASS,PASS,PASS
