target_id,source_workbook_sha256,sheet,excel_col,absolute_column_index_1based,selected_target_ordinal_1based,header_row_2_raw,header_row_3_raw,header_row_4_raw,header_row_5_raw,raw_header_tuple_json,normalized_display_name,target_value_hash,nan_mask_hash,non_null_sample_count,group_count,group_id_membership_hash,fold_manifest_target_id,fold_manifest_sha256,policy_status,crosswalk_status
TRAIN2NF::FW,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,FW,179,1,,Modulus,,,"[null, ""Modulus"", null, null]",Modulus,b4a1f36c69c87d1959fe40442f57a04eca86add02394dd90a4b03a8a80fa0ea5,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::FW,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::FX,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,FX,180,2,,Com. Strength,,,"[null, ""Com. Strength"", null, null]",Com. Strength,aa5ca82d3b584e01953644f93c9200096ed7b536132f72ffb4c3fee61003809d,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::FX,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::FZ,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,FZ,182,3,,APS,,,"[null, ""APS"", null, null]",APS,a07ba38e3098bcee4dd66fcf8d4b0fc5b208e3f66e6b602088b75bd0dbbb16f3,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::FZ,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::GA,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,GA,183,4,,AS,,,"[null, ""AS"", null, null]",AS,7724ad0dcc6b72a9a41a8ac2f17bf96e6b15a5c97ebcd951de1295efaa17bf6e,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::GA,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::GC,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,GC,185,5,,Yield strength,,,"[null, ""Yield strength"", null, null]",Yield strength,8d62df47853d82f66eba97744358843c82f08091a563084d97dbcac1beca2288,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::GC,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,hold,confirmed
TRAIN2NF::GG,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,GG,189,6,,Densif. strength,,,"[null, ""Densif. strength"", null, null]",Densif. strength,582ca3b43d54dad440b2776d94583071e5388f9f6b5defa6083389838e9edc08,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::GG,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::GJ,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,GJ,192,7,,Total energy,,,"[null, ""Total energy"", null, null]",Total energy,3cb5e24f502ef6c07077b64e272d71ea8f6052a4daf7671272ff5ba1fbfcfa1d,c6b67dc0e3ebc574f6abaae21cb10ec8e381a89a35e3453385aad1c25bfe45ab,56,56,d3d3c39c9709b1723b76772c4e6afb2cce0ba37b74dfac0f83849597a9881626,TRAIN2NF::GJ,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::GZ,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,GZ,208,8,Thermal characteristics,"Thermal
conductivity",,W/m.K,"[""Thermal characteristics"", ""Thermal\nconductivity"", null, ""W/m.K""]",Thermal characteristics | Thermal conductivity | W/m.K,0f34da0fff7390a5671d0dff0c0c27a8e25ed83220c9e6c7b160dcda1b4f4cd5,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573,65,65,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,TRAIN2NF::GZ,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::HA,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,HA,209,9,,h,,W/m.K,"[null, ""h"", null, ""W/m.K""]",Thermal characteristics | h | W/m.K,d7a197234ad0ed2831ec34a7fc52b7700f3540b080f4259476ea462c77a5e5c1,2dee5f5f444ca0d61572176b83e07b2f94b1250c01e3342cb07d04cbdf77f4a2,25,25,3181d3dceb18a55648bec3dd63415c1db3ccba14ee8f496f4dfbfe21c9100d69,TRAIN2NF::HA,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
TRAIN2NF::HB,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,총정리,HB,210,10,,"Heating
rate",,°C/s,"[null, ""Heating\nrate"", null, ""°C/s""]",Thermal characteristics | Heating rate | °C/s,990fa27958d4af2a0cfc8585da8b295259194f1d65352653bab8014163450895,57a3797d83858ed5afff5b333196f92988510b3d295551040da5ac8554f83573,65,65,0c78080822739b6bf1233a633ca1e9261889f0022a005c04eea4924671471546,TRAIN2NF::HB,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,primary,confirmed
