asset_path,before_sha256,after_sha256,status
experiments\lab_001_xy_connection_20260626\data\raw\professor_training_20260709\Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,PASS
experiments\lab_001_xy_connection_20260626\data\raw\professor_training_20260709\Total data_260503.xlsx,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,PASS
URP4-1_DELIVERABLE\urp4\training\p1_adapter_v0_1\registry.py,6cd60a8b98dce8febefa39b35ed2e41cdcc4a4e393c214f2324347758312faa2,6cd60a8b98dce8febefa39b35ed2e41cdcc4a4e393c214f2324347758312faa2,PASS
URP4-1_DELIVERABLE\urp4\training\p1_adapter_v0_1\adapters.py,73e29758afc8b4324056c68708bf6ac255cbb7a62e4a414fdea81fcb8eabe1e4,73e29758afc8b4324056c68708bf6ac255cbb7a62e4a414fdea81fcb8eabe1e4,PASS
URP4-1_DELIVERABLE\urp4\training\p1_exec_layer_v0_1\builders.py,dd7d7effa549f3f7b32c1d23d70c5f8322f4e1798c1041daa69c105259de1080,dd7d7effa549f3f7b32c1d23d70c5f8322f4e1798c1041daa69c105259de1080,PASS
URP4-1_DELIVERABLE\urp4\training\p1_exec_layer_v0_1\estimators.py,729f4759cf0d5e5844cc3370dc9d5f189299193a2d1bd4a5101be19213e872a5,729f4759cf0d5e5844cc3370dc9d5f189299193a2d1bd4a5101be19213e872a5,PASS
outputs\URP4-1\Model_generator_260506_descriptor_v5_boundary_symmetry_perfboost.ipynb,47aa3889f61d7e4bfbca37b65286e6b7ad81cf185ab4dd86ebdc263af5d8b7b7,47aa3889f61d7e4bfbca37b65286e6b7ad81cf185ab4dd86ebdc263af5d8b7b7,PASS
outputs\URP4-1_NOTION_UPLOAD_20260713\01_CORE_UPLOAD\01_CODE_NB_CURRENT_v0_2.ipynb,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,PASS
outputs\URP4-1\1._parameter_rawdata_0726.py,1e52abc000cda8faaf3edbcc834278d4d7669e825683098376dd87e44a88a536,1e52abc000cda8faaf3edbcc834278d4d7669e825683098376dd87e44a88a536,PASS
outputs\URP4-1\2._Parameter_result_0727.py,cdaea5ef1262ca0ea79a7b8ce16a15f435037e779e2688bdecbe80400b3d5c47,cdaea5ef1262ca0ea79a7b8ce16a15f435037e779e2688bdecbe80400b3d5c47,PASS
outputs\URP4-1\3._parameter_angle_all_0727.py,8a64d05839a606df15055d7c9d84565aa889b5e0c63b57b7f27e19ad76f92ceb,8a64d05839a606df15055d7c9d84565aa889b5e0c63b57b7f27e19ad76f92ceb,PASS
outputs\URP4-1\Curvature_Extraction_New.py,373e3763c735e775565ef2d2da4b90f866ff5cfff3c85b5d0150b0b17a90f42a,373e3763c735e775565ef2d2da4b90f866ff5cfff3c85b5d0150b0b17a90f42a,PASS
outputs\URP4-1\Parameter_distribution_New.py,2dfec52592e0195482fc99613a63a3a021b7a427a078efdb79dc836f9296a453,2dfec52592e0195482fc99613a63a3a021b7a427a078efdb79dc836f9296a453,PASS
experiments\lab_001_xy_connection_20260626\results\TRAIN-PARITY-002\TRAIN-PARITY-002-20260801-001\IMPLEMENTATION_MANIFEST.json,f79dbf6265c587464445cf13539085c0273efc28534811baddd0b7840919eb95,f79dbf6265c587464445cf13539085c0273efc28534811baddd0b7840919eb95,PASS
experiments\lab_001_xy_connection_20260626\results\TRAIN-PARITY-002\TRAIN-PARITY-002-20260801-001\INDEPENDENT_QA.json,b1fad32ad6e39ca7bc22a04d0be841c162f21c96fa35db6504e358616ac03366,b1fad32ad6e39ca7bc22a04d0be841c162f21c96fa35db6504e358616ac03366,PASS
experiments\lab_001_xy_connection_20260626\results\TRAIN-PARITY-002\TRAIN-PARITY-002-20260801-001\artifacts\SHARED_FOLD_MANIFEST.csv,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,PASS
