check_id,item,observed,expected,status
PRE-001,source SHA,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,PASS
PRE-002,workbook SHA,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,PASS
PRE-003,target policy semantic hash,216cdd04c52becf105e5c5b5e7036d180291bef483a6cce5b8ca53c9a1123539,216cdd04c52becf105e5c5b5e7036d180291bef483a6cce5b8ca53c9a1123539,PASS
PRE-004,adapter contract SHA,efd4d7819dfa78be77be7b34b9437646eb6014983df868a51f07647ab69a9bbb,efd4d7819dfa78be77be7b34b9437646eb6014983df868a51f07647ab69a9bbb,PASS
PRE-005,dataset manifest SHA,2e46b285eaf0b781076b63af01f43383da3e48c34346e4ebce031c38e548a7cd,2e46b285eaf0b781076b63af01f43383da3e48c34346e4ebce031c38e548a7cd,PASS
PRE-006,fold manifest SHA,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,PASS
PRE-007,config SHA,68cbbdfd6403aa085956c04e81845f2095bf4dd1c4f2300e6bec748a84736f37,68cbbdfd6403aa085956c04e81845f2095bf4dd1c4f2300e6bec748a84736f37,PASS
PRE-008,tolerance registry SHA,035fae5cdc64aa566a607cec559dbc205a5ec4ed956593e10fb9d47407276c8e,035fae5cdc64aa566a607cec559dbc205a5ec4ed956593e10fb9d47407276c8e,PASS
PRE-009,permit state,READY_AWAITING_EXPLICIT_EXECUTION_APPROVAL,READY_AWAITING_EXPLICIT_EXECUTION_APPROVAL,PASS
PRE-010,permit scope,"['TRAIN2NF::HI', 0, ['P0', 'P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7'], ['P8']]","['TRAIN2NF::HI', 0, ['P0', 'P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7'], ['P8']]",PASS
PRE-011,canonical executable,c:\users\chuck\documents\codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\tools\envs\kmk312\python.exe,c:\users\chuck\documents\codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\tools\envs\kmk312\python.exe,PASS
PRE-012,Python version,3.12.12,3.12.12,PASS
PRE-013,duplicate worker/controller processes,[],[],PASS
PRE-014,run output absent,False,False,PASS
PRE-015,adapter version,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1.1,TRAIN-2ND-NEWFEATURE-EXACT-ADAPTER-v0.1.1,PASS
