cell_index,cell_type,execution_count,status,started_at,completed_at,elapsed_seconds,output_count,error_name,error_value
0,markdown,,not_code,,,,0,,
1,code,1,passed,2026-07-31T16:01:04+09:00,2026-07-31T16:01:05+09:00,1.630289,1,,
2,code,2,passed,2026-07-31T16:01:05+09:00,2026-07-31T16:01:05+09:00,0.020405,0,,
3,code,3,passed,2026-07-31T16:01:05+09:00,2026-07-31T16:01:06+09:00,1.057866,2,,
4,code,4,passed,2026-07-31T16:01:06+09:00,2026-07-31T16:01:07+09:00,0.689883,2,,
5,code,5,passed,2026-07-31T16:01:07+09:00,2026-07-31T16:01:07+09:00,0.191892,2,,
6,code,6,passed,2026-07-31T16:01:07+09:00,2026-07-31T16:01:07+09:00,0.052617,0,,
7,code,7,passed,2026-07-31T16:01:07+09:00,2026-07-31T16:01:07+09:00,0.086211,0,,
8,code,8,passed,2026-07-31T16:01:07+09:00,2026-08-01T08:00:52+09:00,57585.869001,1,,
9,code,9,passed,2026-08-01T08:00:52+09:00,2026-08-01T08:31:46+09:00,1854.24464,1,,
10,code,10,passed,2026-08-01T08:31:46+09:00,2026-08-01T08:31:46+09:00,0.058889,1,,
11,code,11,passed,2026-08-01T08:31:46+09:00,2026-08-01T08:31:46+09:00,0.15553,1,,
