relative_path,physical_path,runtime_alias_path,size_bytes,sha256
01_RawData\group_size_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\group_size_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\group_size_summary.csv,845,0f74f0bac1ace4557036fb8cb6d75473721914b09bf093b5bc67cdf5b871a586
01_RawData\group_size_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\group_size_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\group_size_summary.xlsx,6892,4f2c9c5ee8fb5973d43722d82110ac5e9a074700ba8f4aa4dc54c8e3f234a128
01_RawData\input_raw.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\input_raw.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\input_raw.csv,516979,b501a990b34a4ce6c007df93a07d0f0e43ce4b820e9ab46fa7cabf544dbb7e06
01_RawData\input_raw.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\input_raw.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\input_raw.xlsx,280781,6ef48f6c623132a32b08396743660c6861b2681831e2242fcf2d81fca72fa82f
01_RawData\master_numeric_with_group.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\master_numeric_with_group.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\master_numeric_with_group.csv,911010,688e6db63aad70f406f1d27f687cc72dde5038ca8b19b90d3be545fd3b8e8b7a
01_RawData\master_numeric_with_group.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\master_numeric_with_group.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\master_numeric_with_group.xlsx,396327,0497a908e4e2ec30760e3bb6de25b8710b4846fc8549a80a6cbf1ed764b2efe0
01_RawData\output_raw_selected.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\output_raw_selected.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\output_raw_selected.csv,28758,3224e5bca02bcd147615a4db5bea4a85a17e14edc2064b35edd704739cbdbd54
01_RawData\output_raw_selected.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\01_RawData\output_raw_selected.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\01_RawData\output_raw_selected.xlsx,24437,75d314e63aa1a5a56c324e17b18c580eaa5014e627b2c0b8397f58fff5b4a742
02_ModelComparison\all_output_method_comparison_folds.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\all_output_method_comparison_folds.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\all_output_method_comparison_folds.csv,1122223,8fa2865d8930efed3c954685aef805206926606b633ad94b95fae667cd62eb39
02_ModelComparison\all_output_method_comparison_folds.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\all_output_method_comparison_folds.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\all_output_method_comparison_folds.xlsx,192699,6bca16e2a388fdd6dea9c362712d4050bcbb246e8fdfa7fe56527cf6b8e9277c
02_ModelComparison\all_output_method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\all_output_method_comparison_summary.csv,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\all_output_method_comparison_summary.csv,3318,c2215f4be999de242ed315f151e053f07cb5861a067e69a1ca0b43001d370e23
02_ModelComparison\all_output_method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\experiments\lab_001_xy_connection_20260626\results\TRAIN-REPLAY-001\TRAIN-REPLAY-001-20260731-001\generated_outputs\02_ModelComparison\all_output_method_comparison_summary.xlsx,C:\Users\chuck\Documents\Codex\_runlinks\TR1\02_ModelComparison\all_output_method_comparison_summary.xlsx,7405,eafe1e736ccfc87eefee20abdf513635cda82a5181d16fce4e7de37ddd09ff69
