check_id,passed,observed,expected,note
QA-001,True,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,
QA-002,True,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,
QA-003,True,REPLAY_PASSED,REPLAY_PASSED,
QA-004,True,11,11,
QA-005,True,11,11,
QA-006,True,True,True,All scientific/helper/training cells after the config cell must be byte-identical.
QA-007,True,True,True,"Only declared path, tag, and output routing differences are normalized."
QA-008,True,[],[],
QA-009,True,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\tools\envs\KMK312\python.exe,project-local canonical KMK312,
QA-010,True,"{'OMP_NUM_THREADS': '1', 'MKL_NUM_THREADS': '1', 'OPENBLAS_NUM_THREADS': '1', 'NUMEXPR_NUM_THREADS': '1', 'VECLIB_MAXIMUM_THREADS': '1', 'BLIS_NUM_THREADS': '1', 'CUDA_VISIBLE_DEVICES': '-1', 'JOBLIB_MULTIPROCESSING': '0'}",all core thread limits == 1,
QA-011,True,-1,-1,
QA-012,True,16,16,
QA-013,True,[169],[169],
QA-014,True,16,16,
QA-015,False,13,16,
QA-016,True,[],max absolute error <= 1e-12,
QA-017,True,[],[],
QA-018,False,"{'before_slices': 272, 'after_slices': 0, 'before_overlays': 271, 'after_overlays': 0, 'after_stderr_bytes': 283}",nondecreasing progress and zero stderr bytes,
