output_name,status_cv,reason_cv,output_family,best_y_strategy_cv,final_method_name_cv,final_model_name_cv,target_transform_cv,final_chosen_topk_cv,n_cv_runs,support_share,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_mae_mean,status_refit,reason_refit,best_y_strategy_refit,final_method_name_refit,final_model_name_refit,target_transform_refit,final_chosen_topk_refit,n_groups_full,n_final_features,final_train_r2,final_train_rmse,final_train_mae
Modulus,ok,,mechanical_energy,singleton_raw,block_pca_ridge,Ridge,yeo_johnson,11,1,0.08333333333333333,0.36138094843494795,0.0,3487.8309090161415,2675.474128604991,ok,,singleton_raw,block_pca_ridge,Ridge,yeo_johnson,11.0,56.0,12.0,0.6620509165640467,2045.4593461521893,1649.5844607151287
Com. Strength,ok,,mechanical_energy,singleton_raw,baseline_stability,Ridge,yeo_johnson,4,2,0.16666666666666666,0.07259218478350865,0.018317365132325736,82.53988078879613,53.529361418775224,ok,,singleton_raw,baseline_stability,Huber_Regressor,raw,4.0,56.0,3.0,0.15852592408114752,68.85071268146613,41.30505830402821
APS,ok,,mechanical_energy,singleton_raw,spca_pls,PLS,raw,12,2,0.16666666666666666,0.2640692822535921,0.2661796323559927,65.05177241057993,48.796139619986704,ok,,singleton_raw,spca_pls,PLS,yeo_johnson,12.0,56.0,8.0,0.39647932362262217,92.6688125429856,70.79407978802784
AS,ok,,mechanical_energy,singleton_raw,baseline_stability,PCR_Ridge,raw,4,1,0.08333333333333333,0.21603216588459384,0.0,86.89501248136547,70.21728574150629,ok,,singleton_raw,baseline_stability,Bayesian_Ridge,raw,4.0,56.0,2.0,0.39005134234706607,90.38337384769787,70.55078198859542
Yield strength,ok,,mechanical_energy,singleton_raw,minimal_class_average,MinimalClassAverage,mixed,3,1,0.08333333333333333,0.3869170647819995,0.0,42.40809365051212,34.48998306417447,,,,,,,,,,,,
Densif. strength,ok,,mechanical_energy,singleton_raw,baseline_stability,Ridge,yeo_johnson,2,1,0.08333333333333333,0.10647296856554112,0.0,225.63471169099782,181.663164783563,ok,,singleton_raw,baseline_stability,Ridge,yeo_johnson,2.0,56.0,3.0,0.3851063919715815,189.99773715130084,142.413966912242
Total energy,ok,,mechanical_energy,singleton_raw,block_pca_ridge,Ridge,yeo_johnson,11,1,0.08333333333333333,0.5310756750774399,0.0,39.06103130179519,31.38301588990047,ok,,singleton_raw,block_pca_ridge,Ridge,yeo_johnson,11.0,56.0,9.0,0.6438739080424188,38.33086587018804,30.989537382709006
Thermal characteristics | Thermal conductivity | W/m.K,ok,,thermal,singleton_raw,baseline_stability,Huber_Regressor,yeo_johnson,4,1,0.08333333333333333,0.3652931843555417,0.0,0.8207839044080453,0.6838302551970462,ok,,singleton_raw,baseline_stability,Ridge,yeo_johnson,4.0,65.0,3.0,0.3107401236550771,1.0541062954149618,0.5542825640571408
Thermal characteristics | h | W/m.K,ok,,thermal,singleton_raw,baseline_stability,PCR_Ridge,yeo_johnson,3,1,0.08333333333333333,0.6679359350330392,0.0,0.7810573439600139,0.5538545509006315,ok,,singleton_raw,baseline_stability,Kernel_Ridge_RBF,yeo_johnson,3.0,25.0,3.0,0.7865170552624752,0.6068059576801286,0.4700671913839814
Thermal characteristics | Heating rate | °C/s,ok,,thermal,singleton_raw,baseline_stability,Kernel_Ridge_RBF,raw,3,1,0.08333333333333333,0.16331441779256894,0.0,0.0022650157069899414,0.0018550324657848193,ok,,singleton_raw,baseline_stability,Ridge,raw,3.0,65.0,6.0,0.4773498665912511,0.0016530093651416142,0.0012941779094488475
Thermal characteristics | Cooling rate | °C/s,ok,,thermal,singleton_raw,baseline_stability,PCR_Ridge,raw,6,1,0.08333333333333333,0.30413478945945305,0.0,0.2527702844440052,0.19100937661305722,ok,,singleton_raw,baseline_stability,Ridge,yeo_johnson,6.0,65.0,6.0,0.5216014149923461,0.15544993358977968,0.1203854831907455
Thermal characteristics | Heating Temp | °C/s,ok,,thermal,singleton_raw,block_pca_ridge,Ridge,yeo_johnson,8,1,0.08333333333333333,0.3815180561947693,0.0,10.522400904742033,7.686720091964536,ok,,singleton_raw,block_pca_ridge,Ridge,raw,8.0,65.0,10.0,0.4735005874677196,7.959399481955793,6.394834671045606
Vibrational response | FRF (g/N) | 300-8000 Hz | AVG,ok,,vibrational,robust_trimmed_median,minimal_class_average,MinimalClassAverage,mixed,6,1,0.08333333333333333,0.7007447554834552,0.0,0.07475089363829064,0.052139511632880275,,,,,,,,,,,,
Vibrational response | FRF (g/N) | 300-3000 Hz | AVG,ok,,vibrational,robust_trimmed_median,minimal_class_average,MinimalClassAverage,mixed,6,3,0.25,0.8686761624146387,0.13700619849113174,0.026067191081644597,0.01435437713245206,ok,,robust_trimmed_median,minimal_class_average,MinimalClassAverage,mixed,6.0,128.0,6.0,0.9898584220642843,0.00907547570176289,0.004521269561222524
Vibrational response | FRF (g/N) | 3000-6500 Hz | AVG,ok,,vibrational,robust_trimmed_median,baseline_stability,Kernel_Ridge_RBF,yeo_johnson,4,7,0.5833333333333334,0.8256328375675712,0.07556632281025848,0.07923287411491928,0.04963337785344202,ok,,robust_trimmed_median,baseline_stability,Kernel_Ridge_RBF,yeo_johnson,4.0,128.0,4.0,0.983961059440188,0.024759005421847814,0.01578683634492018
Vibrational response | FRF (g/N) | 6500-8000 Hz | AVG,ok,,vibrational,robust_trimmed_median,minimal_class_average,MinimalClassAverage,mixed,4,1,0.08333333333333333,0.8322091016359155,0.0,0.2415253987917244,0.14678255850031263,,,,,,,,,,,,
