model_id,model_numeric_id,raw_sample_id,source_asset_alias,source_path,source_sheet,source_excel_row,Weight,VF,Height,Modulus,Com. Strength,Com. strain,APS,AS,Yield strength,Yield strain,LCC,EAS,Densif. strength,Densifi. strain,EAE,SE,Total energy,SEA,Max. Plateau stress,"UCS 이후의 피크값(UCS 제외), 파단일 경우 APS 값으로 설정"
AI001,1,CP_Lattice_1.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,2,8.4372,0.3298020645090234,30.16,88.427,8.085657894945369,0.6356206826600858,4.045386195276437,3.890746810270143,4.042828947472684,0.04768964817732708,0.2283582474953033,0.5745871844225606,5.356748355401306,0.5974243961879372,48.11911239408715,0.500316269601927,2.324427063845782,5.812129999582313,4.045386195276437,
AI002,2,CP_Lattice_2.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,3,8.4943,0.3324749970747841,30.12,78.175,9.524525737357576,0.7223049475227982,3.349747924064179,3.227606280383532,3.60929396363024,0.04806855974059372,0.1416898596291828,0.5580589470029459,3.108003135348262,0.5791774574829576,33.88731753565483,0.3516970835540534,1.86935679922856,4.636667754749804,3.349747924064179,
AI003,3,CP_Lattice_3.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,4,7.8653,0.3084698193491252,30.06,96.239,9.257163509807247,0.7302993754933154,3.703489476606643,3.584140138993015,4.214350702908358,0.04563537017062737,0.1240947880024959,0.560375140337995,3.565989056307072,0.5790352371034285,38.71747685126115,0.4000674151086435,2.075343435193735,5.548173869233405,3.703489476606643,
AI004,4,CP_Lattice_4.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,5,8.0191,0.3131474498909911,30.19,79.363,9.225331037805137,0.7211600098641708,2.92951649299433,2.822299721213113,3.832060584934442,0.05027561105661865,0.2028577820656207,0.4236801943346771,2.625671141529155,0.4397754454388644,30.59293709512874,0.3175513681828064,1.24117811705848,3.268571553923112,2.92951649299433,
AI005,5,CP_Lattice_5.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,6,8.9385,0.3491658588780666,30.18,81.996,19.57045100368654,0.7944808129121892,3.339027607072234,3.237477457688601,4.327774530896537,0.05465311244830586,0.1936173648075712,0.5713890328028963,3.214009026621693,0.5893118268286902,16.54268190895932,0.1706157720352613,1.907883754907173,4.506017811256703,3.339027607072234,
AI006,6,CP_Lattice_6.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,7,9.0574,0.355696197981724,30.02,98.843,8.590352027638353,0.705332652715507,3.72548377705323,3.610013118675433,3.998418398318941,0.04237462473416133,0.182709165994877,0.5844723702130368,4.279557191950742,0.6031674295309635,42.02404170470174,0.4336823176823213,2.177442333364518,5.048242458768555,3.72548377705323,
AI007,7,CP_Lattice_7.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,8,8.6392,0.3371391333160475,30.21,122.15,10.90878339041728,0.721015651218121,4.322760637079325,4.201561410397997,5.470870219967582,0.04676871311815407,0.1885924603421585,0.5571131896182753,4.811729229610041,0.5731838074577768,38.51539864737637,0.3962642287751916,2.40826696647959,5.890717945409573,4.322760637079325,
AI008,8,CP_Lattice_8.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,9,7.6852,0.300706215940759,30.13,117.05,12.23046808750479,0.7588872472178955,4.390137679522247,4.264078610990452,6.20760918036497,0.05500407430053736,0.1665031598945007,0.5011252398487519,4.39705650275852,0.5159400185421571,34.86439423644652,0.3589509124354295,2.200008797619629,6.033298018469983,4.390137679522247,
AI009,9,CP_Lattice_9.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,10,8.0371,0.3140584080639026,30.17,101.25,11.97229529111967,0.7634189589251161,3.487840755778039,3.415103403908199,4.924773949538586,0.05062479253466207,0.2248146521803986,0.6358879509457673,3.619284303432452,0.6494315542184539,28.5250515533251,0.2913259881223537,2.217875911416834,5.823707916985958,3.487840755778039,
AI010,10,CP_Lattice_10.csv,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,11,8.478,0.3313968974194638,30.16,87.894,7.986395428792029,0.692388333213425,3.759031647452788,3.644406294964865,4.807930749323161,0.05667878414180699,0.2302890683644069,0.6109059652401274,4.395535015594605,0.6301204287041412,45.63268031816069,0.4706793798239658,2.296414856955332,5.714453141690044,3.759031647452788,
