feature_id,feature_name_raw,feature_role,unit,finite_count,missing_count,selection_status,source_sheet
AIX001,Type,excluded_provenance,source_header_or_unresolved,0,0,unselected,Summary
AIX002,Source,excluded_provenance,source_header_or_unresolved,0,0,unselected,Summary
AIX003,Target VF,condition_sensitivity,source_header_or_unresolved,150,0,unselected,Summary
AIX004,Actual VF,physical_condition_candidate,source_header_or_unresolved,150,0,unselected,Summary
AIX005,Node 개수,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX006,Strut 개수,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX007,Global: Strut No. at Nodes-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX008,Global: Strut No. at Nodes-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX009,Node: Strut count - AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX010,Node: Strut count - STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX011,Global: Length - AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX012,Global: Length - STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX013,Global: Angle-Z (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX014,Global: Angle-Z (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX015,Node: Length - AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX016,Node: Length - STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX017,Node: Angle-Z (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX018,Node: Angle-Z (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX019,Global: l/d AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX020,Global: l/d STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX021,Node: l/d AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX022,Node: l/d STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX023,Global: Angle-X (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX024,Global: Angle-X (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX025,Node: Angle-X (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX026,Node: Angle-X (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX027,Global: Angle-Y (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX028,Global: Angle-Y (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX029,Node: Angle-Y (weighted with length)-AVG,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX030,Node: Angle-Y (weighted with length)-STDEV,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX031,connected_components,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX032,maxwell_index_M_3D,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX033,total_strut_length_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX034,mean_radius_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX035,std_radius_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX036,mean_diameter_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX037,surface_area_mm2,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX038,surface_to_solid_volume_1_per_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX039,solid_volume_mm3_approx,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX040,bbox_x_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX041,bbox_y_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX042,bbox_z_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX043,mass_center_x_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX044,mass_center_y_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
AIX045,mass_center_z_mm,structural_descriptor_unselected,source_header_or_unresolved,150,0,unselected,Summary
