check_id,check,passed,observed
IQ01,manifest passed,True,passed
IQ-HASH-feature_redundancy_edges.csv,output hash feature_redundancy_edges.csv,True,AE6C0F7227F1BE49FC6B7109E1EB267413B0F1CD63F27EEE2CA05CB77F5F795E
IQ-HASH-feature_selection_frequency.csv,output hash feature_selection_frequency.csv,True,F29D04978287D0CF42E362C1AC5027EA695454C02FDBBA7FCC673F51E4E62134
IQ-HASH-feature_x_only_census.csv,output hash feature_x_only_census.csv,True,E1E2E8F6D80E2FDFB12832B795353E4612B512F16E57F0B4DA2CF2E03B1DCF5A
IQ-HASH-figures/f1_yx.png,output hash figures/f1_yx.png,True,CE71DBA9C226DE9646994BCF1B2000A76AA5A58831A17F082C1B58B8DB175986
IQ-HASH-figures/f2_r2.png,output hash figures/f2_r2.png,True,B94166CAD0280C206202E4BAD6DA714A9267910044CC8D2BCB1A36EB3251EA57
IQ-HASH-figures/f3_block.png,output hash figures/f3_block.png,True,3DBE9E4628780493DCF4216BA7106F839ACFB22D5643BE359967B1B32D29346D
IQ-HASH-fold_local_feature_selection.csv,output hash fold_local_feature_selection.csv,True,093E9AC022B8509AC1C20B2ACBEC325FBB3ECEBC4968B739DBD106E5090B40BB
IQ-HASH-method_execution_details.csv,output hash method_execution_details.csv,True,9FF4E89FD552970463C59DFCB29B7BFE92B5B72D0D1414FC8DD7F4D5D33B905F
IQ-HASH-metrics.csv,output hash metrics.csv,True,45AD3D95050EAFC0467613FAF68F46F236788ADCAFAB588B7E1E1671B6582389
IQ-HASH-nearest_neighbor_collision_audit.csv,output hash nearest_neighbor_collision_audit.csv,True,E6EFBCE50B9818C49F8C1B7A72838296594835A927645E5543A4F3533E5A397B
IQ-HASH-oof_predictions.csv,output hash oof_predictions.csv,True,95C03A6548A7F2A38FA647ADBEC244730AB8D301B3035BD7B2050CEC3AB8062F
IQ-HASH-outer_fold_registry.csv,output hash outer_fold_registry.csv,True,06F5C1CECD5891FE51675BB729062AA166D3C8B1DB082883FD8D370A131CA00A
IQ-HASH-producer_QA.csv,output hash producer_QA.csv,True,D6887CF317D7463188D49DE70EF587CFA240C3E98C87115D6CF9FDD24B883805
IQ-HASH-REPORT.md,output hash REPORT.md,True,3E172B200E3E87936B476635AF10726F933EAC665C9EC1F7184686ACFB906623
IQ-HASH-source_hash_audit.csv,output hash source_hash_audit.csv,True,7C5002943B38086D2D130C1A3C119C1530BD5E06F8D07731F91E2050D454C615
IQ-HASH-target_screening_summary.csv,output hash target_screening_summary.csv,True,0CC53FA52ADA10109B93F4AC25464E94FBDE6048A05ECDCCAA59B4A862A896F9
IQ-HASH-target_y_census.csv,output hash target_y_census.csv,True,DE738B9A91C6927B82B3FC503989334DE2E47F3CA295D821115D74C8AA9CDE10
IQ-HASH-target_y_redundancy_edges.csv,output hash target_y_redundancy_edges.csv,True,DF17243F9C7D6D3DE1488B309751BB1B6E50D5B78D75DAADD4C8FE7E9FC62DD4
IQ-HASH-target_y_source_block_summary.csv,output hash target_y_source_block_summary.csv,True,B9F53E8238D26FDACE60163D47FE5E68838EFFE8C1D65D1728ED748A6FC2A5C7
IQ02,all output hashes,True,19/19
IQ03,prediction rows 16x4x149,True,9536
IQ04,prediction key unique,True,True
IQ05,each target-method covers 149 models,True,149
IQ06,AI092 absent,True,False
IQ07,prediction values finite,True,True
IQ08,three folds,True,3
IQ09,held block matches test source,True,True
IQ10,fold-local feature ceiling <=8,True,8
IQ11,16 target summaries,True,16
IQ12,no target promoted,True,not_promoted
IQ13,pooled metrics independently reproduced,True,3.774758283725532e-15
IQ14,target census has 16 rows,True,16
IQ15,exact target duplicates explicitly recorded,True,1
IQ16,target block summary has 48 rows,True,48
IQ17,fold-consistency fields present,True,median_outer_fold_r2|minimum_outer_fold_r2|positive_outer_fold_r2_count|signal_status
