target_id,method_id,outer_fold_id,selected_feature_ids,runtime_seconds,detail_json,status
COMP-Y-MODULUS,FS4-METHOD-01,HOLD_AI001_050,AIX034|AIX038|AIX019|AIX004|AIX021|AIX020|AIX014|AIX037,0.010006200001953403,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-02,HOLD_AI001_050,AIX034|AIX038|AIX019|AIX004|AIX021|AIX020|AIX014|AIX037,0.04167319999760366,"{""base_models"": 31, ""internal_selected_indices"": ""1|2|4|5|6|7"", ""lasso_alpha"": 0.003183766263536058, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-03,HOLD_AI001_050,AIX034|AIX038|AIX019|AIX004|AIX021|AIX020|AIX014|AIX037,0.00815609999699518,"{""base_models"": 2, ""internal_selected_indices"": ""0|2|4|5|6"", ""omp_k"": 5}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-04,HOLD_AI001_050,AIX034|AIX038|AIX019|AIX004|AIX021|AIX020|AIX014|AIX037,0.01544360000116285,"{""base_models"": 12, ""branch_weights_json"": ""{\""condition\"": 0.0027880633733918464, \""full\"": 0.000447947913049356, \""geometry\"": 0.544713419932076, \""topology\"": 0.45205056878148275}"", ""branches"": ""condition|full|geometry|topology""}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-01,HOLD_AI051_100,AIX037|AIX004|AIX020|AIX019|AIX034|AIX038|AIX021|AIX022,0.004312400000344496,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-02,HOLD_AI051_100,AIX037|AIX004|AIX020|AIX019|AIX034|AIX038|AIX021|AIX022,0.03519390000292333,"{""base_models"": 31, ""internal_selected_indices"": ""0|1|4"", ""lasso_alpha"": 0.04747561378997425, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-03,HOLD_AI051_100,AIX037|AIX004|AIX020|AIX019|AIX034|AIX038|AIX021|AIX022,0.00805170000239741,"{""base_models"": 2, ""internal_selected_indices"": ""1"", ""omp_k"": 1}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-04,HOLD_AI051_100,AIX037|AIX004|AIX020|AIX019|AIX034|AIX038|AIX021|AIX022,0.01512409999850206,"{""base_models"": 12, ""branch_weights_json"": ""{\""condition\"": 0.0018309958089394909, \""full\"": 0.009666584478277038, \""geometry\"": 0.7709972049280887, \""topology\"": 0.21750521478469487}"", ""branches"": ""condition|full|geometry|topology""}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-01,HOLD_AI101_150,AIX004|AIX034|AIX038|AIX037|AIX020|AIX019|AIX021|AIX022,0.003518199999234639,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-02,HOLD_AI101_150,AIX004|AIX034|AIX038|AIX037|AIX020|AIX019|AIX021|AIX022,0.033460400001786184,"{""base_models"": 31, ""internal_selected_indices"": ""0|1|4"", ""lasso_alpha"": 0.10274594854461801, ""max_stability_probability"": 0.8666666666666667, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-03,HOLD_AI101_150,AIX004|AIX034|AIX038|AIX037|AIX020|AIX019|AIX021|AIX022,0.007271400001627626,"{""base_models"": 2, ""internal_selected_indices"": ""1"", ""omp_k"": 1}",completed_unselected
COMP-Y-MODULUS,FS4-METHOD-04,HOLD_AI101_150,AIX004|AIX034|AIX038|AIX037|AIX020|AIX019|AIX021|AIX022,0.015383300000394229,"{""base_models"": 12, ""branch_weights_json"": ""{\""condition\"": 0.01113097322720822, \""full\"": 0.0004074911012980764, \""geometry\"": 0.6609665417756241, \""topology\"": 0.3274949938958697}"", ""branches"": ""condition|full|geometry|topology""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-01,HOLD_AI001_050,AIX034|AIX038|AIX004|AIX021|AIX014|AIX019|AIX037|AIX020,0.0034885999994003214,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-02,HOLD_AI001_050,AIX034|AIX038|AIX004|AIX021|AIX014|AIX019|AIX037|AIX020,0.05818859999999404,"{""base_models"": 31, ""internal_selected_indices"": ""0|2|3|4|5|7"", ""lasso_alpha"": 0.0021641836796287123, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-03,HOLD_AI001_050,AIX034|AIX038|AIX004|AIX021|AIX014|AIX019|AIX037|AIX020,0.01344749999771011,"{""base_models"": 2, ""internal_selected_indices"": ""0"", ""omp_k"": 1}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-04,HOLD_AI001_050,AIX034|AIX038|AIX004|AIX021|AIX014|AIX019|AIX037|AIX020,0.025045200000022305,"{""base_models"": 12, ""branch_weights_json"": ""{\""condition\"": 0.0017340412794092438, \""full\"": 0.0008135368337883935, \""geometry\"": 0.2856390404511112, \""topology\"": 0.7118133814356912}"", ""branches"": ""condition|full|geometry|topology""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-01,HOLD_AI051_100,AIX034|AIX038|AIX020|AIX021|AIX019|AIX004|AIX037|AIX022,0.003902099997503683,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-02,HOLD_AI051_100,AIX034|AIX038|AIX020|AIX021|AIX019|AIX004|AIX037|AIX022,0.0439429999969434,"{""base_models"": 31, ""internal_selected_indices"": ""0|5"", ""lasso_alpha"": 0.06984215755250443, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-03,HOLD_AI051_100,AIX034|AIX038|AIX020|AIX021|AIX019|AIX004|AIX037|AIX022,0.007146200001443503,"{""base_models"": 2, ""internal_selected_indices"": ""0"", ""omp_k"": 1}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-04,HOLD_AI051_100,AIX034|AIX038|AIX020|AIX021|AIX019|AIX004|AIX037|AIX022,0.015430999999807682,"{""base_models"": 12, ""branch_weights_json"": ""{\""condition\"": 0.000785004490912897, \""full\"": 0.0005823987231135132, \""geometry\"": 0.20369193065559488, \""topology\"": 0.7949406661303787}"", ""branches"": ""condition|full|geometry|topology""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-01,HOLD_AI101_150,AIX037|AIX019|AIX021|AIX004|AIX034|AIX038|AIX020|AIX022,0.004427100000611972,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}",completed_unselected
COMP-Y-COMP-STRENGTH,FS4-METHOD-02,HOLD_AI101_150,AIX037|AIX019|AIX021|AIX004|AIX034|AIX038|AIX020|AIX022,0.0419002000016917,"{""base_models"": 31, ""internal_selected_indices"": ""1|2|3|5|6|7"", ""lasso_alpha"": 0.006890254987297223, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}",completed_unselected
