model_key,target_id,target_name,source_file,sheet,cell,value,finite
VF30_B1,COMP-Y-MODULUS,Modulus,New_VF30.xlsx,VF30,F4,676.66,True
VF30_B1,COMP-Y-COMP-STRENGTH,Com. Strength,New_VF30.xlsx,VF30,C6,30.62196734230315,True
VF30_B1,COMP-Y-COMP-STRAIN,Com. strain,New_VF30.xlsx,VF30,D6,0.05827564671235106,True
VF30_B1,COMP-Y-APS,APS,New_VF30.xlsx,VF30,E6,25.67280939896847,True
VF30_B1,COMP-Y-AS,AS,New_VF30.xlsx,VF30,F6,21.911014714995215,True
VF30_B1,COMP-Y-YIELD-STRENGTH,Yield strength,New_VF30.xlsx,VF30,C8,27.32475665481576,True
VF30_B1,COMP-Y-YIELD-STRAIN,Yield strain,New_VF30.xlsx,VF30,D8,0.042372592263479884,True
VF30_B1,COMP-Y-LCC,LCC,New_VF30.xlsx,VF30,E8,0.30063706332058404,True
VF30_B1,COMP-Y-EAS,EAS,New_VF30.xlsx,VF30,F8,0.11051671349234374,True
VF30_B1,COMP-Y-DENSIF-STRENGTH,Densif. strength,New_VF30.xlsx,VF30,C10,0.21046025664813164,True
VF30_B1,COMP-Y-DENSIFI-STRAIN,Densifi. strain,New_VF30.xlsx,VF30,D10,0.12949078615458215,True
VF30_B1,COMP-Y-EAE,EAE,New_VF30.xlsx,VF30,E10,71.553256099016,True
VF30_B1,COMP-Y-SE,SE,New_VF30.xlsx,VF30,F10,0.8383788380409644,True
VF30_B1,COMP-Y-TOTAL-ENERGY,Total energy,New_VF30.xlsx,VF30,C12,2.837274520889348,True
VF30_B1,COMP-Y-SEA,SEA,New_VF30.xlsx,VF30,D12,7.386445178701822,True
VF30_B1,COMP-Y-MAX-PLATEAU-STRESS,Max. Plateau stress,New_VF30.xlsx,VF30,E12,25.67280939896847,True
VF30_B2,COMP-Y-MODULUS,Modulus,New_VF30.xlsx,VF30,R4,555.95,True
VF30_B2,COMP-Y-COMP-STRENGTH,Com. Strength,New_VF30.xlsx,VF30,O6,26.972612445030652,True
VF30_B2,COMP-Y-COMP-STRAIN,Com. strain,New_VF30.xlsx,VF30,P6,0.11819110817231303,True
VF30_B2,COMP-Y-APS,APS,New_VF30.xlsx,VF30,Q6,25.15907729419184,True
VF30_B2,COMP-Y-AS,AS,New_VF30.xlsx,VF30,R6,21.399433195947605,True
VF30_B2,COMP-Y-YIELD-STRENGTH,Yield strength,New_VF30.xlsx,VF30,O8,22.23771074463181,True
VF30_B2,COMP-Y-YIELD-STRAIN,Yield strain,New_VF30.xlsx,VF30,P8,0.04196242211413852,True
VF30_B2,COMP-Y-LCC,LCC,New_VF30.xlsx,VF30,Q8,0.2133460228529356,True
VF30_B2,COMP-Y-EAS,EAS,New_VF30.xlsx,VF30,R8,0.12964921438153598,True
VF30_B2,COMP-Y-DENSIF-STRENGTH,Densif. strength,New_VF30.xlsx,VF30,O10,0.4571629227971297,True
VF30_B2,COMP-Y-DENSIFI-STRAIN,Densifi. strain,New_VF30.xlsx,VF30,P10,0.1524271496300195,True
VF30_B2,COMP-Y-EAE,EAE,New_VF30.xlsx,VF30,Q10,79.33763642494395,True
VF30_B2,COMP-Y-SE,SE,New_VF30.xlsx,VF30,R10,0.93276383018016,True
