cohort,target_id,feature_id,feature_name_raw,selected_outer_fold_count,outer_fold_total,promotion_status
bcl,COMP-Y-MODULUS,SFX004,Actual VF,3,3,not_promoted
bcl,COMP-Y-MODULUS,SFX021,Node: l/d AVG,3,3,not_promoted
bcl,COMP-Y-MODULUS,SFX019,Global: l/d AVG,3,3,not_promoted
bcl,COMP-Y-MODULUS,SFX038,surface_to_solid_volume_1_per_mm,3,3,not_promoted
bcl,COMP-Y-MODULUS,SFX034,mean_radius_mm,3,3,not_promoted
bcl,COMP-Y-MODULUS,SFX018,Node: Angle-Z (weighted with length)-STDEV,1,3,not_promoted
bcl,COMP-Y-MODULUS,SFX032,maxwell_index_M_3D,2,3,not_promoted
bcl,COMP-Y-MODULUS,SFX037,surface_area_mm2,1,3,not_promoted
bcl,COMP-Y-MODULUS,SFX014,Global: Angle-Z (weighted with length)-STDEV,2,3,not_promoted
bcl,COMP-Y-MODULUS,SFX008,Global: Strut No. at Nodes-STDEV,1,3,not_promoted
bcl,COMP-Y-MODULUS,SFX017,Node: Angle-Z (weighted with length)-AVG,1,3,not_promoted
bcl,COMP-Y-MODULUS,SFX013,Global: Angle-Z (weighted with length)-AVG,1,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX004,Actual VF,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX037,surface_area_mm2,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX034,mean_radius_mm,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX038,surface_to_solid_volume_1_per_mm,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX021,Node: l/d AVG,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX019,Global: l/d AVG,3,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX014,Global: Angle-Z (weighted with length)-STDEV,2,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX018,Node: Angle-Z (weighted with length)-STDEV,1,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX028,Global: Angle-Y (weighted with length)-STDEV,1,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX017,Node: Angle-Z (weighted with length)-AVG,1,3,not_promoted
bcl,COMP-Y-COMP-STRENGTH,SFX013,Global: Angle-Z (weighted with length)-AVG,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX033,total_strut_length_mm,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX008,Global: Strut No. at Nodes-STDEV,3,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX038,surface_to_solid_volume_1_per_mm,3,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX034,mean_radius_mm,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX019,Global: l/d AVG,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX006,Strut 개수,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX021,Node: l/d AVG,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX045,mass_center_z_mm,2,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX037,surface_area_mm2,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX005,Node 개수,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX017,Node: Angle-Z (weighted with length)-AVG,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX020,Global: l/d STDEV,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX022,Node: l/d STDEV,1,3,not_promoted
bcl,COMP-Y-COMP-STRAIN,SFX012,Global: Length - STDEV,1,3,not_promoted
bcl,COMP-Y-APS,SFX004,Actual VF,3,3,not_promoted
bcl,COMP-Y-APS,SFX034,mean_radius_mm,3,3,not_promoted
bcl,COMP-Y-APS,SFX038,surface_to_solid_volume_1_per_mm,3,3,not_promoted
bcl,COMP-Y-APS,SFX037,surface_area_mm2,2,3,not_promoted
bcl,COMP-Y-APS,SFX021,Node: l/d AVG,3,3,not_promoted
bcl,COMP-Y-APS,SFX019,Global: l/d AVG,3,3,not_promoted
bcl,COMP-Y-APS,SFX014,Global: Angle-Z (weighted with length)-STDEV,3,3,not_promoted
