feature_id,feature_name_raw,finite_count,missing_count,unique_count,variance,iqr,status
SFX004,Actual VF,137,0,137,0.11541613027892775,0.6000789626428203,unselected_candidate
SFX005,Node 개수,137,0,31,1453918.385849007,690.0,unselected_candidate
SFX006,Strut 개수,137,0,40,5352361.276466514,2089.0,unselected_candidate
SFX007,Global: Strut No. at Nodes-AVG,137,0,42,6.194706235601125,4.1417030178092125,unselected_candidate
SFX008,Global: Strut No. at Nodes-STDEV,137,0,44,3.6200107907590944,3.4148260108653457,unselected_candidate
SFX009,Node: Strut count - AVG,137,0,42,6.194706235601125,4.1417030178092125,unselected_candidate
SFX010,Node: Strut count - STDEV,137,0,44,3.6200107907590944,3.4148260108653457,unselected_candidate
SFX011,Global: Length - AVG,137,0,39,1.2136659842363255,1.7018946473001826,unselected_candidate
SFX012,Global: Length - STDEV,137,0,34,0.26995058933840044,0.8047634011106486,unselected_candidate
SFX013,Global: Angle-Z (weighted with length)-AVG,137,0,42,56.223169775591245,4.47904181153881,unselected_candidate
SFX014,Global: Angle-Z (weighted with length)-STDEV,137,0,46,73.17577439773005,7.9846646419229295,unselected_candidate
SFX015,Node: Length - AVG,137,0,37,1.0666336651435115,1.7315536820376725,unselected_candidate
SFX016,Node: Length - STDEV,137,0,32,0.13280127127999886,0.4860153843005604,unselected_candidate
SFX017,Node: Angle-Z (weighted with length)-AVG,137,0,30,72.0657192872424,5.264389682754647,unselected_candidate
SFX018,Node: Angle-Z (weighted with length)-STDEV,137,0,42,42.06742453888774,8.949554341115574,unselected_candidate
SFX019,Global: l/d AVG,137,0,137,1.1688020743852119,1.649859649666529,unselected_candidate
SFX020,Global: l/d STDEV,137,0,99,0.12602390075083653,0.5842626167802214,unselected_candidate
SFX021,Node: l/d AVG,137,0,137,1.0339770257409906,1.5173715674848671,unselected_candidate
SFX022,Node: l/d STDEV,137,0,99,0.06146691756308577,0.3915071947908751,unselected_candidate
SFX023,Global: Angle-X (weighted with length)-AVG,137,0,43,14.8416743595706,2.586083103158515,unselected_candidate
SFX024,Global: Angle-X (weighted with length)-STDEV,137,0,44,80.54910635617507,9.194348275593018,unselected_candidate
SFX025,Node: Angle-X (weighted with length)-AVG,137,0,30,18.457491378163077,2.725568486513872,unselected_candidate
SFX026,Node: Angle-X (weighted with length)-STDEV,137,0,42,41.49532044858632,8.949554341115574,unselected_candidate
SFX027,Global: Angle-Y (weighted with length)-AVG,137,0,43,14.8046263070618,2.15866228099404,unselected_candidate
SFX028,Global: Angle-Y (weighted with length)-STDEV,137,0,45,80.69960173917738,9.194348275592947,unselected_candidate
SFX029,Node: Angle-Y (weighted with length)-AVG,137,0,30,18.028483737783976,2.634218311457012,unselected_candidate
SFX030,Node: Angle-Y (weighted with length)-STDEV,137,0,42,41.58712435971504,8.949554341115574,unselected_candidate
SFX032,maxwell_index_M_3D,137,0,42,4363195.199424583,1932.0,unselected_candidate
SFX033,total_strut_length_mm,137,0,45,33541703.143141665,5798.225099391839,unselected_candidate
SFX034,mean_radius_mm,137,0,136,0.07437955158782673,0.337518,unselected_candidate
SFX035,std_radius_mm,137,0,3,0.0006827520308250639,0.0,unselected_candidate
SFX036,mean_diameter_mm,137,0,136,0.29751820635130694,0.675036,unselected_candidate
SFX037,surface_area_mm2,137,0,137,270953166.80736417,23049.01282697003,unselected_candidate
SFX038,surface_to_solid_volume_1_per_mm,137,0,136,0.7200349806483042,1.1477235283920129,unselected_candidate
SFX039,solid_volume_mm3_approx,137,0,137,84138358.97333834,16202.13199135614,unselected_candidate
SFX043,mass_center_x_mm,137,0,105,0.0003662911855790341,8.760353553682877e-16,unselected_candidate
SFX044,mass_center_y_mm,137,0,103,0.0005864700407303155,2.6931581964539925e-16,unselected_candidate
SFX045,mass_center_z_mm,137,0,90,0.0018809524680656513,8.716985466783456e-17,unselected_candidate
