cohort,target_id,target_name_raw,outer_fold_id,selection_rank,block_id,selected_feature_id,abs_spearman_train,block_member_scores_json,feature_name_raw,promotion_status
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,1,AIX-BLOCK-001,SFX004,0.4642671856877084,"{""SFX004"": 0.4642671856877084, ""SFX039"": 0.4642671856877084}",Actual VF,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,2,AIX-BLOCK-016,SFX021,0.4237214205227,"{""SFX021"": 0.4237214205227}",Node: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,3,AIX-BLOCK-014,SFX019,0.40737754484982863,"{""SFX019"": 0.40737754484982863}",Global: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,4,AIX-BLOCK-031,SFX038,0.3860082182144285,"{""SFX038"": 0.3860082182144285}",surface_to_solid_volume_1_per_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,5,AIX-BLOCK-028,SFX034,0.3858826484000899,"{""SFX034"": 0.3858826484000899, ""SFX036"": 0.3858826484000899}",mean_radius_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,6,AIX-BLOCK-013,SFX018,0.30111710234602157,"{""SFX018"": 0.30111710234602157}",Node: Angle-Z (weighted with length)-STDEV,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,7,AIX-BLOCK-026,SFX032,0.29349658460120526,"{""SFX032"": 0.29349658460120526}",maxwell_index_M_3D,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_B,8,AIX-BLOCK-030,SFX037,0.29038632480891935,"{""SFX037"": 0.29038632480891935}",surface_area_mm2,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,1,AIX-BLOCK-016,SFX021,0.5033454647256439,"{""SFX021"": 0.5033454647256439}",Node: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,2,AIX-BLOCK-014,SFX019,0.490439529675252,"{""SFX019"": 0.490439529675252}",Global: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,3,AIX-BLOCK-001,SFX004,0.4600923852183651,"{""SFX004"": 0.4600923852183651, ""SFX039"": 0.4600923852183651}",Actual VF,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,4,AIX-BLOCK-009,SFX014,0.39826481622540744,"{""SFX014"": 0.39826481622540744}",Global: Angle-Z (weighted with length)-STDEV,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,5,AIX-BLOCK-031,SFX038,0.37658174692049273,"{""SFX038"": 0.37658174692049273}",surface_to_solid_volume_1_per_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,6,AIX-BLOCK-028,SFX034,0.3764137737961926,"{""SFX034"": 0.3764137737961926, ""SFX036"": 0.3764137737961926}",mean_radius_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,7,AIX-BLOCK-005,SFX008,0.3551204897349573,"{""SFX008"": 0.3551204897349573, ""SFX010"": 0.3551204897349573}",Global: Strut No. at Nodes-STDEV,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_C,8,AIX-BLOCK-026,SFX032,0.35290746467468576,"{""SFX032"": 0.35290746467468576}",maxwell_index_M_3D,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,1,AIX-BLOCK-016,SFX021,0.6817474721285974,"{""SFX021"": 0.6817474721285974}",Node: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,2,AIX-BLOCK-014,SFX019,0.659061446720249,"{""SFX019"": 0.659061446720249}",Global: l/d AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,3,AIX-BLOCK-028,SFX034,0.6467566561105833,"{""SFX034"": 0.6467566561105833, ""SFX036"": 0.6467566561105833}",mean_radius_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,4,AIX-BLOCK-031,SFX038,0.6467566561105833,"{""SFX038"": 0.6467566561105833}",surface_to_solid_volume_1_per_mm,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,5,AIX-BLOCK-001,SFX004,0.6114856105781696,"{""SFX004"": 0.6114856105781696, ""SFX039"": 0.6114856105781696}",Actual VF,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,6,AIX-BLOCK-012,SFX017,0.5470836591836205,"{""SFX017"": 0.5470836591836205}",Node: Angle-Z (weighted with length)-AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,7,AIX-BLOCK-008,SFX013,0.5095366565087591,"{""SFX013"": 0.5095366565087591}",Global: Angle-Z (weighted with length)-AVG,not_promoted
bcl,COMP-Y-MODULUS,Modulus,HOLD_L,8,AIX-BLOCK-009,SFX014,0.5091471024900216,"{""SFX014"": 0.5091471024900216}",Global: Angle-Z (weighted with length)-STDEV,not_promoted
bcl,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_B,1,AIX-BLOCK-001,SFX004,0.6351674206350518,"{""SFX004"": 0.6351674206350518, ""SFX039"": 0.6351674206350518}",Actual VF,not_promoted
bcl,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_B,2,AIX-BLOCK-030,SFX037,0.5664676278249031,"{""SFX037"": 0.5664676278249031}",surface_area_mm2,not_promoted
bcl,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_B,3,AIX-BLOCK-028,SFX034,0.3553328343590298,"{""SFX034"": 0.3553328343590298, ""SFX036"": 0.3553328343590298}",mean_radius_mm,not_promoted
