cohort,target_id,outer_fold_id,held_group,train_groups,test_groups,train_rows,test_rows,selected_feature_ids
bcl,COMP-Y-MODULUS,HOLD_B,B,C|L,B,122,15,SFX004|SFX021|SFX019|SFX038|SFX034|SFX018|SFX032|SFX037
bcl,COMP-Y-MODULUS,HOLD_C,C,B|L,C,95,42,SFX021|SFX019|SFX004|SFX014|SFX038|SFX034|SFX008|SFX032
bcl,COMP-Y-MODULUS,HOLD_L,L,B|C,L,57,80,SFX021|SFX019|SFX034|SFX038|SFX004|SFX017|SFX013|SFX014
bcl,COMP-Y-COMP-STRENGTH,HOLD_B,B,C|L,B,122,15,SFX004|SFX037|SFX034|SFX038|SFX021|SFX019|SFX014|SFX018
bcl,COMP-Y-COMP-STRENGTH,HOLD_C,C,B|L,C,95,42,SFX004|SFX037|SFX034|SFX038|SFX021|SFX019|SFX014|SFX028
bcl,COMP-Y-COMP-STRENGTH,HOLD_L,L,B|C,L,57,80,SFX004|SFX021|SFX019|SFX034|SFX038|SFX017|SFX013|SFX037
bcl,COMP-Y-COMP-STRAIN,HOLD_B,B,C|L,B,122,15,SFX033|SFX008|SFX038|SFX034|SFX019|SFX006|SFX021|SFX045
bcl,COMP-Y-COMP-STRAIN,HOLD_C,C,B|L,C,95,42,SFX045|SFX006|SFX033|SFX037|SFX005|SFX008|SFX017|SFX038
bcl,COMP-Y-COMP-STRAIN,HOLD_L,L,B|C,L,57,80,SFX034|SFX038|SFX019|SFX020|SFX021|SFX022|SFX012|SFX008
bcl,COMP-Y-APS,HOLD_B,B,C|L,B,122,15,SFX004|SFX034|SFX038|SFX037|SFX021|SFX019|SFX014|SFX028
bcl,COMP-Y-APS,HOLD_C,C,B|L,C,95,42,SFX004|SFX034|SFX038|SFX021|SFX019|SFX037|SFX014|SFX028
bcl,COMP-Y-APS,HOLD_L,L,B|C,L,57,80,SFX004|SFX021|SFX019|SFX034|SFX038|SFX014|SFX024|SFX028
bcl,COMP-Y-AS,HOLD_B,B,C|L,B,122,15,SFX004|SFX037|SFX034|SFX038|SFX021|SFX019|SFX014|SFX028
bcl,COMP-Y-AS,HOLD_C,C,B|L,C,95,42,SFX004|SFX037|SFX034|SFX038|SFX021|SFX019|SFX014|SFX028
bcl,COMP-Y-AS,HOLD_L,L,B|C,L,57,80,SFX004|SFX021|SFX019|SFX034|SFX038|SFX014|SFX024|SFX028
bcl,COMP-Y-YIELD-STRENGTH,HOLD_B,B,C|L,B,122,15,SFX004|SFX034|SFX038|SFX021|SFX019|SFX037|SFX032|SFX018
bcl,COMP-Y-YIELD-STRENGTH,HOLD_C,C,B|L,C,95,42,SFX004|SFX021|SFX019|SFX034|SFX038|SFX037|SFX008|SFX014
bcl,COMP-Y-YIELD-STRENGTH,HOLD_L,L,B|C,L,57,80,SFX004|SFX034|SFX038|SFX021|SFX019|SFX020|SFX022|SFX014
bcl,COMP-Y-YIELD-STRAIN,HOLD_B,B,C|L,B,122,15,SFX004|SFX020|SFX037|SFX022|SFX034|SFX038|SFX016|SFX012
bcl,COMP-Y-YIELD-STRAIN,HOLD_C,C,B|L,C,95,42,SFX004|SFX037|SFX022|SFX020|SFX016|SFX034|SFX038|SFX012
bcl,COMP-Y-YIELD-STRAIN,HOLD_L,L,B|C,L,57,80,SFX004|SFX034|SFX038|SFX037|SFX019|SFX021|SFX020|SFX022
bcl,COMP-Y-LCC,HOLD_B,B,C|L,B,122,15,SFX037|SFX033|SFX007|SFX008|SFX006|SFX032|SFX004|SFX014
bcl,COMP-Y-LCC,HOLD_C,C,B|L,C,95,42,SFX004|SFX037|SFX034|SFX038|SFX014|SFX028|SFX024|SFX045
bcl,COMP-Y-LCC,HOLD_L,L,B|C,L,57,80,SFX024|SFX028|SFX014|SFX045|SFX018|SFX008|SFX044|SFX037
bcl,COMP-Y-EAS,HOLD_B,B,C|L,B,122,15,SFX037|SFX033|SFX007|SFX032|SFX008|SFX004|SFX006|SFX027
bcl,COMP-Y-EAS,HOLD_C,C,B|L,C,95,42,SFX037|SFX004|SFX033|SFX007|SFX008|SFX032|SFX006|SFX015
bcl,COMP-Y-EAS,HOLD_L,L,B|C,L,57,80,SFX033|SFX037|SFX032|SFX007|SFX008|SFX020|SFX012|SFX006
bcl,COMP-Y-DENSIF-STRENGTH,HOLD_B,B,C|L,B,122,15,SFX037|SFX033|SFX006|SFX007|SFX032|SFX027|SFX017|SFX023
bcl,COMP-Y-DENSIF-STRENGTH,HOLD_C,C,B|L,C,95,42,SFX037|SFX033|SFX006|SFX004|SFX008|SFX007|SFX017|SFX035
bcl,COMP-Y-DENSIF-STRENGTH,HOLD_L,L,B|C,L,57,80,SFX006|SFX033|SFX037|SFX011|SFX020|SFX015|SFX005|SFX023
bcl,COMP-Y-DENSIFI-STRAIN,HOLD_B,B,C|L,B,122,15,SFX037|SFX033|SFX007|SFX004|SFX032|SFX008|SFX006|SFX027
bcl,COMP-Y-DENSIFI-STRAIN,HOLD_C,C,B|L,C,95,42,SFX037|SFX004|SFX033|SFX007|SFX008|SFX032|SFX006|SFX034
bcl,COMP-Y-DENSIFI-STRAIN,HOLD_L,L,B|C,L,57,80,SFX037|SFX033|SFX032|SFX007|SFX006|SFX020|SFX012|SFX008
bcl,COMP-Y-EAE,HOLD_B,B,C|L,B,122,15,SFX004|SFX034|SFX038|SFX021|SFX037|SFX019|SFX028|SFX024
bcl,COMP-Y-EAE,HOLD_C,C,B|L,C,95,42,SFX034|SFX038|SFX004|SFX021|SFX019|SFX028|SFX024|SFX008
bcl,COMP-Y-EAE,HOLD_L,L,B|C,L,57,80,SFX021|SFX019|SFX034|SFX038|SFX008|SFX004|SFX024|SFX028
bcl,COMP-Y-SE,HOLD_B,B,C|L,B,122,15,SFX034|SFX038|SFX021|SFX019|SFX004|SFX033|SFX020|SFX008
bcl,COMP-Y-SE,HOLD_C,C,B|L,C,95,42,SFX034|SFX038|SFX033|SFX019|SFX021|SFX008|SFX044|SFX020
bcl,COMP-Y-SE,HOLD_L,L,B|C,L,57,80,SFX021|SFX019|SFX008|SFX034|SFX038|SFX004|SFX020|SFX024
bcl,COMP-Y-TOTAL-ENERGY,HOLD_B,B,C|L,B,122,15,SFX037|SFX004|SFX033|SFX014|SFX007|SFX028|SFX024|SFX006
bcl,COMP-Y-TOTAL-ENERGY,HOLD_C,C,B|L,C,95,42,SFX004|SFX037|SFX034|SFX038|SFX021|SFX014|SFX019|SFX028
bcl,COMP-Y-TOTAL-ENERGY,HOLD_L,L,B|C,L,57,80,SFX004|SFX037|SFX021|SFX019|SFX024|SFX028|SFX014|SFX034
bcl,COMP-Y-SEA,HOLD_B,B,C|L,B,122,15,SFX037|SFX004|SFX033|SFX014|SFX028|SFX024|SFX007|SFX006
bcl,COMP-Y-SEA,HOLD_C,C,B|L,C,95,42,SFX037|SFX004|SFX014|SFX028|SFX024|SFX034|SFX038|SFX033
bcl,COMP-Y-SEA,HOLD_L,L,B|C,L,57,80,SFX024|SFX028|SFX014|SFX004|SFX021|SFX019|SFX017|SFX015
bcl,COMP-Y-MAX-PLATEAU-STRESS,HOLD_B,B,C|L,B,122,15,SFX004|SFX034|SFX038|SFX037|SFX021|SFX019|SFX014|SFX028
bcl,COMP-Y-MAX-PLATEAU-STRESS,HOLD_C,C,B|L,C,95,42,SFX004|SFX034|SFX038|SFX021|SFX019|SFX037|SFX014|SFX028
bcl,COMP-Y-MAX-PLATEAU-STRESS,HOLD_L,L,B|C,L,57,80,SFX004|SFX021|SFX019|SFX034|SFX038|SFX014|SFX024|SFX028
