model_key,structural_model_id,raw_performance_id,source_group,family_group,vf_group,crosswalk_status
VF30_B1,VF30_B1. SC,B1,bcl,B,30,eligible_exact_model_label_join
VF30_B2,VF30_B2. SC8,B2,bcl,B,30,eligible_exact_model_label_join
VF30_B3,VF30_B3. BCC,B3,bcl,B,30,eligible_exact_model_label_join
VF30_B4,VF30_B4. BCC2,B4,bcl,B,30,eligible_exact_model_label_join
VF30_B5,VF30_B5. FCC,B5,bcl,B,30,eligible_exact_model_label_join
VF30_C1,VF30_C1. SC+FCC,C1,bcl,C,30,eligible_exact_model_label_join
VF30_C10,VF30_C10. SC8+BCC,C10,bcl,C,30,eligible_exact_model_label_join
VF30_C11,VF30_C11. SC+DGR+BCC,C11,bcl,C,30,eligible_exact_model_label_join
VF30_C12,VF30_C12. SC2+DGR+BCC,C12,bcl,C,30,eligible_exact_model_label_join
VF30_C13,VF30_C13. SC8+DGR+BCC2,C13,bcl,C,30,eligible_exact_model_label_join
VF30_C14,VF30_C14. SC8+FCC+BCC,C14,bcl,C,30,eligible_exact_model_label_join
VF30_C2,VF30_C2. SC2+FCC,C2,bcl,C,30,eligible_exact_model_label_join
VF30_C3,VF30_C3. SC8+FCC,C3,bcl,C,30,eligible_exact_model_label_join
VF30_C4,VF30_C4. SC+DGR,C4,bcl,C,30,eligible_exact_model_label_join
VF30_C5,VF30_C5. SC+DGR2,C5,bcl,C,30,eligible_exact_model_label_join
VF30_C6,VF30_C6. SC+OR,C6,bcl,C,30,eligible_exact_model_label_join
VF30_C7,VF30_C7. SC+FCC+BCC,C7,bcl,C,30,eligible_exact_model_label_join
VF30_C8,VF30_C8. SC+BCC,C8,bcl,C,30,eligible_exact_model_label_join
VF30_C9,VF30_C9. SC2+BCC,C9,bcl,C,30,eligible_exact_model_label_join
VF30_F1,,F1,bcl,F,30,y_only_missing_structural_factors
VF30_F2,,F2,bcl,F,30,y_only_missing_structural_factors
VF30_L1,VF30_L1. Octahedron,L1,bcl,L,30,eligible_exact_model_label_join
VF30_L10,VF30_L10. Lattice Auxetic,L10,bcl,L,30,eligible_exact_model_label_join
VF30_L11,VF30_L11. FBCCz,L11,bcl,L,30,eligible_exact_model_label_join
VF30_L12,VF30_L12. Weaire-Phelean,L12,bcl,L,30,eligible_exact_model_label_join
VF30_L13,VF30_L13. Diamond,L13,bcl,L,30,eligible_exact_model_label_join
VF30_L14,VF30_L14. Fluorite,L14,bcl,L,30,eligible_exact_model_label_join
VF30_L15,VF30_L15. Truncated octahedron,L15,bcl,L,30,eligible_exact_model_label_join
VF30_L16,VF30_L16. Voronoi,L16,bcl,L,30,eligible_exact_model_label_join
VF30_L17,VF30_L17. Compact Voronoi,L17,bcl,L,30,eligible_exact_model_label_join
VF30_L18,,L18,bcl,L,30,y_only_missing_structural_factors
VF30_L18-2,,L18-2,bcl,L,30,y_only_missing_structural_factors
VF30_L19,VF30_L19. Aligned Voronoi,L19,bcl,L,30,eligible_exact_model_label_join
VF30_L2,VF30_L2. Cuboctahedron,L2,bcl,L,30,eligible_exact_model_label_join
VF30_L20,VF30_L20. Aligned compact Voron,L20,bcl,L,30,eligible_exact_model_label_join
VF30_L21,VF30_L21. Octet,L21,bcl,L,30,eligible_exact_model_label_join
VF30_L22,VF30_L22. Kelvin Cell,L22,bcl,L,30,eligible_exact_model_label_join
VF30_L23,VF30_L23. Isotruss,L23,bcl,L,30,eligible_exact_model_label_join
VF30_L24,VF30_L24. Re-entrant,L24,bcl,L,30,eligible_exact_model_label_join
VF30_L25,VF30_L25. Cuboctahedron,L25,bcl,L,30,eligible_exact_model_label_join
VF30_L26,VF30_L26. Octahedron+Cross,L26,bcl,L,30,eligible_exact_model_label_join
VF30_L27,VF30_L27. V-Octet,L27,bcl,L,30,eligible_exact_model_label_join
