model_key,structural_model_id,source_group,family_group,structural_excel_row,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm
VF30_B1,VF30_B1. SC,bcl,B,152,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.5735343440118909,216,540,5,0.8183932073645682,5,0.8183932073645682,6,0,30,42.42640687119285,6,0,30,7.567371821119256,2.432243769199524,0,2.432243769199524,0,30,42.42640687119285,30,7.567371821119256,30,42.42640687119285,30,7.567371821119256,1,-102,3240,1.233429,0,2.466858,25109.55602360744,1.621495846133016,15485.42728832105,30,30,30,-4.649058915617843e-16,9.71445146547012e-17,2.775557561562891e-17
VF45_B1,VF45_B1. SC,bcl,B,153,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.9492986671658945,216,540,5,0.8183932073645682,5,0.8183932073645682,6,0,30,42.42640687119285,6,0,30,7.567371821119256,1.890537858020607,0,1.890537858020607,0,30,42.42640687119285,30,7.567371821119256,30,42.42640687119285,30,7.567371821119256,1,-102,3240,1.58685,0,3.1737,32304.3312392213,1.260358572013738,25631.06401347915,30,30,30,-5.689893001203927e-16,-3.854555563620465e-15,6.83481049534862e-16
VF60_B1,VF60_B1. SC,bcl,B,154,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.408805353962757,216,540,5,0.8183932073645682,5,0.8183932073645682,6,0,30,42.42640687119285,6,0,30,7.567371821119256,1.551891367604268,0,1.551891367604268,0,30,42.42640687119285,30,7.567371821119256,30,42.42640687119285,30,7.567371821119256,1,-102,3240,1.933125,0,3.86625,39353.63161409058,1.034594245069511,38037.74455699444,30,30,30,-6.106226635438361e-16,-3.882311139236094e-15,6.696032617270475e-16
VF30_B2,VF30_B2. SC8,bcl,B,155,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4815929826681151,1331,3630,5.454545454545454,0.6682937537889932,5.454545454545454,0.6682937537889932,3,0,30,42.42640687119285,3,0,30,5.953579829141026,2.4330900243309,0,2.4330900243309,0,30,42.42640687119285,30,5.953579829141026,30,42.42640687119285,30,5.953579829141026,1,-357,10890,0.6165,0,1.233,42183.32694903199,3.244120032441202,13003.01053203911,30,30,30,-9.540979117872439e-17,1.734723475976807e-18,1.058181320345852e-16
VF45_B2,VF45_B2. SC8,bcl,B,156,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.7980667115105651,1331,3630,5.454545454545454,0.6682937537889932,5.454545454545454,0.6682937537889932,3,0,30,42.42640687119285,3,0,30,5.953579829141026,1.890073334845392,0,1.890073334845392,0,30,42.42640687119285,30,5.953579829141026,30,42.42640687119285,30,5.953579829141026,1,-357,10890,0.79362,0,1.58724,54302.56599073926,2.520097779793855,21547.80121078526,30,30,30,-3.243932900076629e-16,-5.204170427930421e-18,-6.245004513516506e-17
VF60_B2,VF60_B2. SC8,bcl,B,157,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.183512281668442,1331,3630,5.454545454545454,0.6682937537889932,5.454545454545454,0.6682937537889932,3,0,30,42.42640687119285,3,0,30,5.953579829141026,1.552072016141549,0,1.552072016141549,0,30,42.42640687119285,30,5.953579829141026,30,42.42640687119285,30,5.953579829141026,1,-357,10890,0.9664499999999999,0,1.9329,66128.26655294719,2.069429354855397,31954.83160504793,30,30,30,-1.023486850826316e-16,-5.204170427930421e-18,2.038300084272748e-17
VF30_B3,VF30_B3. BCC,bcl,B,158,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.3966485379524625,341,1000,5.865102639296188,2.486312365856443,5.865102639296188,2.486312365856443,5.196152422706632,0,35.26438968275545,7.958078640513121e-13,5.196152422706632,0,35.26438968275465,0,3.207620296249634,0,3.207620296249634,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,1,-17,5196.152422706627,0.80997,0,1.61994,26444.21527887822,2.469227255330446,10709.51052471649,30,30,30,7.979727989493313e-17,8.673617379884035e-17,2.081668171172169e-17
VF45_B3,VF45_B3. BCC,bcl,B,159,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.6546269758342406,341,1000,5.865102639296188,2.486312365856443,5.865102639296188,2.486312365856443,5.196152422706632,0,35.26438968275545,7.958078640513121e-13,5.196152422706632,0,35.26438968275465,0,2.496829764406627,0,2.496829764406627,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,1,-17,5196.152422706627,1.04055,0,2.0811,33972.28071217047,1.922060448801114,17674.9283475245,30,30,30,7.979727989493313e-17,8.673617379884035e-17,2.081668171172169e-17
VF60_B3,VF60_B3. BCC,bcl,B,160,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,0.9670062737998243,341,1000,5.865102639296188,2.486312365856443,5.865102639296188,2.486312365856443,5.196152422706632,0,35.26438968275545,7.958078640513121e-13,5.196152422706632,0,35.26438968275465,0,2.054334860481162,0,2.054334860481162,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,1,-17,5196.152422706627,1.26468,0,2.52936,41289.76403927515,1.581427712939241,26109.16939259526,30,30,30,-7.979727989493313e-17,6.938893903907228e-18,6.938893903907228e-18
VF30_B4,VF30_B4. BCC2,bcl,B,161,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4003600725703719,881,2500,5.675368898978434,6.05984881159924,5.675368898978434,6.05984881159924,4.624045381354223,0.4672168959143087,32.36628916441202,15.95579391949858,4.530534128284136,0.4010610537484269,31.62644076847501,16.76561613782406,4.237803495195148,0.4281907358660089,4.152103143572639,0.3675608250332467,32.36628916441202,15.95579391949858,31.62644076847501,16.76561613782406,32.36628916441202,15.95579391949858,31.62644076847501,16.76561613782406,1,-137,11560.11345338552,0.545571,0,1.091142,39627.18678008927,3.665884000432575,10809.72195940004,30,30,30,7.806255641895632e-18,-2.34187669256869e-17,-8.673617379884035e-18
