cohort,target_id,feature_id,feature_name_raw,selected_outer_fold_count,outer_fold_total,promotion_status
voronoi,COMP-Y-MODULUS,SFX014,Global: Angle-Z (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX028,Global: Angle-Y (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX020,Global: l/d STDEV,2,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX024,Global: Angle-X (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX022,Node: l/d STDEV,2,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX040,bbox_x_mm,3,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX041,bbox_y_mm,3,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX033,total_strut_length_mm,2,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX004,Actual VF,2,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX021,Node: l/d AVG,2,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX019,Global: l/d AVG,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX039,solid_volume_mm3_approx,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX034,mean_radius_mm,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX038,surface_to_solid_volume_1_per_mm,1,3,not_promoted
voronoi,COMP-Y-MODULUS,SFX007,Global: Strut No. at Nodes-AVG,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX016,Node: Length - STDEV,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX012,Global: Length - STDEV,2,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX022,Node: l/d STDEV,3,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX020,Global: l/d STDEV,3,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX030,Node: Angle-Y (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX026,Node: Angle-X (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX018,Node: Angle-Z (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX008,Global: Strut No. at Nodes-STDEV,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX019,Global: l/d AVG,2,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX021,Node: l/d AVG,2,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX039,solid_volume_mm3_approx,2,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX004,Actual VF,2,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX037,surface_area_mm2,1,3,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,SFX029,Node: Angle-Y (weighted with length)-AVG,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX016,Node: Length - STDEV,3,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX012,Global: Length - STDEV,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX034,mean_radius_mm,1,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX038,surface_to_solid_volume_1_per_mm,1,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX011,Global: Length - AVG,3,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX007,Global: Strut No. at Nodes-AVG,1,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX037,surface_area_mm2,1,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX015,Node: Length - AVG,3,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX032,maxwell_index_M_3D,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX006,Strut 개수,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX005,Node 개수,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX033,total_strut_length_mm,2,3,not_promoted
voronoi,COMP-Y-COMP-STRAIN,SFX041,bbox_y_mm,1,3,not_promoted
voronoi,COMP-Y-APS,SFX024,Global: Angle-X (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-APS,SFX028,Global: Angle-Y (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-APS,SFX014,Global: Angle-Z (weighted with length)-STDEV,1,3,not_promoted
voronoi,COMP-Y-APS,SFX020,Global: l/d STDEV,2,3,not_promoted
voronoi,COMP-Y-APS,SFX022,Node: l/d STDEV,2,3,not_promoted
voronoi,COMP-Y-APS,SFX045,mass_center_z_mm,1,3,not_promoted
voronoi,COMP-Y-APS,SFX029,Node: Angle-Y (weighted with length)-AVG,1,3,not_promoted
voronoi,COMP-Y-APS,SFX023,Global: Angle-X (weighted with length)-AVG,1,3,not_promoted
voronoi,COMP-Y-APS,SFX004,Actual VF,2,3,not_promoted
voronoi,COMP-Y-APS,SFX039,solid_volume_mm3_approx,1,3,not_promoted
voronoi,COMP-Y-APS,SFX019,Global: l/d AVG,1,3,not_promoted
voronoi,COMP-Y-APS,SFX021,Node: l/d AVG,1,3,not_promoted
voronoi,COMP-Y-APS,SFX040,bbox_x_mm,2,3,not_promoted
voronoi,COMP-Y-APS,SFX041,bbox_y_mm,2,3,not_promoted
voronoi,COMP-Y-APS,SFX034,mean_radius_mm,1,3,not_promoted
