cohort,target_id,target_name_raw,outer_fold_id,selection_rank,block_id,selected_feature_id,abs_spearman_train,block_member_scores_json,feature_name_raw,promotion_status
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,1,AIX-BLOCK-009,SFX014,0.6120300751879698,"{""SFX014"": 0.6120300751879698}",Global: Angle-Z (weighted with length)-STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,2,AIX-BLOCK-023,SFX028,0.6030075187969924,"{""SFX028"": 0.6030075187969924}",Global: Angle-Y (weighted with length)-STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,3,AIX-BLOCK-015,SFX020,0.5969924812030075,"{""SFX020"": 0.5969924812030075}",Global: l/d STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,4,AIX-BLOCK-019,SFX024,0.5278195488721804,"{""SFX024"": 0.5278195488721804}",Global: Angle-X (weighted with length)-STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,5,AIX-BLOCK-017,SFX022,0.5187969924812029,"{""SFX022"": 0.5187969924812029}",Node: l/d STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,6,AIX-BLOCK-033,SFX040,0.41915481703535407,"{""SFX040"": 0.41915481703535407}",bbox_x_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,7,AIX-BLOCK-034,SFX041,0.41915481703535407,"{""SFX041"": 0.41915481703535407, ""SFX042"": 0.41915481703535407}",bbox_y_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF30,8,AIX-BLOCK-028,SFX033,0.41052631578947363,"{""SFX033"": 0.41052631578947363}",total_strut_length_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,1,AIX-BLOCK-017,SFX022,0.7699248120300751,"{""SFX022"": 0.7699248120300751}",Node: l/d STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,2,AIX-BLOCK-015,SFX020,0.7082706766917292,"{""SFX020"": 0.7082706766917292}",Global: l/d STDEV,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,3,AIX-BLOCK-001,SFX004,0.6917293233082705,"{""SFX004"": 0.6917293233082705}",Actual VF,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,4,AIX-BLOCK-016,SFX021,0.6721804511278194,"{""SFX021"": 0.6721804511278194}",Node: l/d AVG,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,5,AIX-BLOCK-014,SFX019,0.669172932330827,"{""SFX019"": 0.669172932330827}",Global: l/d AVG,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,6,AIX-BLOCK-033,SFX040,0.6091078245741371,"{""SFX040"": 0.6091078245741371}",bbox_x_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,7,AIX-BLOCK-034,SFX041,0.6091078245741371,"{""SFX041"": 0.6091078245741371, ""SFX042"": 0.6091078245741371}",bbox_y_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF45,8,AIX-BLOCK-032,SFX039,0.5864661654135337,"{""SFX039"": 0.5864661654135337}",solid_volume_mm3_approx,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,1,AIX-BLOCK-029,SFX034,0.716810881831352,"{""SFX034"": 0.716810881831352, ""SFX036"": 0.716810881831352}",mean_radius_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,2,AIX-BLOCK-031,SFX038,0.716810881831352,"{""SFX038"": 0.716810881831352}",surface_to_solid_volume_1_per_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,3,AIX-BLOCK-033,SFX040,0.6899741289916085,"{""SFX040"": 0.6899741289916085}",bbox_x_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,4,AIX-BLOCK-034,SFX041,0.6793697513646985,"{""SFX041"": 0.6793697513646985, ""SFX042"": 0.6793697513646985}",bbox_y_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,5,AIX-BLOCK-001,SFX004,0.6676691729323309,"{""SFX004"": 0.6676691729323309}",Actual VF,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,6,AIX-BLOCK-028,SFX033,0.5684210526315789,"{""SFX033"": 0.5684210526315789}",total_strut_length_mm,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,7,AIX-BLOCK-016,SFX021,0.5338345864661653,"{""SFX021"": 0.5338345864661653}",Node: l/d AVG,not_promoted
voronoi,COMP-Y-MODULUS,Modulus,HOLD_VF60,8,AIX-BLOCK-004,SFX007,0.5203007518796992,"{""SFX007"": 0.5203007518796992, ""SFX009"": 0.5203007518796992}",Global: Strut No. at Nodes-AVG,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,1,AIX-BLOCK-011,SFX016,0.7398496240601502,"{""SFX016"": 0.7398496240601502}",Node: Length - STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,2,AIX-BLOCK-007,SFX012,0.732330827067669,"{""SFX012"": 0.732330827067669}",Global: Length - STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,3,AIX-BLOCK-017,SFX022,0.7157894736842104,"{""SFX022"": 0.7157894736842104}",Node: l/d STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,4,AIX-BLOCK-015,SFX020,0.6992481203007518,"{""SFX020"": 0.6992481203007518}",Global: l/d STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,5,AIX-BLOCK-025,SFX030,0.669172932330827,"{""SFX030"": 0.669172932330827}",Node: Angle-Y (weighted with length)-STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,6,AIX-BLOCK-021,SFX026,0.6601503759398496,"{""SFX026"": 0.6601503759398496}",Node: Angle-X (weighted with length)-STDEV,not_promoted
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,HOLD_VF30,7,AIX-BLOCK-013,SFX018,0.6165413533834586,"{""SFX018"": 0.6165413533834586}",Node: Angle-Z (weighted with length)-STDEV,not_promoted
