cohort,target_id,outer_fold_id,method_id,selected_feature_ids,runtime_seconds,detail_json
voronoi,COMP-Y-MODULUS,HOLD_VF30,FS4-METHOD-01,SFX014|SFX028|SFX020|SFX024|SFX022|SFX040|SFX041|SFX033,0.007077700000081677,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}"
voronoi,COMP-Y-MODULUS,HOLD_VF30,FS4-METHOD-02,SFX014|SFX028|SFX020|SFX024|SFX022|SFX040|SFX041|SFX033,0.03816430000006221,"{""base_models"": 31, ""internal_selected_indices"": ""0|2|5"", ""lasso_alpha"": 0.1511512575251873, ""max_stability_probability"": 0.9, ""selection_y_standardized_within_outer_train"": true}"
voronoi,COMP-Y-MODULUS,HOLD_VF30,FS4-METHOD-03,SFX014|SFX028|SFX020|SFX024|SFX022|SFX040|SFX041|SFX033,0.009786399998120032,"{""base_models"": 2, ""internal_selected_indices"": ""0"", ""omp_k"": 1}"
voronoi,COMP-Y-MODULUS,HOLD_VF30,FS4-METHOD-04,SFX014|SFX028|SFX020|SFX024|SFX022|SFX040|SFX041|SFX033,0.012448400000721449,"{""base_models"": 6, ""branch_weights_json"": ""{\""full\"": 0.27506655160905896, \""geometry\"": 0.4637734444772479, \""topology\"": 0.2611600039136931}"", ""branches"": ""full|geometry|topology""}"
voronoi,COMP-Y-MODULUS,HOLD_VF45,FS4-METHOD-01,SFX022|SFX020|SFX004|SFX021|SFX019|SFX040|SFX041|SFX039,0.0025595999977667816,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}"
voronoi,COMP-Y-MODULUS,HOLD_VF45,FS4-METHOD-02,SFX022|SFX020|SFX004|SFX021|SFX019|SFX040|SFX041|SFX039,0.05472520000330405,"{""base_models"": 31, ""internal_selected_indices"": ""0|1|3|6|7"", ""lasso_alpha"": 0.010136367620830354, ""max_stability_probability"": 1.0, ""selection_y_standardized_within_outer_train"": true}"
voronoi,COMP-Y-MODULUS,HOLD_VF45,FS4-METHOD-03,SFX022|SFX020|SFX004|SFX021|SFX019|SFX040|SFX041|SFX039,0.005513799998880131,"{""base_models"": 2, ""internal_selected_indices"": ""1|3"", ""omp_k"": 2}"
voronoi,COMP-Y-MODULUS,HOLD_VF45,FS4-METHOD-04,SFX022|SFX020|SFX004|SFX021|SFX019|SFX040|SFX041|SFX039,0.014480199999525212,"{""base_models"": 8, ""branch_weights_json"": ""{\""condition\"": 0.20422129677113407, \""full\"": 0.10231398095161759, \""geometry\"": 0.08608704070497428, \""topology\"": 0.607377681572274}"", ""branches"": ""condition|full|geometry|topology""}"
voronoi,COMP-Y-MODULUS,HOLD_VF60,FS4-METHOD-01,SFX034|SFX038|SFX040|SFX041|SFX004|SFX033|SFX021|SFX007,0.0025592999991204124,"{""base_models"": 2, ""original_recipe_status"": ""BayesianRidge_native_scipy_svd_crash_0xC06D007F"", ""recipe_status"": ""runtime_safe_ridge_blend_surrogate""}"
voronoi,COMP-Y-MODULUS,HOLD_VF60,FS4-METHOD-02,SFX034|SFX038|SFX040|SFX041|SFX004|SFX033|SFX021|SFX007,0.08743509999840171,"{""base_models"": 31, ""internal_selected_indices"": ""1|6|7"", ""lasso_alpha"": 0.04747561378997425, ""max_stability_probability"": 0.9333333333333333, ""selection_y_standardized_within_outer_train"": true}"
