cohort,target_id,outer_fold_id,held_group,train_groups,test_groups,train_rows,test_rows,selected_feature_ids
voronoi,COMP-Y-MODULUS,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX014|SFX028|SFX020|SFX024|SFX022|SFX040|SFX041|SFX033
voronoi,COMP-Y-MODULUS,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX020|SFX004|SFX021|SFX019|SFX040|SFX041|SFX039
voronoi,COMP-Y-MODULUS,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX034|SFX038|SFX040|SFX041|SFX004|SFX033|SFX021|SFX007
voronoi,COMP-Y-COMP-STRENGTH,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX016|SFX012|SFX022|SFX020|SFX030|SFX026|SFX018|SFX008
voronoi,COMP-Y-COMP-STRENGTH,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX020|SFX019|SFX021|SFX039|SFX004|SFX037|SFX029
voronoi,COMP-Y-COMP-STRENGTH,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX020|SFX022|SFX019|SFX021|SFX039|SFX004|SFX029|SFX012
voronoi,COMP-Y-COMP-STRAIN,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX016|SFX012|SFX034|SFX038|SFX011|SFX007|SFX037|SFX015
voronoi,COMP-Y-COMP-STRAIN,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX011|SFX015|SFX016|SFX032|SFX006|SFX012|SFX005|SFX033
voronoi,COMP-Y-COMP-STRAIN,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX011|SFX032|SFX015|SFX041|SFX016|SFX005|SFX006|SFX033
voronoi,COMP-Y-APS,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX024|SFX028|SFX014|SFX020|SFX022|SFX045|SFX029|SFX023
voronoi,COMP-Y-APS,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX004|SFX039|SFX020|SFX019|SFX021|SFX040|SFX041
voronoi,COMP-Y-APS,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX034|SFX038|SFX004|SFX040|SFX041|SFX033|SFX007|SFX005
voronoi,COMP-Y-AS,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX020|SFX022|SFX028|SFX024|SFX014|SFX045|SFX030|SFX029
voronoi,COMP-Y-AS,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX020|SFX019|SFX004|SFX039|SFX021|SFX040|SFX041
voronoi,COMP-Y-AS,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX004|SFX034|SFX038|SFX040|SFX041|SFX020|SFX019|SFX021
voronoi,COMP-Y-YIELD-STRENGTH,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX020|SFX022|SFX028|SFX014|SFX045|SFX044|SFX012|SFX026
voronoi,COMP-Y-YIELD-STRENGTH,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX020|SFX019|SFX021|SFX039|SFX004|SFX040|SFX041
voronoi,COMP-Y-YIELD-STRENGTH,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX020|SFX022|SFX024|SFX028|SFX029|SFX004|SFX021|SFX019
voronoi,COMP-Y-YIELD-STRAIN,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX026|SFX012|SFX008|SFX018|SFX016|SFX030|SFX043|SFX022
voronoi,COMP-Y-YIELD-STRAIN,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX020|SFX037|SFX039|SFX019|SFX021|SFX016|SFX012
voronoi,COMP-Y-YIELD-STRAIN,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX016|SFX043|SFX012|SFX022|SFX008|SFX030|SFX018|SFX020
voronoi,COMP-Y-LCC,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX039|SFX021|SFX044|SFX019|SFX004|SFX022|SFX026|SFX020
voronoi,COMP-Y-LCC,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX004|SFX021|SFX040|SFX041|SFX034|SFX038|SFX019|SFX039
