cohort,target_id,target_name_raw,best_method_by_pooled_r2,best_pooled_r2,best_pooled_mae,best_pooled_rmse,best_delta_rmse_vs_null,median_outer_fold_r2,min_outer_fold_r2,features_selected_in_all_outer_folds,promotion_status,interpretation
voronoi,COMP-Y-MODULUS,Modulus,FS4-METHOD-02,0.45534524691099765,33.55603732914031,40.576637978867275,-33.31581109409283,-0.7595734036294588,-0.9754802525352066,SFX040|SFX041,not_promoted,technical pilot only
voronoi,COMP-Y-COMP-STRENGTH,Com. Strength,FS4-METHOD-04,-0.08623440647871483,4.818934257795047,6.372095712312949,-1.3282686567744735,-0.563578104873014,-25.35920164622882,SFX020|SFX022,not_promoted,technical pilot only
voronoi,COMP-Y-COMP-STRAIN,Com. strain,FS4-METHOD-02,0.7303532109099188,0.1430184518190454,0.17594141876640812,-0.16443184377828413,0.7586724109224694,0.6660060784052871,SFX011|SFX015|SFX016,not_promoted,technical pilot only
voronoi,COMP-Y-APS,APS,FS4-METHOD-04,0.05553409900854778,2.2234490810279453,2.851324614261865,-0.6473238663920537,-0.27224890364059773,-2.3690952604131046,,not_promoted,technical pilot only
voronoi,COMP-Y-AS,AS,FS4-METHOD-01,0.20560901672013188,1.6883122775844204,2.1568335734543154,-0.8917518070877328,-0.23575411965357285,-3.4757642633737174,SFX020,not_promoted,technical pilot only
voronoi,COMP-Y-YIELD-STRENGTH,Yield strength,FS4-METHOD-04,0.6679347365175159,1.595135538023676,1.978112847081713,-2.777296209100435,0.0644436569856911,-2.2780955668925746,SFX020|SFX022,not_promoted,technical pilot only
voronoi,COMP-Y-YIELD-STRAIN,Yield strain,FS4-METHOD-01,0.23726347694861782,0.004021387839987434,0.005922319782312719,-0.0015171262476537306,0.22555086102814748,-1.5514409587290907,SFX012|SFX016|SFX022,not_promoted,technical pilot only
voronoi,COMP-Y-LCC,LCC,FS4-METHOD-03,-0.04208694799000168,0.12243283542871046,0.1440694482823041,-0.017319800922623224,-0.4317384049904822,-2.591989961478515,,not_promoted,technical pilot only
voronoi,COMP-Y-EAS,EAS,FS4-METHOD-03,0.34538905271048903,0.12601561727047172,0.15287607030482722,-0.04047546356273998,0.3235488800780767,-0.1586114928443012,SFX008|SFX012|SFX016,not_promoted,technical pilot only
voronoi,COMP-Y-DENSIF-STRENGTH,Densif. strength,FS4-METHOD-01,0.6773579744641736,0.6794704183911041,0.7899039738438616,-0.6015760405529986,0.7979003613114735,0.07149902965740618,SFX008|SFX012|SFX015|SFX016,not_promoted,technical pilot only
voronoi,COMP-Y-DENSIFI-STRAIN,Densifi. strain,FS4-METHOD-03,0.4007804290321212,0.1155011590954122,0.1395330567448199,-0.04469185996791308,0.40264529107871716,-0.017919928350150993,SFX008|SFX012|SFX016|SFX030,not_promoted,technical pilot only
voronoi,COMP-Y-EAE,EAE,FS4-METHOD-04,0.07541483253596903,9.570042943453307,11.20427017627757,-0.552141785785734,0.059122998306952224,-0.11437100120877175,SFX015,not_promoted,technical pilot only
voronoi,COMP-Y-SE,SE,FS4-METHOD-04,0.017716460724652605,0.12967708124872612,0.15942406801316475,-0.003895209477652317,0.1394591201397486,-0.3793707239434463,,not_promoted,technical pilot only
voronoi,COMP-Y-TOTAL-ENERGY,Total energy,FS4-METHOD-04,0.5921818281293507,0.6574141293420789,0.8663752968554082,-0.6447435458125896,0.48505260000096384,0.430897165444166,SFX008|SFX012|SFX016|SFX020|SFX022|SFX030,not_promoted,technical pilot only
voronoi,COMP-Y-SEA,SEA,FS4-METHOD-04,0.6130740532173343,0.8113782840646379,1.040177906171036,-0.6548798566459904,0.6495325551247824,0.5093241684952973,SFX008|SFX012|SFX016|SFX018|SFX030,not_promoted,technical pilot only
voronoi,COMP-Y-MAX-PLATEAU-STRESS,Max. Plateau stress,FS4-METHOD-04,0.05553409900854778,2.2234490810279453,2.851324614261865,-0.6473238663920537,-0.27224890364059773,-2.3690952604131046,,not_promoted,technical pilot only
