model_id,kind,relative_path,size_bytes,sha256,source_root,status
B1,STL,stl/B1-Basic_Cubic-SC5.stl,225684,a3de2c192173af6014db9e000da722f1bc907210ea250c35827451ae80a2b08a,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
B2,STL,stl/B2-Basic_Cubic-SC8.stl,1500684,f691e0ffbdb51b5e9631e671a6d95d81ff665b764b6c0208d953cfd6faf93d7d,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
B3,STL,stl/B3-Basic_Cubic-BCC_Lattice.stl,2625684,a272cdb9222309756d52e07d7bd10bf5c2eb7ebe3b216005fec40c6653843a30,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
B4,STL,stl/B4-Basic_Cubic-BCC2.stl,1659684,388389ea80512d4da4f444d9700473ee344d72885dc0e6c35f4c7b94ae0b188b,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
B5,STL,stl/B5-Basic_Cubic-FCC.stl,2490684,771679e2b40f5231dbf306a480fd8c4777756fcc823f52033fcc44908a088a99,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C1,STL,stl/C1-Cubic_truss_lattice-SC-FCC.stl,2610684,7755dda7d0a3cee9045339bb2c2f85d003af7027fc0d4be87c1cc112508999bd,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C10,STL,stl/C10-Cubic_truss_lattice-SC8-BCC.stl,2370684,ee80581153d4a656660e86b0be40301ab4f8e3bcfbc7d93c5c78596210bcd542,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C11,STL,stl/C11-Cubic_truss_lattice-SCDGRBCC.stl,1815684,0a28cb347660a1008d3aa055269428c1e141259b42c6b53d10d08a3acfb330fe,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C12,STL,stl/C12-Cubic_truss_lattice-SC2DGRBCC.stl,2280684,56051a9e31f09b99d5e24500fec90fb23f1858a5f3371dd15f09a2e9fcaf8f3e,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C13,STL,stl/C13-Cubic_truss_lattice-SC8DGRBCC2.stl,4560684,07278a36b6a4e9ba259be03bc1f85bdd573fa24dca4bb7ad3491acf51f9bfabc,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C14,STL,stl/C14-Cubic_truss_lattice-SC8-FCC-BCC.stl,4530684,ea0e6ea1355b7c16ed8f35ffe5743d581fda21b6b9ee612ade38a4ac0160028a,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C2,STL,stl/C2-Cubic_truss_lattice-SC2-FCC.stl,2760684,de69021e73d6fc8fb593973ba77122aaf0ee232d80d26711749dd9d01da9dc5a,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C3,STL,stl/C3-Cubic_truss_lattice-SC8-FCC.stl,3480684,a6156c5a3a7b34463204491b5c0770a87ab33b34999bb57dca7c04875db3979f,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C4,STL,stl/C4-Cubic_truss_lattice-SCDGR.stl,1215684,24a7d3407ece874c4b357d7bee2dcab872d4ea47120d5b7eed48e8556e1289f1,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C5,STL,stl/C5-Cubic_truss_lattice-SCDGR2.stl,4735684,1cbefbd50dd308ff0bbb3eec47aedc1bc07cb50e0f84c55fcdddcaf0ba591e05,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C6,STL,stl/C6-Cubic_truss_lattice-SCOR.stl,1425684,eb102e32158c2b1ea2b7a422105c3777f3ebcddbfa47e78f3796a35ed1cc550b,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C7,STL,stl/C7-Cubic_truss_lattice-SC-FCC-BCC.stl,3210684,62bc876a52cfb0d8e4b9edebc25fe558166ec178ebd1d1085c52eff4433e7d2c,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C8,STL,stl/C8-Cubic_truss_lattice-SCBCC.stl,945684,02972931e406f88f8cdd2dec1df823955ff9070974556301a6b191f654123db7,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
C9,STL,stl/C9-Cubic_truss_lattice-SC2-BCC.stl,1853184,770d277e46339d769c3253d24022c4180f1713a6dbfab6632ec02ba1a03835e2,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
F1,STL,stl/F1-Foam-Kelvin_foam.stl,2620084,0dff3c1b133d7c9d5eee7d32cb0b19734eadc20c3c710268d745118ffdfe9300,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
L1,STL,stl/L1-Truss Lattice-Octahedron_lattice_New.stl,3825084,412f5bec5e8f36aea17495e2c376a632a1c82aec96c849665766b34ea2c58832,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
L10,STL,stl/L10-Truss_Lattice-Lattice_auxetic.stl,1563684,dcfe270c3c326deb5b2e13fb214daa58ad297bc60d765d3d79761057232261c6,experiments/lab_001_xy_connection_20260626/data/raw/notion_reference_models_20260701,PASS
